,CENPK (64105)
ACH-000004,-1.2217968974299998
ACH-000007,-1.36876176879
ACH-000009,-1.33564436212
ACH-000011,-0.876217670792
ACH-000012,-1.30122953481
ACH-000013,-1.4086659079600001
ACH-000014,-1.4686386722100002
ACH-000015,-1.37802337757
ACH-000017,-1.65926437067
ACH-000018,-1.3666618291
ACH-000019,-1.1232852371100002
ACH-000021,-1.22757621497
ACH-000022,-1.3816987943
ACH-000025,-1.24065719205
ACH-000028,-1.27235641276
ACH-000030,-1.3886694394699999
ACH-000035,-1.02900591569
ACH-000036,-1.25789177395
ACH-000037,-1.86932181238
ACH-000039,-1.51351395813
ACH-000040,-1.34915031937
ACH-000041,-1.42481727915
ACH-000042,-1.4392933163100001
ACH-000045,-1.32720967246
ACH-000047,-1.3917262808500002
ACH-000052,-1.29676917909
ACH-000053,-1.34637174605
ACH-000054,-1.42505329035
ACH-000055,-1.4539344557799998
ACH-000060,-1.09684112168
ACH-000067,-1.15951015057
ACH-000070,-1.2647657587
ACH-000075,-1.0450133083600002
ACH-000078,-1.81281823478
ACH-000082,-1.2764634856000001
ACH-000085,-1.0107834147900001
ACH-000086,-1.1176991085899999
ACH-000087,-0.962754413306
ACH-000092,-1.20744794802
ACH-000095,-1.6373746495200001
ACH-000097,-1.26473023135
ACH-000098,-0.9703114045260001
ACH-000099,-1.30273846646
ACH-000108,-1.28601534648
ACH-000113,-1.50416125568
ACH-000115,-1.38416108637
ACH-000116,-1.37877968437
ACH-000118,-1.1856027113299998
ACH-000120,-1.34027382426
ACH-000123,-1.4092504385299998
ACH-000127,-1.33546910954
ACH-000128,-1.36217498174
ACH-000132,-1.23875748419
ACH-000133,-1.1878964486599999
ACH-000137,-1.33403877745
ACH-000138,-1.40299481375
ACH-000142,-1.445695774
ACH-000143,-1.07665943703
ACH-000146,-1.1867411752600001
ACH-000148,-1.41030064879
ACH-000150,-1.12583965427
ACH-000152,-0.999063589974
ACH-000153,-1.24016991309
ACH-000159,-1.23002568457
ACH-000160,-1.16579222154
ACH-000163,-1.3761983061399998
ACH-000167,-1.17176590978
ACH-000168,-1.32422116917
ACH-000169,-1.43299974562
ACH-000178,-1.2606014126
ACH-000182,-1.2200630226
ACH-000183,-1.2177325649700002
ACH-000188,-1.48249496879
ACH-000189,-1.3448893481900002
ACH-000190,-1.10523915012
ACH-000198,-1.4617909819600001
ACH-000204,-1.16952565245
ACH-000206,-1.0926809390999999
ACH-000207,-0.999076316468
ACH-000211,-1.3107877463200002
ACH-000215,-1.4294634143
ACH-000221,-1.2602343948999999
ACH-000222,-1.50118343558
ACH-000223,-1.3007546408600001
ACH-000226,-1.29570269075
ACH-000227,-1.8063881674900002
ACH-000228,-1.19761248559
ACH-000231,-1.1852891686700002
ACH-000232,-1.22760675296
ACH-000233,-1.15127092519
ACH-000234,-1.7321269371599999
ACH-000235,-1.3289986489
ACH-000237,-1.48949415938
ACH-000238,-1.30889410994
ACH-000243,-1.35614451978
ACH-000244,-1.43205593088
ACH-000246,-1.3158040175399999
ACH-000248,-1.0826454564
ACH-000250,-1.0920743110700002
ACH-000251,-1.0344156477
ACH-000253,-1.19020843174
ACH-000255,-1.37773056255
ACH-000256,-1.4224190938699999
ACH-000257,-1.6170122017500002
ACH-000258,-1.2452531300799998
ACH-000259,-1.3464081268900001
ACH-000260,-1.41803825962
ACH-000261,-1.37962696058
ACH-000262,-1.08419345393
ACH-000263,-1.85777443717
ACH-000264,-1.4835341941100002
ACH-000265,-1.38376234116
ACH-000266,-1.21412795185
ACH-000272,-1.33339209434
ACH-000273,-1.23725221853
ACH-000274,-1.59949479555
ACH-000277,-1.1757134088799999
ACH-000278,-1.7741742797799998
ACH-000279,-1.5865891890000001
ACH-000280,-1.04817967084
ACH-000281,-1.24112139254
ACH-000288,-1.33366372829
ACH-000291,-1.0465418126100001
ACH-000293,-1.48194392142
ACH-000294,-1.58576166057
ACH-000295,-1.2056141487899998
ACH-000296,-1.4127777965000001
ACH-000302,-1.48328386345
ACH-000304,-1.37460723301
ACH-000307,-1.0771546433499999
ACH-000308,-1.26627361184
ACH-000310,-1.50921763993
ACH-000311,-1.27222545593
ACH-000312,-1.3475283305899999
ACH-000315,-0.9684050522859999
ACH-000316,-1.3754334638299999
ACH-000317,-1.30704551487
ACH-000318,-1.51358201955
ACH-000319,-1.59928005271
ACH-000320,-1.31354078748
ACH-000322,-1.05550109831
ACH-000323,-1.2629948127600001
ACH-000324,-1.3312727477200001
ACH-000329,-1.37601512294
ACH-000330,-1.07122700801
ACH-000331,-1.2794196098000001
ACH-000332,-1.2063808924
ACH-000334,-1.26571042891
ACH-000335,-1.06615168536
ACH-000336,-1.66987689004
ACH-000337,-1.1906469352200002
ACH-000339,-1.2923198977500001
ACH-000341,-1.3118603181200001
ACH-000348,-1.4438803258700001
ACH-000350,-1.5290155520299997
ACH-000352,-1.5601418289500002
ACH-000356,-1.1816688746
ACH-000361,-1.50080987662
ACH-000362,-1.42708017753
ACH-000363,-0.8354864032539999
ACH-000364,-1.51843145346
ACH-000365,-1.30323319481
ACH-000366,-1.2452279418799999
ACH-000368,-1.3956734564500002
ACH-000374,-1.2841609143600001
ACH-000375,-1.2532470802700002
ACH-000376,-0.9670934748309999
ACH-000381,-1.38690604038
ACH-000383,-1.29113754378
ACH-000387,-1.41817029707
ACH-000389,-1.10347495575
ACH-000390,-1.24417200631
ACH-000393,-1.55949407707
ACH-000395,-1.63406631371
ACH-000397,-1.4532719891499999
ACH-000401,-1.04814011216
ACH-000402,-1.32675720153
ACH-000403,-1.28178442401
ACH-000404,-1.27463238907
ACH-000406,-1.3099204066399999
ACH-000407,-1.4247325092899998
ACH-000408,-1.32412917719
ACH-000410,-1.20697886535
ACH-000411,-1.23788882191
ACH-000414,-1.5821726129
ACH-000415,-1.34965468431
ACH-000416,-1.34948563215
ACH-000420,-1.01295332468
ACH-000421,-1.17061637173
ACH-000424,-1.20992039374
ACH-000425,-1.58697479579
ACH-000426,-0.9409424023399999
ACH-000427,-0.6372299203339999
ACH-000433,-0.9948836428010001
ACH-000436,-1.3654599428799998
ACH-000444,-1.02883397222
ACH-000445,-0.8533045431730001
ACH-000448,-1.35611199239
ACH-000450,-1.08385938943
ACH-000452,-1.26242519292
ACH-000454,-0.9814399200210001
ACH-000458,-1.2513473799600001
ACH-000459,-1.00022973138
ACH-000460,-1.10881352937
ACH-000461,-1.54662785308
ACH-000463,-1.1999952264
ACH-000464,-1.3280292278899999
ACH-000466,-1.49440713433
ACH-000467,-1.1597669647600002
ACH-000468,-1.23985029844
ACH-000469,-1.4844013336000002
ACH-000470,-1.32662220512
ACH-000471,-1.19570799687
ACH-000472,-1.7140184099000002
ACH-000473,-1.27111229573
ACH-000475,-1.3792003344600001
ACH-000476,-1.33151680055
ACH-000477,-1.1192095284299999
ACH-000480,-1.09033300143
ACH-000481,-1.5879889667700002
ACH-000483,-1.22491894852
ACH-000484,-1.48173174284
ACH-000485,-1.52996041997
ACH-000486,-1.4884759686700002
ACH-000487,-1.23531681383
ACH-000488,-1.37685251024
ACH-000490,-1.2539035710600002
ACH-000491,-1.2231311210100002
ACH-000495,-1.47362557883
ACH-000496,-1.5379475177500002
ACH-000499,-1.10070408439
ACH-000500,-0.901182936973
ACH-000502,-1.3533153327
ACH-000503,-1.22506555179
ACH-000505,-1.4094198726299998
ACH-000507,-1.44325680185
ACH-000510,-1.30120164855
ACH-000511,-1.26510949465
ACH-000512,-1.0677411699700001
ACH-000516,-1.38752084662
ACH-000517,-1.00716256354
ACH-000518,-1.19060855354
ACH-000520,-1.11238023672
ACH-000521,-1.0011224375
ACH-000522,-1.27540936534
ACH-000524,-1.6954920226899999
ACH-000527,-1.08051597206
ACH-000528,-1.39386440126
ACH-000537,-1.44207929135
ACH-000541,-1.2108079097
ACH-000542,-1.2728959712299999
ACH-000544,-1.1898346875399999
ACH-000545,-1.10305168411
ACH-000547,-1.31449175119
ACH-000548,-1.41803787229
ACH-000549,-1.4240153068399999
ACH-000550,-1.12750080317
ACH-000552,-1.17942620352
ACH-000556,-1.12775813331
ACH-000557,-1.63262892579
ACH-000570,-1.19765531055
ACH-000571,-1.27014834142
ACH-000573,-1.46716719128
ACH-000576,-1.09239038979
ACH-000580,-1.3771269183200001
ACH-000584,-1.44180117634
ACH-000585,-1.4184093404499998
ACH-000588,-1.18498160093
ACH-000589,-1.3579459925
