,LAP3 (51056)
ACH-000004,-0.19262687936200001
ACH-000007,-0.47141782358999995
ACH-000009,-0.22003405268800003
ACH-000011,-0.0902618002556
ACH-000012,-0.129512027453
ACH-000013,-0.308044424201
ACH-000014,-0.333855669387
ACH-000015,-0.18911211523600002
ACH-000017,-0.346789721471
ACH-000018,-0.0819284566743
ACH-000019,-0.013849748272299999
ACH-000021,-0.146874888748
ACH-000022,-0.0705221858172
ACH-000025,-0.38202729400300006
ACH-000028,-0.221498751175
ACH-000030,-0.280772704027
ACH-000035,-0.273982187522
ACH-000036,-0.16920294542
ACH-000037,-0.025620771159900003
ACH-000039,0.0513606753066
ACH-000040,-0.0277464220677
ACH-000041,-0.15805825425699999
ACH-000042,-0.28093339468199996
ACH-000045,-0.171203255862
ACH-000047,-0.229064951113
ACH-000052,-0.254982887782
ACH-000053,-0.153676423142
ACH-000054,-0.0880166730222
ACH-000055,-0.24412957578800001
ACH-000060,-0.471832917252
ACH-000067,-0.16426844435000001
ACH-000070,0.052421175479699995
ACH-000075,-0.131738994621
ACH-000078,-0.0756304006168
ACH-000082,-0.270218851825
ACH-000085,-0.09714048638879999
ACH-000086,-0.0641460572941
ACH-000087,-0.24492041198000003
ACH-000092,-0.292588520159
ACH-000095,-0.10431121321799999
ACH-000097,-0.0634910562524
ACH-000098,0.027876441193800002
ACH-000099,-0.154369352243
ACH-000108,-0.134203841801
ACH-000113,-0.190539607258
ACH-000115,-0.247304986596
ACH-000116,-0.152427111906
ACH-000118,-0.156475090696
ACH-000120,-0.325751700215
ACH-000123,-0.21315164375300003
ACH-000127,-0.449172550841
ACH-000128,-0.499403753864
ACH-000132,-0.129486091524
ACH-000133,-0.18811228975699998
ACH-000137,-0.571198348112
ACH-000138,-0.136239520994
ACH-000142,-0.239733061266
ACH-000143,-0.24101479687199998
ACH-000146,-0.194180204447
ACH-000148,-0.23692777451299998
ACH-000150,-0.16913327462000002
ACH-000152,0.0917232250505
ACH-000153,-0.187276484697
ACH-000159,-0.212021760275
ACH-000160,-0.459984508008
ACH-000163,-0.10047093887599999
ACH-000167,-0.359779534662
ACH-000168,-0.266113415803
ACH-000169,-0.529456910731
ACH-000178,-0.197958943002
ACH-000182,-0.18478804549800001
ACH-000183,-0.053084351824500005
ACH-000188,-0.24490982514100001
ACH-000189,-0.275557079355
ACH-000190,-0.158878993566
ACH-000198,-0.20483222589400002
ACH-000204,-0.12140390444900001
ACH-000206,-0.18135660610100002
ACH-000207,-0.44378462175399996
ACH-000211,-0.173123008717
ACH-000215,-0.40281463734300005
ACH-000221,-0.04766180072919999
ACH-000222,-0.25920694798300004
ACH-000223,-0.305123899208
ACH-000226,-0.08892977557739999
ACH-000227,-0.293495637859
ACH-000228,-0.112306338662
ACH-000231,-0.0718827410864
ACH-000232,-0.356087655107
ACH-000233,0.11274964614800001
ACH-000234,-0.291261055577
ACH-000235,-0.0736609644559
ACH-000237,-0.230180873565
ACH-000238,-0.245246735432
ACH-000243,-0.122750632806
ACH-000244,-0.6880096738529999
ACH-000246,-0.224723863743
ACH-000248,-0.0143436529945
ACH-000250,-0.27989726463000003
ACH-000251,0.370737680552
ACH-000253,-0.152309344979
ACH-000255,-0.00244669649823
ACH-000256,-0.37154416938100004
ACH-000257,-0.43889008546499997
ACH-000258,-0.20609658735199998
ACH-000259,-0.48217914568099995
ACH-000260,-0.397672766834
ACH-000261,-0.21117300004200001
ACH-000262,-0.291880823201
ACH-000263,-0.23594114779199998
ACH-000264,-0.565485197992
ACH-000265,-0.210933797329
ACH-000266,-0.140038073813
ACH-000272,-0.21586228931499998
ACH-000273,-0.327801194498
ACH-000274,-0.0471826522465
ACH-000277,-0.0866306100671
ACH-000278,-0.20479345551199998
ACH-000279,-0.331851618408
ACH-000280,-0.179536022005
ACH-000281,-0.22837429252900002
