,RPRD1B (58490)
ACH-000004,-0.5470777709870001
ACH-000007,-0.650764233584
ACH-000009,-0.45334165475599997
ACH-000011,-0.797211342033
ACH-000012,-0.675323771225
ACH-000013,-0.423092383145
ACH-000014,-0.8703272180509999
ACH-000015,-0.488759698465
ACH-000017,-0.2644772663
ACH-000018,-0.48611962288099997
ACH-000019,-0.5953841646
ACH-000021,-0.42689826378300005
ACH-000022,-0.5191282003450001
ACH-000025,-0.71326891177
ACH-000028,-0.649779631839
ACH-000030,-1.3408602056899999
ACH-000035,-0.54314008031
ACH-000036,-0.613289449838
ACH-000037,-1.03452191799
ACH-000039,-0.329420368726
ACH-000040,-0.677403523184
ACH-000041,-0.38879704408200005
ACH-000042,-0.35665166967
ACH-000045,-0.14407960270700002
ACH-000047,-0.989591229993
ACH-000052,-0.328034005437
ACH-000053,0.196314194387
ACH-000054,-0.45793721037600005
ACH-000055,-0.603610828679
ACH-000060,-0.6902787508670001
ACH-000067,-0.173110674362
ACH-000070,-0.8121159437209999
ACH-000075,-0.7813879100159999
ACH-000078,-0.443678290728
ACH-000082,-0.20421295417500002
ACH-000085,-0.572585820291
ACH-000086,-0.28242408613000003
ACH-000087,-0.788003641624
ACH-000092,-0.728531417103
ACH-000095,0.17867937440099999
ACH-000097,-0.22863421960799998
ACH-000098,-0.34226689729800003
ACH-000099,-0.371620181497
ACH-000108,-0.8368646305249999
ACH-000113,-0.570739174923
ACH-000115,-0.659228446172
ACH-000116,-0.453169901947
ACH-000118,-0.464276301625
ACH-000120,-0.907403873334
ACH-000123,-0.551613090051
ACH-000127,0.0140340549759
ACH-000128,-0.599901772264
ACH-000132,-0.49939502713600004
ACH-000133,-0.255707607735
ACH-000137,-0.931106673566
ACH-000138,-0.666270933858
ACH-000142,-0.58624939963
ACH-000143,-0.589840071533
ACH-000146,-0.123844599856
ACH-000148,-0.0369380015666
ACH-000150,-0.45283032883100005
ACH-000152,-0.76919823192
ACH-000153,-0.686290814497
ACH-000159,-0.560569273538
ACH-000160,-0.26507851678800004
ACH-000163,-1.1174181441700002
ACH-000167,-0.361405142761
ACH-000168,-0.32935921620999997
ACH-000169,-0.276689206159
ACH-000178,-0.652135657109
ACH-000182,-0.567186367025
ACH-000183,-0.987313376251
ACH-000188,-1.04219966713
