,RSPH10B2 (728194)
ACH-000004,-0.39771448267399995
ACH-000007,-0.36390969719800004
ACH-000009,-0.282630690045
ACH-000011,-0.338190439579
ACH-000012,-0.39922042635099997
ACH-000013,-0.293320528059
ACH-000014,-0.195073510811
ACH-000015,-0.247646593011
ACH-000017,-0.09178899244330001
ACH-000018,-0.446556835183
ACH-000019,-0.307310037218
ACH-000021,-0.243419349129
ACH-000022,-0.42676551333000007
ACH-000025,-0.212136178387
ACH-000028,-0.348784294405
ACH-000030,-0.26364520567
ACH-000035,-0.367793825704
ACH-000036,-0.5950853431809999
ACH-000037,-0.178416501871
ACH-000039,-0.30433640566799997
ACH-000040,-0.412156599864
ACH-000041,-0.16374660191600002
ACH-000042,-0.410677535691
ACH-000045,-0.524623481843
ACH-000047,-0.15992218916200002
ACH-000052,-0.204621187254
ACH-000053,-0.38484469967
ACH-000054,-0.2877352348
ACH-000055,-0.28307835302900003
ACH-000060,-0.5240756500639999
ACH-000067,-0.340138981307
ACH-000070,-0.209847032544
ACH-000075,-0.488113599911
ACH-000078,-0.392328491965
ACH-000082,-0.311495791983
ACH-000085,-0.49295779604199996
ACH-000086,-0.158409621846
ACH-000087,-0.337517777006
ACH-000092,-0.272237863334
ACH-000095,-0.317163782916
ACH-000097,-0.198678506866
ACH-000098,-0.263558599881
ACH-000099,-0.38148725122199995
ACH-000108,-0.512392241676
ACH-000113,-0.517818521021
ACH-000115,-0.23939066273600001
ACH-000116,-0.151562017069
ACH-000118,-0.186570857785
ACH-000120,-0.403903707448
ACH-000123,-0.35561798274800005
ACH-000127,-0.26979451201
ACH-000128,-0.5177588556939999
ACH-000132,-0.139334719103
ACH-000133,-0.20017468743
ACH-000137,-0.310025557622
ACH-000138,-0.34276129963600005
ACH-000142,-0.250689702977
ACH-000143,-0.38817145659
ACH-000146,-0.314804579902
ACH-000148,-0.33938059412
ACH-000150,-0.0658591257868
ACH-000152,-0.254974579657
ACH-000153,-0.183025602337
ACH-000159,-0.333124666268
ACH-000160,-0.251909541045
ACH-000163,-0.259657825077
ACH-000167,-0.439085141612
ACH-000168,-0.22264503489
ACH-000169,-0.281071050107
ACH-000178,-0.28863507555
ACH-000182,-0.180294435465
ACH-000183,-0.158289275725
ACH-000188,-0.471591228793
ACH-000189,-0.258567825487
ACH-000190,-0.25914715619600004
ACH-000198,-0.337147196052
ACH-000204,-0.017844141512599998
ACH-000206,-0.0989995017988
ACH-000207,-0.30347965872099997
ACH-000211,-0.20450193241099998
ACH-000215,-0.283502623612
ACH-000221,-0.19156669476799998
ACH-000222,-0.395652163732
ACH-000223,-0.0730275688413
ACH-000226,-0.28308596270999997
ACH-000227,-0.34859064315300003
ACH-000228,-0.19497271878400002
ACH-000231,-0.233462857035
ACH-000232,-0.29736925885000004
ACH-000233,-0.237503000766
ACH-000234,-0.3051518499
ACH-000235,-0.3549751042
ACH-000237,-0.34565310798500004
ACH-000238,-0.309482094503
ACH-000243,-0.387086719634
ACH-000244,-0.533501072547
ACH-000246,-0.263546928924
ACH-000248,-0.13823941867
ACH-000250,-0.282791879273
ACH-000251,-0.0367191225266
ACH-000253,-0.417300006143
ACH-000255,-0.203134553504
ACH-000256,-0.407285125893
ACH-000257,-0.29206376916099996
ACH-000258,-0.293991452
ACH-000259,-0.38288285557400004
ACH-000260,-0.255778180359
ACH-000261,-0.192300549942
ACH-000262,-0.49148123588299997
ACH-000263,-0.300401506503
ACH-000264,-0.220054471569
ACH-000265,-0.14564734782400002
ACH-000266,-0.31995798823000005
ACH-000272,-0.35487300010399997
ACH-000273,-0.290150814945
ACH-000274,-0.495916789978
ACH-000277,-0.27799326222
ACH-000278,-0.10188522397500001
ACH-000279,-0.40700701623
ACH-000280,-0.536493460464
ACH-000281,-0.370697438536
ACH-000288,-0.516059049031
ACH-000291,-0.53743490236
ACH-000293,-0.294248142888
ACH-000294,-0.530619733167
ACH-000295,-0.5549350206970001
ACH-000296,-0.213698170046
ACH-000302,-0.30709436595199996
ACH-000304,-0.640708295674
ACH-000307,-0.10778053747199999
ACH-000308,-0.446914897553
ACH-000310,-0.38919140998499996
ACH-000311,-0.238661606781
ACH-000312,-0.281129098243
ACH-000315,-0.144651511599
ACH-000316,-0.354645078063
ACH-000317,-0.148606823639
ACH-000318,-0.382780181553
ACH-000319,-0.455350498081
