,KDF1 (126695)
ACH-000004,-0.185397477255
ACH-000007,-0.43786933503200004
ACH-000009,0.016274932133
ACH-000011,-0.331953358087
ACH-000012,-0.144499062886
ACH-000013,-0.47761321833899995
ACH-000014,-0.362360648886
ACH-000015,-0.12416826398
ACH-000017,-0.027010749963500003
ACH-000018,-0.494283628553
ACH-000019,-0.345071558412
ACH-000021,-0.295164661446
ACH-000022,-0.0737005691973
ACH-000025,-0.37183721053499996
ACH-000028,-0.261647749827
ACH-000030,-0.156106699498
ACH-000035,-0.522154967148
ACH-000036,-0.276422344934
ACH-000037,-0.339990363301
ACH-000039,-0.163883022381
ACH-000040,-0.536919404348
ACH-000041,-0.06459927781569999
ACH-000042,-0.21161509565699999
ACH-000045,-0.136239511891
ACH-000047,-0.09168894688740001
ACH-000052,-0.0731694098602
ACH-000053,-0.268652684637
ACH-000054,-0.269700359962
ACH-000055,-0.364742338902
ACH-000060,-0.249861404943
ACH-000067,-0.27672628375999997
ACH-000070,-0.555448362464
ACH-000075,-0.649238806576
ACH-000078,-0.0936626933516
ACH-000082,-0.21750655987599998
ACH-000085,-0.189038375306
ACH-000086,-0.278911498689
ACH-000087,-0.365629782364
ACH-000092,-0.624728350302
ACH-000095,-0.264573682412
ACH-000097,-0.13977964875600002
ACH-000098,-0.176338462319
ACH-000099,-0.225791912883
ACH-000108,-0.15778886053
ACH-000113,-0.125862987063
ACH-000115,-0.175808404014
ACH-000116,-0.23933187114
ACH-000118,-0.391585736174
ACH-000120,-0.0876220340967
ACH-000123,-0.148594737915
ACH-000127,-0.223585059392
ACH-000128,-0.5861776620929999
ACH-000132,-0.40549868944
ACH-000133,-0.213205499864
ACH-000137,-0.59867230343
ACH-000138,0.112281089576
ACH-000142,-0.269469160953
ACH-000143,-0.351108647961
ACH-000146,-0.236680661855
ACH-000148,-0.264119674897
ACH-000150,-0.910072396322
ACH-000152,-0.595354084723
ACH-000153,-0.364801711847
ACH-000159,-0.314352598481
ACH-000160,-0.192520624041
ACH-000163,-0.300759301167
ACH-000167,-0.191187338935
ACH-000168,-0.31241371588100003
ACH-000169,-0.502807694574
ACH-000178,-0.271106827547
ACH-000182,-0.0854217034435
ACH-000183,-0.124569857337
ACH-000188,-0.364310393591
