,SUSD2 (56241)
ACH-000004,-0.101111510595
ACH-000007,0.0271117975269
ACH-000009,-0.07294995267030001
ACH-000011,-0.023084530222299997
ACH-000012,-0.165074458528
ACH-000013,-0.04291159330580001
ACH-000014,0.0376015779343
ACH-000015,-0.0641986495534
ACH-000017,-0.18791664437
ACH-000018,-0.0897010665932
ACH-000019,-0.06155395563490001
ACH-000021,-0.159268731005
ACH-000022,-0.03962306802769999
ACH-000025,-0.201509988652
ACH-000028,0.0120318991178
ACH-000030,-0.07283677854510001
ACH-000035,-0.06875165587719999
ACH-000036,-0.0661494874729
ACH-000037,-0.0549173602592
ACH-000039,0.0707476769701
ACH-000040,-0.0476991140065
ACH-000041,-0.135103852128
ACH-000042,-0.30031528934
ACH-000045,0.0826838298156
ACH-000047,-0.025197343468
ACH-000052,-0.058069267335199994
ACH-000053,-0.12381093522099999
ACH-000054,-0.09777064948599999
ACH-000055,-0.135806189601
ACH-000060,-0.0289522378735
ACH-000067,-0.0634284458411
ACH-000070,-0.344065761616
ACH-000075,-0.08474750711519999
ACH-000078,0.089512053862
ACH-000082,-0.0551256801695
ACH-000085,-0.035609018816
ACH-000086,0.146205399846
ACH-000087,-0.0756345020537
ACH-000092,-0.21793748924000003
ACH-000095,-0.09895511613789999
ACH-000097,-0.07538909003080001
ACH-000098,-0.0458574641566
ACH-000099,-0.0231249052478
ACH-000108,-0.0432600539838
ACH-000113,0.145491334113
ACH-000115,0.0402906050594
ACH-000116,0.020916476735
ACH-000118,0.009121968573360001
ACH-000120,0.11707733116800001
ACH-000123,0.012376928522000001
ACH-000127,-0.00879469394289
ACH-000128,-0.0896788130937
ACH-000132,-0.08325147805250001
ACH-000133,-0.119932539169
ACH-000137,-0.134816477007
ACH-000138,0.21223687456
ACH-000142,0.0745586095863
ACH-000143,-0.008799879560629999
ACH-000146,-0.102877558939
ACH-000148,0.0959569094403
ACH-000150,-0.296850024774
ACH-000152,0.0572715398714
ACH-000153,-0.100782902058
ACH-000159,0.0875812535201
ACH-000160,-0.19889297475499998
ACH-000163,0.07151173230169999
