,CTSK (1513)
ACH-000004,-0.20301835432
ACH-000007,-0.0609496318375
ACH-000009,-0.40193741332599997
ACH-000011,-0.058647284433800004
ACH-000012,-0.219186869241
ACH-000013,-0.20660179484900001
ACH-000014,-0.331620709708
ACH-000015,-0.18363407135899998
ACH-000017,-0.0796568615902
ACH-000018,-0.225629478944
ACH-000019,-0.383876209842
ACH-000021,-0.29475822637800003
ACH-000022,-0.137451925468
ACH-000025,-0.21912367779800002
ACH-000028,-0.383743334115
ACH-000030,-0.232447959402
ACH-000035,-0.338227116422
ACH-000036,-0.011846477785399998
ACH-000037,0.014618542705899998
ACH-000039,-0.0223170628508
ACH-000040,-0.132218273585
ACH-000041,-0.040473291330300004
ACH-000042,-0.211919063085
ACH-000045,-0.185201060661
ACH-000047,-0.0700010029877
ACH-000052,-0.05921739558209999
ACH-000053,-0.328290293898
ACH-000054,-0.199176794081
ACH-000055,-0.09519211500050001
ACH-000060,-0.017682417488400003
ACH-000067,-0.0227990287313
ACH-000070,-0.262247077254
ACH-000075,0.229867697045
ACH-000078,-0.256390981876
ACH-000082,-0.0906395897621
ACH-000085,-0.09956457665760002
ACH-000086,-0.368952981554
ACH-000087,-0.0516715424521
ACH-000092,-0.193761101974
ACH-000095,-0.2154846175
ACH-000097,-0.262235575633
ACH-000098,-0.23084179314
ACH-000099,-0.150404773662
ACH-000108,-0.125746420973
ACH-000113,-0.14386309683700002
ACH-000115,-0.17026660433899998
ACH-000116,-0.21548806608399998
ACH-000118,-0.239875397284
ACH-000120,-0.19443976850000003
ACH-000123,-0.34606804759800003
ACH-000127,-0.17274657899300003
ACH-000128,-0.111112155001
ACH-000132,-0.19482123568
ACH-000133,-0.180357810297
ACH-000137,-0.0814594810161
ACH-000138,-0.161501703196
ACH-000142,-0.23838859803399998
ACH-000143,-0.12242268226299999
ACH-000146,-0.164816004095
ACH-000148,-0.21700623238000002
ACH-000150,-0.238686592425
ACH-000152,-0.107815768095
ACH-000153,-0.21838462411899998
ACH-000159,-0.249277079318
ACH-000160,-0.020754871804500002
ACH-000163,-0.194552479884
ACH-000167,0.012797859935700002
ACH-000168,-0.0501595426643
ACH-000169,-0.184690674611
ACH-000178,-0.0641947592498
ACH-000182,-0.236929843788
ACH-000183,-0.288415807987
ACH-000188,-0.057122222209099995
ACH-000189,-0.13855944228599998
ACH-000190,0.0213611777065
ACH-000198,-0.0728368519019
ACH-000204,-0.6880469324070001
ACH-000206,0.0489426015264
ACH-000207,-0.043911438472499995
ACH-000211,-0.18378419699499998
ACH-000215,-0.305567027323
ACH-000221,-0.20770858785399998
ACH-000222,-0.196708682297
ACH-000223,-0.102768781799
ACH-000226,-0.33980012166100004
ACH-000227,-0.18717649902300001
ACH-000228,-0.42063127024499997
ACH-000231,-0.24413173223999998
ACH-000232,-0.257472125873
ACH-000233,0.028290742344999998
ACH-000234,-0.164791702889
ACH-000235,-0.239205222456
ACH-000237,-0.070422611825
ACH-000238,-0.0399472482227
ACH-000243,-0.18354142551600003
ACH-000244,-0.12356156640900001
ACH-000246,-0.291742364945
ACH-000248,-0.35900323162799996
ACH-000250,-0.21006635481400002
ACH-000251,-0.0973986174
ACH-000253,-0.0724465097227
ACH-000255,-0.193411914283
ACH-000256,-0.12439625882099999
ACH-000257,0.042423465455300007
ACH-000258,-0.612386458023
ACH-000259,-0.296355344174
ACH-000260,-0.189658406388
ACH-000261,-0.194551773668
ACH-000262,-0.0877689946723
ACH-000263,-0.34436185132200003
ACH-000264,-0.301817310575
ACH-000265,-0.17521442444600002
ACH-000266,-0.22536191375
ACH-000272,-0.219225628147
ACH-000273,-0.320624959645
ACH-000274,-0.043889350072
ACH-000277,-0.004901791528569999
ACH-000278,-0.059872631730300004
ACH-000279,-0.0903517440902
ACH-000280,-0.302110398423
ACH-000281,-0.324680507116
ACH-000288,-0.217785510409
ACH-000291,-0.0833254493812
ACH-000293,-0.119502809574
ACH-000294,-0.320308437345
ACH-000295,-0.450047500431
ACH-000296,-0.175993838164
ACH-000302,-0.180158136296
ACH-000304,-0.287153449802
ACH-000307,-0.0506474186335
ACH-000308,-0.147780908408
ACH-000310,-0.21588926605300002
ACH-000311,-0.391208639562
ACH-000312,-0.251439482992
ACH-000315,-0.030863041401400004
ACH-000316,0.07518575007100001
ACH-000317,-0.163016586509
ACH-000318,-0.359983042242
ACH-000319,-0.197373691829
ACH-000320,-0.20481642782200002
ACH-000322,0.024536920446099997
ACH-000323,-0.22633193317400002
ACH-000324,-0.187481496742
ACH-000329,-0.20729447219799998
ACH-000330,-0.25063486410999997
ACH-000331,-0.227059761025
ACH-000332,-0.197497712381
ACH-000334,-0.07972433317939999
ACH-000335,0.046097444533099996
ACH-000336,-0.156214402702
ACH-000337,-0.482375958675
ACH-000339,-0.18746507647
ACH-000341,-0.444983540518
ACH-000348,-0.24137339022799997
ACH-000350,-0.276529396939
ACH-000352,-0.191468901417
ACH-000356,-0.29086696657
ACH-000361,-0.210211367023
ACH-000362,-0.0797226354725
ACH-000363,-0.09107312030060001
ACH-000364,-0.154541643258
ACH-000365,-0.159957108744
ACH-000366,-0.141604233085
ACH-000368,-0.18347583071600002
ACH-000374,-0.213551932051
ACH-000375,-0.21256706750100002
ACH-000376,-0.216622308334
ACH-000381,-0.36080339073600004
ACH-000383,-0.265771229494
ACH-000387,-0.190304515657
ACH-000389,-0.157686663477
ACH-000390,-0.310043098284
ACH-000393,-0.172148008558
ACH-000395,-0.194188273473
ACH-000397,-0.156464242251
ACH-000401,-0.23207697568900001
ACH-000402,-0.203176254864
ACH-000403,-0.246578212633
ACH-000404,-0.348824575905
ACH-000406,-0.250838206592
ACH-000407,-0.249791414751
ACH-000408,-0.21149007384500002
ACH-000410,-0.34114530782799996
ACH-000411,-0.120396290621
ACH-000414,-0.149799312695
ACH-000415,-0.09657805013010001
ACH-000416,-0.200480318371
ACH-000420,-0.0584672666853
ACH-000421,-0.298276668842
ACH-000424,-0.09140269110339999
ACH-000425,-0.155473039658
