,API5 (8539)
ACH-000004,-0.43880795738000006
ACH-000007,-0.26149047078000004
ACH-000009,-0.330263333139
ACH-000011,-0.0865522676212
ACH-000012,-0.388277811118
ACH-000013,-0.236251893339
ACH-000014,-0.5228136913229999
ACH-000015,-0.25493417258699996
ACH-000017,-0.0464494612756
ACH-000018,-0.335613374207
ACH-000019,-0.19837899377
ACH-000021,-0.44971282998400003
ACH-000022,-0.215239508444
ACH-000025,-0.476335394203
ACH-000028,-0.783050832453
ACH-000030,-0.448002081615
ACH-000035,-0.342086062372
ACH-000036,-0.0647160206857
ACH-000037,-0.284259466861
ACH-000039,-0.6028315654649999
ACH-000040,-0.606198539495
ACH-000041,-0.40353213386799996
ACH-000042,-0.581805329007
ACH-000045,-0.33287909353100004
ACH-000047,-0.592393508275
ACH-000052,-0.21172960713199998
ACH-000053,-0.350693900208
ACH-000054,-0.107896111948
ACH-000055,-0.0653004705435
ACH-000060,-0.54895604595
ACH-000067,-0.41590420755
ACH-000070,-0.436511721479
ACH-000075,-0.579722911846
ACH-000078,-0.383405344466
ACH-000082,-0.351651994388
ACH-000085,-0.034273507579
ACH-000086,-0.253626233813
ACH-000087,-0.0804661676805
ACH-000092,-0.203057659808
ACH-000095,-0.20490415138
ACH-000097,-0.336269406781
ACH-000098,-0.132200036422
ACH-000099,-0.29780417615800003
ACH-000108,-0.41853414418000007
ACH-000113,-0.725537620108
ACH-000115,-0.468560494211
ACH-000116,-0.532269000521
ACH-000118,-0.328983903066
ACH-000120,-0.261338072425
ACH-000123,-0.436534330228
ACH-000127,-0.407625294452
ACH-000128,-0.43612295008100005
ACH-000132,-0.5122539606490001
ACH-000133,-0.428522372337
ACH-000137,-0.18224388964299998
ACH-000138,-0.279858126988
ACH-000142,-0.384483840223
ACH-000143,-0.521109355739
ACH-000146,-0.33600926376100004
ACH-000148,-0.351929308951
ACH-000150,-0.293196355352
ACH-000152,-0.132008742717
ACH-000153,-0.0703722645483
ACH-000159,-0.31328874869
ACH-000160,-0.21683340593400002
ACH-000163,-0.10820185548599999
ACH-000167,-0.5134002111429999
ACH-000168,-0.509760840171
ACH-000169,-0.00778216913834
ACH-000178,-0.454042383745
ACH-000182,-0.293548016704
ACH-000183,-0.37062158014300006
ACH-000188,-0.364987529529
ACH-000189,-0.0614608471497
ACH-000190,-0.5044848913800001
ACH-000198,-0.501042690673
ACH-000204,-0.567468912769
ACH-000206,-0.16644230719699998
ACH-000207,-0.359427104619
ACH-000211,-0.451010596954
ACH-000215,-0.352756203706
ACH-000221,-0.237241650227
ACH-000222,-0.49944542764600003
ACH-000223,-0.433621722133
ACH-000226,-0.8706065923690001
ACH-000227,-0.583291452128
ACH-000228,-0.136191181027
ACH-000231,-0.32750757785900003
ACH-000232,-0.37882801196800003
ACH-000233,-0.30473749169500003
ACH-000234,-0.136207685775
ACH-000235,-0.45614857455700003
ACH-000237,-0.148204446157
ACH-000238,-0.636580723742
ACH-000243,-0.228675391686
ACH-000244,-0.270451660966
ACH-000246,-0.280511659527
ACH-000248,-0.43666435602
ACH-000250,-0.483915586889
ACH-000251,-0.736581321367
ACH-000253,-0.062202887642800006
ACH-000255,-0.371973034425
ACH-000256,-0.7383615553919999
ACH-000257,-0.09970811242730002
ACH-000258,-0.41543095770099997
ACH-000259,-0.267190717824
ACH-000260,-0.4792409825399999
ACH-000261,-0.232619230519
ACH-000262,-0.123993301818
ACH-000263,-1.01453211345
ACH-000264,-0.633827969538
ACH-000265,-0.416429070524
ACH-000266,-0.46045407724799997
ACH-000272,-0.341434109899
ACH-000273,-0.512855083208
ACH-000274,-0.306935045038
ACH-000277,-0.24273541094999998
ACH-000278,-0.262200595027
ACH-000279,-0.437558684455
ACH-000280,-0.104322972773
ACH-000281,-0.30563988338500003
ACH-000288,-0.158743606869
ACH-000291,-0.19905861102800002
ACH-000293,-0.653288095863
ACH-000294,0.0606021696785
ACH-000295,-0.606162810082
ACH-000296,-0.249607917758
ACH-000302,-0.312758705113
ACH-000304,-0.90983761146
ACH-000307,-0.492500153309
ACH-000308,-0.430216225832
ACH-000310,-0.389876276579
ACH-000311,-0.446485119708
ACH-000312,-0.15142098729
ACH-000315,-0.519458427006
ACH-000316,-0.516117261731
ACH-000317,-0.17661362824700003
ACH-000318,-0.41317732361299997
ACH-000319,-0.340575255816
ACH-000320,-0.398818688219
ACH-000322,-0.398421049679
ACH-000323,-0.328057451359
ACH-000324,-0.34195303475500005
ACH-000329,-0.11438307050100001
ACH-000330,-0.53563236635
ACH-000331,-0.501482420033
ACH-000332,-0.371345193107
ACH-000334,-0.10058893726500001
ACH-000335,-0.6730410773819999
ACH-000336,-0.46405583442000004
ACH-000337,-0.182230132573
ACH-000339,-0.399092703632
ACH-000341,-0.012414842439999999
ACH-000348,-0.38409171458999997
ACH-000350,-0.32563331725
ACH-000352,-0.261972002589
ACH-000356,-0.504744551275
ACH-000361,-0.738372974721
ACH-000362,-0.304534239945
ACH-000363,-0.689939003332
ACH-000364,-0.400907980599
ACH-000365,-0.36798996876199996
ACH-000366,-0.37861969459600003
ACH-000368,-0.34511497316399997
ACH-000374,-0.511474658469
ACH-000375,-0.399521739868
ACH-000376,-0.29401341750300003
ACH-000381,-0.364139201611
ACH-000383,-0.45231773871799996
ACH-000387,-0.44659048198999995
ACH-000389,-0.18309579710499999
ACH-000390,-0.409127453247
ACH-000393,-0.28929990462
ACH-000395,-0.239431887308
ACH-000397,-0.261254235655
ACH-000401,-0.253862788956
ACH-000402,-0.64075464091
ACH-000403,-0.537303492208
ACH-000404,-0.0828034868787
ACH-000406,-0.318515641606
ACH-000407,-0.26633882225
ACH-000408,-0.56392263755
ACH-000410,-0.49070764281199997
ACH-000411,-0.164848785655
ACH-000414,-0.214602115993
ACH-000415,-0.25679769707899996
ACH-000416,-0.26889309590300003
ACH-000420,-0.195330065414
ACH-000421,-0.280907320465
ACH-000424,-0.09199044658700001
ACH-000425,-0.464621617843
ACH-000426,-0.7101236338310001
ACH-000427,-0.319258594089
ACH-000433,-0.332170138474
ACH-000436,-0.37587488434
ACH-000444,-0.509960033493
ACH-000445,-0.574418917285
ACH-000448,-0.136205594989
ACH-000450,-0.348664515026
ACH-000452,-0.369383532992
ACH-000454,-0.208112903044
ACH-000458,-0.34129378115099995
ACH-000459,-0.535425064957
ACH-000460,-0.525797367355
ACH-000461,-0.359594645013
ACH-000463,-0.103156933529
ACH-000464,-0.345980083173
ACH-000466,-0.163995914641
ACH-000467,-0.0582930734311
ACH-000468,-0.230079545422
ACH-000469,-0.37293512753200003
ACH-000470,-0.480543731625
ACH-000471,-0.470696753746
ACH-000472,-0.20182927344999999
ACH-000473,-0.55993039422
ACH-000475,-0.7023958157250001
ACH-000476,-0.402443540264
ACH-000477,-0.205520022004
ACH-000480,-0.274722868496
ACH-000481,-0.242689682163
ACH-000483,-0.466175414148
ACH-000484,-0.353714313942
ACH-000485,-0.251241072183
ACH-000486,-0.29699362848099997
ACH-000487,-0.40011677328699996
ACH-000488,-0.254963061585
ACH-000490,-0.470345987101
ACH-000491,-0.34515081601099995
ACH-000495,-0.592275293594
ACH-000496,-0.6119526161509999
ACH-000499,-0.424416503983
ACH-000500,-0.775029294792
