,ROR2 (4920)
ACH-000004,0.119959259564
ACH-000007,0.0735481302615
ACH-000009,-0.22089283240600002
ACH-000011,-0.165085733392
ACH-000012,-0.234580710217
ACH-000013,-0.296536278934
ACH-000014,-0.199164280502
ACH-000015,-0.257211218417
ACH-000017,-0.265857317922
ACH-000018,-0.204255154566
ACH-000019,-0.434229670157
ACH-000021,-0.11032204697100001
ACH-000022,-0.227515281635
ACH-000025,-0.128399467465
ACH-000028,-0.0711554357757
ACH-000030,-0.14824066662000002
ACH-000035,-0.0272070683517
ACH-000036,-0.131097582084
ACH-000037,-0.438856576775
ACH-000039,-0.252986577499
ACH-000040,-0.3269301086
ACH-000041,-0.232354806165
ACH-000042,-0.166543992918
ACH-000045,-0.0174308153897
ACH-000047,-0.00610894144762
ACH-000052,-0.40457310098800003
ACH-000053,-0.20265682537799998
ACH-000054,-0.0524806948647
ACH-000055,-0.191884660222
ACH-000060,-0.152919192043
ACH-000067,-0.164119463876
ACH-000070,-0.31258775050500004
ACH-000075,0.007402499663430001
ACH-000078,-0.134549787569
ACH-000082,-0.10457315091700001
ACH-000085,-0.360196949989
ACH-000086,-0.22535016478
ACH-000087,-0.182395750779
ACH-000092,-0.20063255335299998
ACH-000095,-0.20181008721000002
ACH-000097,-0.14594301839600002
ACH-000098,-0.170557649192
ACH-000099,-0.182041758308
ACH-000108,-0.04793388747980001
ACH-000113,-0.17600728060100002
ACH-000115,-0.24257647672600002
ACH-000116,-0.0204563214539
ACH-000118,-0.162815949612
ACH-000120,-0.18003889663
ACH-000123,-0.254073293817
ACH-000127,-0.135898091822
ACH-000128,0.036566181275699994
ACH-000132,-0.20137295270599997
ACH-000133,-0.23705214011700002
ACH-000137,-0.21297260888099998
ACH-000138,-0.07191416308899999
ACH-000142,-0.07715287711239999
ACH-000143,-0.306932461736
ACH-000146,-0.09002570244619999
ACH-000148,-0.158332364845
ACH-000150,-0.169082359269
ACH-000152,-0.240368249337
ACH-000153,0.190757281655
ACH-000159,-0.19829828669799998
ACH-000160,-0.20220288814399998
ACH-000163,-0.20115993087200001
ACH-000167,-0.038024442568
ACH-000168,-0.27740173754999997
ACH-000169,-0.105281586336
ACH-000178,-0.311724437292
