,NDUFA4L2 (56901)
ACH-000004,-0.168885632734
ACH-000007,-0.181079895179
ACH-000009,-0.30642767076099997
ACH-000011,-0.24655744177299999
ACH-000012,-0.363472771256
ACH-000013,-0.20938277279599998
ACH-000014,-0.222987074441
ACH-000015,-0.41228517019
ACH-000017,-0.20103503253
ACH-000018,-0.258993063376
ACH-000019,-0.067518035925
ACH-000021,-0.341195186856
ACH-000022,-0.36776658318300004
ACH-000025,-0.42291679319700004
ACH-000028,-0.40236460632700005
ACH-000030,-0.29849087661699997
ACH-000035,-0.286147129068
ACH-000036,-0.223181055296
ACH-000037,-0.24613077188299998
ACH-000039,-0.3048480068
ACH-000040,-0.282567068116
ACH-000041,-0.237416015511
ACH-000042,-0.249026907998
ACH-000045,-0.241756376136
ACH-000047,-0.16002660433
ACH-000052,-0.390982343921
ACH-000053,-0.175217885652
ACH-000054,-0.290530339342
ACH-000055,-0.337793434896
ACH-000060,-0.22038591107299998
ACH-000067,-0.384726383867
ACH-000070,-0.234704571272
ACH-000075,-0.345064850142
ACH-000078,-0.40222555381499997
ACH-000082,-0.25639357842
ACH-000085,-0.42057488447400004
ACH-000086,-0.449283150955
ACH-000087,-0.19027578096099998
ACH-000092,-0.225350888618
ACH-000095,-0.13375394535399998
ACH-000097,-0.210637889238
ACH-000098,-0.200276005718
ACH-000099,-0.182853912129
ACH-000108,-0.0115182304684
ACH-000113,-0.161810543325
ACH-000115,-0.21323107556899998
ACH-000116,-0.137922407528
ACH-000118,-0.17812050272399998
ACH-000120,-0.208191711276
ACH-000123,-0.31544399116300004
ACH-000127,-0.162896736239
ACH-000128,-0.508434755466
ACH-000132,0.06354904152959999
ACH-000133,-0.37248252302900003
ACH-000137,-0.334405723852
ACH-000138,-0.440494452065
ACH-000142,-0.211990727044
ACH-000143,-0.156384563319
ACH-000146,-0.0979360615876
ACH-000148,-0.315200793903
ACH-000150,-0.520641036959
ACH-000152,-0.169829070007
ACH-000153,-0.018440002278
ACH-000159,-0.24901754121199998
ACH-000160,-0.48420797983499997
ACH-000163,-0.11987914071799999
ACH-000167,-0.12134280919299999
ACH-000168,-0.30860561867499997
ACH-000169,-0.17158711496399998
ACH-000178,-0.174888276436
ACH-000182,-0.28578899306899996
ACH-000183,-0.11977386042199999
ACH-000188,-0.09200204514730001
ACH-000189,-0.45828217634199997
ACH-000190,-0.24057963114199998
ACH-000198,-0.20600595287700002
ACH-000204,-0.113743188736
ACH-000206,-0.182513230843
ACH-000207,0.0655600556518
ACH-000211,-0.163973458126
ACH-000215,-0.43564078327699995
ACH-000221,-0.17161720317499998
ACH-000222,-0.130271379061
ACH-000223,-0.234372807739
ACH-000226,-0.250916513225
ACH-000227,-0.35692665458000006
ACH-000228,-0.264322963784
ACH-000231,-0.314505086689
ACH-000232,-0.30931010422899996
ACH-000233,-0.301238299218
ACH-000234,-0.38175601321
ACH-000235,-0.299428167864
ACH-000237,-0.157786544004
ACH-000238,-0.14128208378499998
ACH-000243,-0.243735056118
ACH-000244,0.034983973799699995
ACH-000246,-0.203403749251
ACH-000248,-0.429043616756
ACH-000250,-0.243516424066
ACH-000251,-0.15311777412799998
ACH-000253,-0.08935022161489999
ACH-000255,-0.21174093276099998
ACH-000256,-0.0095624167134
ACH-000257,-0.113201596301
ACH-000258,-0.109750198969
ACH-000259,-0.21198673626800002
ACH-000260,-0.251162733194
ACH-000261,-0.220874931666
ACH-000262,-0.21227452234299998
ACH-000263,-0.0640383096957
ACH-000264,-0.28044263125
ACH-000265,-0.252669608725
ACH-000266,-0.215884739289
ACH-000272,-0.107200441895
ACH-000273,-0.308849256091
ACH-000274,-0.26993473933
ACH-000277,-0.185656341444
ACH-000278,-0.319528278464
ACH-000279,-0.204768463994
ACH-000280,-0.23428940181400001
ACH-000281,-0.235568503998
