,TTN (7273)
ACH-000004,-0.261867958415
ACH-000007,-0.367076802888
ACH-000009,-0.386295055765
ACH-000011,-0.219260451078
ACH-000012,-0.270208257984
ACH-000013,-0.18755691392299997
ACH-000014,-0.20463847815000002
ACH-000015,-0.324276039058
ACH-000017,-0.0111894224442
ACH-000018,-0.340865647408
ACH-000019,-0.0185604116764
ACH-000021,-0.057838857901
ACH-000022,-0.28387506247
ACH-000025,-0.0919082107198
ACH-000028,-0.019387283269599997
ACH-000030,-0.395864719947
ACH-000035,-0.190807561309
ACH-000036,-0.314681193642
ACH-000037,-0.42667164564800003
ACH-000039,-0.294185833294
ACH-000040,-0.030346061890099998
ACH-000041,-0.138354350318
ACH-000042,-0.204279017455
ACH-000045,-0.1018687748
ACH-000047,-0.14304637924799998
ACH-000052,-0.172664564677
ACH-000053,-0.118862049616
ACH-000054,-0.0104129715302
ACH-000055,-0.08525966905789999
ACH-000060,-0.253402419386
ACH-000067,0.0596761492579
ACH-000070,-0.29164151111
ACH-000075,-0.22856689259399998
ACH-000078,-0.163720985244
ACH-000082,-0.232934282309
ACH-000085,-0.176415141512
ACH-000086,-0.137608067663
ACH-000087,-0.0891904733881
ACH-000092,-0.21033927132
ACH-000095,-0.379716002355
ACH-000097,-0.433921898706
ACH-000098,-0.197260275602
ACH-000099,-0.17317474194200003
ACH-000108,-0.47187486231200004
ACH-000113,-0.27510122521499997
ACH-000115,-0.101380978096
ACH-000116,-0.17476861926399997
ACH-000118,-0.200460351974
ACH-000120,-0.215365164168
ACH-000123,-0.254920537471
ACH-000127,-0.20974491901700001
ACH-000128,-0.167753039785
ACH-000132,-0.0931211725705
ACH-000133,-0.35680352021
ACH-000137,-0.0653134180595
ACH-000138,-0.283714259509
ACH-000142,-0.10808029513499999
ACH-000143,0.11470814230399999
ACH-000146,-0.21053165772799998
ACH-000148,-0.235059059323
ACH-000150,-0.0847085759635
ACH-000152,-0.142079934119
ACH-000153,-0.6118854491800001
ACH-000159,-0.1671891408
ACH-000160,-0.15656275912599998
ACH-000163,-0.103689530627
ACH-000167,-0.35162729952699995
ACH-000168,-0.397118276183
ACH-000169,-0.0803546035985
ACH-000178,-0.124688164848
ACH-000182,-0.313253168372
ACH-000183,-0.34542731171499996
ACH-000188,-0.135290051899
ACH-000189,0.184250114338
ACH-000190,-0.297943051216
ACH-000198,-0.292598325672
ACH-000204,-0.146051756334
ACH-000206,0.108066981018
ACH-000207,-0.057841214194800004
ACH-000211,-0.289827003474
ACH-000215,-0.23375746918200002
ACH-000221,-0.367178469026
ACH-000222,-0.451041317412
ACH-000223,-0.307742671527
ACH-000226,-0.30203493746300003
ACH-000227,-0.358408423463
ACH-000228,-0.09013265417469998
ACH-000231,-0.217352311114
ACH-000232,-0.208410008314
ACH-000233,-0.04363148351
ACH-000234,-0.299792642515
ACH-000235,-0.138974552621
ACH-000237,-0.262673574851
ACH-000238,-0.192521994518
ACH-000243,-0.353102009582
ACH-000244,-0.135280923562
ACH-000246,-0.0750031200798
ACH-000248,0.00157045747444
ACH-000250,-0.263590810005
ACH-000251,0.000723047907714
ACH-000253,-0.100232235971
ACH-000255,-0.170528500152
ACH-000256,-0.24030027270799997
ACH-000257,-0.249134039009
ACH-000258,-0.380192215173
ACH-000259,-0.245843081868
ACH-000260,-0.228201714883
ACH-000261,-0.10232857739600001
ACH-000262,-0.222022024974
ACH-000263,-0.433350101647
ACH-000264,0.00335047821851
ACH-000265,-0.271476405326
ACH-000266,-0.167748462063
ACH-000272,-0.25576027784
ACH-000273,-0.340603464894
ACH-000274,-0.246586918471
ACH-000277,-0.08110424426589999
ACH-000278,-0.219375936074
ACH-000279,-0.14096925326999998
ACH-000280,-0.22553364659699998
ACH-000281,-0.426832645866
ACH-000288,-0.231336652896
ACH-000291,-0.233902839371
ACH-000293,-0.100678380618
ACH-000294,-0.309904295355
ACH-000295,-0.219967176717
ACH-000296,-0.235165584311
ACH-000302,-0.0994186402808
ACH-000304,-0.131350173417
ACH-000307,-0.15322246207
ACH-000308,-0.154594504921
ACH-000310,-0.281247434528
ACH-000311,-0.391255826199
ACH-000312,-0.183243368448
ACH-000315,-0.0400906244284
ACH-000316,-0.378884548687
ACH-000317,-0.39253729711199997
ACH-000318,-0.17176654610300002
ACH-000319,-0.13644275114600002
ACH-000320,-0.379087790762
ACH-000322,-0.12496120130899999
ACH-000323,-0.07971145089039999
ACH-000324,-0.41511683844499997
ACH-000329,-0.280291635111
ACH-000330,-0.38618933704999997
ACH-000331,-0.0753644075048
ACH-000332,-0.22907626588399999
ACH-000334,-0.223849311458
ACH-000335,-0.352987984431
ACH-000336,-0.153008922607
ACH-000337,-0.156423079711
ACH-000339,-0.11346769392799999
ACH-000341,-0.09847035722439999
ACH-000348,-0.117348862555
ACH-000350,-0.0634931899408
ACH-000352,-0.126876690685
ACH-000356,-0.112949333432
ACH-000361,-0.24769288028499997
ACH-000362,-0.298250302754
ACH-000363,-0.19858358100600002
ACH-000364,-0.0597889224373
ACH-000365,-0.34817693254500004
ACH-000366,-0.195993626195
ACH-000368,-0.268411205665
ACH-000374,0.106044091883
ACH-000375,-0.237298810357
ACH-000376,-0.247176075898
ACH-000381,-0.21188085764800002
