,LEMD3 (23592)
ACH-000004,-0.0684132929206
ACH-000007,0.0400430920766
ACH-000009,-0.149459667432
ACH-000011,-0.199820609674
ACH-000012,-0.105611910593
ACH-000013,-0.23491678302700003
ACH-000014,-0.151407259972
ACH-000015,-0.258100298543
ACH-000017,-0.211889975946
ACH-000018,-0.280914516406
ACH-000019,-0.306688700911
ACH-000021,-0.16610187302100002
ACH-000022,-0.027446915031900002
ACH-000025,-0.0606625161383
ACH-000028,-0.339712548165
ACH-000030,-0.28350899463199997
ACH-000035,-0.174703427204
ACH-000036,-0.475532471109
ACH-000037,-0.282564438839
ACH-000039,-0.173303836287
ACH-000040,-0.288338112
ACH-000041,-0.17287073803199998
ACH-000042,-0.08230098447110001
ACH-000045,-0.18011604649399998
ACH-000047,-0.041871290626
ACH-000052,-0.164468741738
ACH-000053,-0.108366025923
ACH-000054,0.0287709577968
ACH-000055,-0.242722323088
ACH-000060,0.103645898277
ACH-000067,-0.41636829389799995
ACH-000070,-0.192164709741
ACH-000075,-0.545299742477
ACH-000078,0.425148566291
ACH-000082,-0.226316525024
ACH-000085,-0.11980009752599999
ACH-000086,-0.101413987257
ACH-000087,-0.555059716087
ACH-000092,-0.252972255745
ACH-000095,-0.037622279126
ACH-000097,-0.225898135227
ACH-000098,-0.13079647561799998
ACH-000099,0.12403989506799999
ACH-000108,0.027500331154200003
ACH-000113,-0.0841386322583
ACH-000115,-0.0699732725953
ACH-000116,-0.46754625614100004
ACH-000118,-0.0782628860536
ACH-000120,-0.236492284285
ACH-000123,-0.158039760057
ACH-000127,0.024881513030400003
ACH-000128,-0.39014232723399994
ACH-000132,0.0325235795801
ACH-000133,-0.30136332157900003
ACH-000137,-0.160083433607
ACH-000138,-0.0693962104169
ACH-000142,-0.468786152586
ACH-000143,-0.00403766790958
ACH-000146,-0.0669167269024
ACH-000148,-0.36794859531900004
ACH-000150,-0.14260106357799998
ACH-000152,-0.550817059842
ACH-000153,-0.555779866008
ACH-000159,-0.576637853458
ACH-000160,-0.16164150247700002
ACH-000163,-0.30997427309799996
ACH-000167,-0.8099284865440001
ACH-000168,-0.325008437767
ACH-000169,-0.19584127726
ACH-000178,-0.0629805519051
ACH-000182,-0.253307146908
ACH-000183,-0.36483695955
ACH-000188,-0.14093388896
ACH-000189,0.06300602209430001
ACH-000190,0.11225977091099999
ACH-000198,0.0648928150679
ACH-000204,-0.380447538588
ACH-000206,0.33718287746299996
ACH-000207,-0.212393777186
ACH-000211,-0.0475347541445
ACH-000215,-0.284468048849
ACH-000221,-0.0348212159715
ACH-000222,-0.101558599855
ACH-000223,-0.0405108821966
ACH-000226,-0.0385453521709
ACH-000227,0.027998301868599997
ACH-000228,0.0146993714152
ACH-000231,-0.259743480764
ACH-000232,-0.238529138084
ACH-000233,0.00877323429255
ACH-000234,-0.261345190474
ACH-000235,-0.246927894342
ACH-000237,-0.16050098449300002
ACH-000238,-0.15911689909600002
ACH-000243,-0.055261290521200004
ACH-000244,-0.360063857357
ACH-000246,-0.216967817621
ACH-000248,-0.164633435101
ACH-000250,-0.14071769586
ACH-000251,-0.261074784261
ACH-000253,-0.0149193057984
ACH-000255,-0.08223073491239999
ACH-000256,-0.25751895864
ACH-000257,0.0810816042058
ACH-000258,-0.106927207699
ACH-000259,-0.00951705383157
ACH-000260,-0.262693896956
ACH-000261,-0.147391315818
ACH-000262,-0.17306102122900002
ACH-000263,-0.285954076865
ACH-000264,-0.293159353973
ACH-000265,-0.125372153776
ACH-000266,-0.17678276679000002
ACH-000272,-0.0543375647294
ACH-000273,-0.0680730571294
ACH-000274,-0.0191363174255
ACH-000277,-0.360558728881
ACH-000278,-0.247144486543
ACH-000279,-0.16805554656899999
ACH-000280,-0.294247756805
ACH-000281,-0.226179534756
ACH-000288,-0.41759824125100004
ACH-000291,-0.025836752280099996
ACH-000293,-0.6737004981520001
ACH-000294,0.39942494318800004
ACH-000295,-0.00721170191961
