,AURKB (9212)
ACH-000004,-1.6388678082600001
ACH-000007,-1.30701483921
ACH-000009,-1.7113042464700001
ACH-000011,-1.3241698048200001
ACH-000012,-1.2095817142899998
ACH-000013,-1.42286962003
ACH-000014,-1.4771865373
ACH-000015,-1.21613857161
ACH-000017,-1.47011838192
ACH-000018,-0.999635047407
ACH-000019,-1.26542618088
ACH-000021,-1.34442931222
ACH-000022,-1.40898534891
ACH-000025,-1.35014613359
ACH-000028,-1.25091423828
ACH-000030,-1.18396964864
ACH-000035,-1.4555267869400002
ACH-000036,-1.4247484592200002
ACH-000037,-2.3622592781400003
ACH-000039,-1.71988472564
ACH-000040,-1.4005242980300001
ACH-000041,-1.56388263407
ACH-000042,-1.61017294792
ACH-000045,-1.34374400417
ACH-000047,-1.22557463348
ACH-000052,-1.28188231444
ACH-000053,-1.4888938898299997
ACH-000054,-1.54017952365
ACH-000055,-1.7162845010299999
ACH-000060,-1.5856756556099998
ACH-000067,-1.4517041909600001
ACH-000070,-1.81636680602
ACH-000075,-1.6446012128299998
ACH-000078,-1.63845928831
ACH-000082,-1.4329430563299999
ACH-000085,-1.51251989485
ACH-000086,-1.3449592074899999
ACH-000087,-1.50189474208
ACH-000092,-1.6661533233399999
ACH-000095,-1.5555375665399997
ACH-000097,-1.44794296459
ACH-000098,-1.56048428174
ACH-000099,-1.70875626092
ACH-000108,-1.313103383
ACH-000113,-1.43158289655
ACH-000115,-1.99727015482
ACH-000116,-1.2226195666700002
ACH-000118,-1.2133363114799998
ACH-000120,-1.48062777089
ACH-000123,-1.50118877407
ACH-000127,-1.21015786842
ACH-000128,-1.64716047811
ACH-000132,-1.51514994712
ACH-000133,-1.3666749946
ACH-000137,-1.4198723395800001
ACH-000138,-1.3117050444
ACH-000142,-1.38995636099
ACH-000143,-1.5106125794799998
ACH-000146,-1.6913698966600001
ACH-000148,-1.29556175088
ACH-000150,-1.4170519674899997
ACH-000152,-1.5440230347
ACH-000153,-1.1590229965799999
ACH-000159,-1.5349518093399999
ACH-000160,-1.04973579312
ACH-000163,-1.38826670011
ACH-000167,-1.1595085043200002
ACH-000168,-1.35972240619
ACH-000169,-1.2883655995299998
ACH-000178,-1.3820003273600001
ACH-000182,-1.57494589586
ACH-000183,-1.7543628101400002
ACH-000188,-1.26127668064
ACH-000189,-1.37328111264
ACH-000190,-1.04322888965
ACH-000198,-1.5342446458
ACH-000204,-1.634451197
ACH-000206,-1.3580200267299998
ACH-000207,-1.24527845659
ACH-000211,-1.35661848943
ACH-000215,-1.4989587174599999
ACH-000221,-1.6750862787399998
ACH-000222,-1.18996940164
ACH-000223,-1.2965217050700002
ACH-000226,-1.3096692948200002
ACH-000227,-2.1036197383
ACH-000228,-1.27006097944
ACH-000231,-1.73144693955
ACH-000232,-1.4380458068900002
ACH-000233,-1.4350214905899998
ACH-000234,-1.68117952524
ACH-000235,-1.33205171555
ACH-000237,-1.3751462403499999
ACH-000238,-1.39598366099
ACH-000243,-1.21353161609
ACH-000244,-1.46825136199
ACH-000246,-1.4891523614700002
ACH-000248,-1.28055797308
ACH-000250,-1.6361297832100001
ACH-000251,-1.2876964593200002
ACH-000253,-1.39352345768
ACH-000255,-1.23272313162
ACH-000256,-1.67521171511
ACH-000257,-1.62710808882
ACH-000258,-1.31010514182
ACH-000259,-1.34824119183
ACH-000260,-1.42014011662
ACH-000261,-1.46564586143
ACH-000262,-1.51531245667
ACH-000263,-1.99986484474
ACH-000264,-1.40226002146
ACH-000265,-1.3155779059000001
ACH-000266,-1.58987919986
ACH-000272,-1.5785700540799998
ACH-000273,-1.38472361096
ACH-000274,-2.1258155348599996
ACH-000277,-1.5996682156
ACH-000278,-1.4311024023899999
ACH-000279,-1.59199106119
ACH-000280,-1.57563020592
ACH-000281,-1.39013659785
ACH-000288,-1.6303153342399999
ACH-000291,-1.24317850547
ACH-000293,-1.62953480658
ACH-000294,-1.5399914602200002
ACH-000295,-1.8264942418999999
ACH-000296,-1.3390475274
ACH-000302,-1.3931390388999998
ACH-000304,-1.9270778670299997
ACH-000307,-1.19319404786
ACH-000308,-1.4070552247499999
ACH-000310,-1.52662968949
ACH-000311,-1.36716261724
ACH-000312,-1.4326636021899999
ACH-000315,-1.59356378847
ACH-000316,-1.3644419408300001
ACH-000317,-1.1368557681799998
ACH-000318,-1.18324878101
ACH-000319,-1.4339466112200001
ACH-000320,-1.26894322183
ACH-000322,-1.64587556521
ACH-000323,-1.7073040687999999
ACH-000324,-1.34868381225
ACH-000329,-1.7300702349200001
ACH-000330,-1.18001540249
ACH-000331,-1.2453764645899998
ACH-000332,-1.4165064382499999
ACH-000334,-1.3791193336899998
ACH-000335,-1.46189217018
ACH-000336,-1.60368233005
ACH-000337,-1.58050101431
ACH-000339,-1.47042640146
ACH-000341,-1.74269649786
ACH-000348,-1.3690416129799998
ACH-000350,-1.3124362675
ACH-000352,-1.40032298752
ACH-000356,-1.30824449507
ACH-000361,-1.6905255511000001
ACH-000362,-1.3737966693099999
ACH-000363,-1.33825594022
ACH-000364,-1.5931494612200001
ACH-000365,-1.54964723373
ACH-000366,-1.51953812299
ACH-000368,-1.4120396247999998
ACH-000374,-0.980857317509
ACH-000375,-1.2823052972799998
ACH-000376,-1.39046741593
ACH-000381,-1.26769380235
ACH-000383,-1.89989046708
ACH-000387,-1.53437948343
ACH-000389,-1.7249505007
ACH-000390,-1.09514990557
ACH-000393,-1.4378310761200002
ACH-000395,-1.28513235964
ACH-000397,-1.5626271294999998
ACH-000401,-1.4238738097799999
ACH-000402,-1.3294459431899999
ACH-000403,-1.76875869801
ACH-000404,-1.37446843162
ACH-000406,-1.4901037599399998
ACH-000407,-1.45830109359
ACH-000408,-1.27672857872
ACH-000410,-1.4625498561899999
ACH-000411,-1.36576342442
ACH-000414,-1.18416999087
ACH-000415,-1.15435368511
ACH-000416,-1.53309836777
ACH-000420,-1.51183705372
ACH-000421,-1.40287305228
ACH-000424,-1.42625330236
ACH-000425,-1.42534469236
ACH-000426,-1.74445379821
ACH-000427,-1.3810919812
ACH-000433,-1.3640594385799998
ACH-000436,-1.2321326048299999
ACH-000444,-1.34882010486
ACH-000445,-1.6358576518799999
ACH-000448,-1.4716843184600001
ACH-000450,-1.18675786395
ACH-000452,-1.5160113298500002
ACH-000454,-1.23308365267
ACH-000458,-1.28180169554
ACH-000459,-0.825035524527
ACH-000460,-1.30588875468
ACH-000461,-1.30173141668
ACH-000463,-1.2349685057
ACH-000464,-1.45504448676
ACH-000466,-1.68404673872
ACH-000467,-1.26805463847
ACH-000468,-1.5799915687200001
ACH-000469,-1.5663562876700001
ACH-000470,-1.44822280178
ACH-000471,-1.5039908915200002
ACH-000472,-1.5282720326700001
ACH-000473,-1.2909023805
ACH-000475,-1.3848774161000001
ACH-000476,-1.5016791664500002
ACH-000477,-1.24444525153
ACH-000480,-1.13519935533
ACH-000481,-1.6876431585499998
ACH-000483,-1.4899020952000002
ACH-000484,-1.36700253271
ACH-000485,-1.45764478944
ACH-000486,-1.35475280023
ACH-000487,-1.44797309436
ACH-000488,-1.23677907777
ACH-000490,-1.30400532984
ACH-000491,-1.13592340586
ACH-000495,-1.22635592511
ACH-000496,-1.67540797792
ACH-000499,-1.40758266368
ACH-000500,-1.70083647009
ACH-000502,-1.31744532208
ACH-000503,-1.1792464964
ACH-000505,-1.57516373887
ACH-000507,-1.2764563899799999
ACH-000510,-1.60896567049
ACH-000511,-1.4983977852300001
ACH-000512,-1.36914644083
ACH-000516,-1.78705009735
ACH-000517,-1.7116453657700001
ACH-000518,-1.2020063272100001
ACH-000520,-1.50950276071
ACH-000521,-1.45406791232
ACH-000522,-1.72815311574
ACH-000524,-1.0547732806299999
ACH-000527,-1.31522213511
ACH-000528,-1.27284296253
ACH-000537,-1.3973685205700002
ACH-000541,-1.60217863806
ACH-000542,-1.56486239732
ACH-000544,-1.3194692151799998
ACH-000545,-1.3158878062000001
ACH-000547,-1.1568092944
ACH-000548,-1.4121801281600002
ACH-000549,-1.13533103907
ACH-000550,-1.17220219156
ACH-000552,-1.4134073555200002
ACH-000556,-1.61198602199
ACH-000557,-2.53657886901
ACH-000570,-1.6191028325299999
ACH-000571,-1.8963783355500001
ACH-000573,-0.974262518233
ACH-000576,-1.3435529196899998
ACH-000580,-1.3151776705299998
ACH-000584,-1.5583341431400002
ACH-000585,-1.29911051107
ACH-000588,-1.53744320695
ACH-000589,-1.3750722664
ACH-000591,-1.6152392524799999
ACH-000593,-1.29362554134
ACH-000600,-1.48707059936
ACH-000601,-1.4436740608899998
ACH-000604,-1.53333443066
ACH-000605,-1.40136984093
ACH-000606,-1.10951405207
ACH-000608,-1.4659419684200001
ACH-000614,-1.59547000204
