,EPCAM (4072)
ACH-000004,-0.148654899644
ACH-000007,-0.164531071329
ACH-000009,0.0197507813814
ACH-000011,-0.195270749318
ACH-000012,-0.09430066979630002
ACH-000013,0.00436033090533
ACH-000014,-0.163735891114
ACH-000015,-0.12319128823799999
ACH-000017,-0.193190069215
ACH-000018,-0.08993524412489999
ACH-000019,-0.0768756120137
ACH-000021,0.000727579974842
ACH-000022,-0.214277362738
ACH-000025,-0.195404968827
ACH-000028,-0.276323187029
ACH-000030,-0.21916626003800002
ACH-000035,-0.246123301494
ACH-000036,-0.0824413277257
ACH-000037,-0.34521921273199996
ACH-000039,-0.09424378612710001
ACH-000040,-0.325362820491
ACH-000041,-0.19268898399999998
ACH-000042,-0.11406998885099999
ACH-000045,-0.11878970714199999
ACH-000047,-0.0473302491875
ACH-000052,-0.037864522560900005
ACH-000053,-0.10089090955
ACH-000054,-0.046703510983999996
ACH-000055,-0.0553733109379
ACH-000060,0.0388446538548
ACH-000067,-0.0752132704197
ACH-000070,-0.236754845385
ACH-000075,-0.362037891402
ACH-000078,-0.09990214175519999
ACH-000082,-0.0342079929869
ACH-000085,0.0309525033351
ACH-000086,-0.18032013970600003
ACH-000087,-0.10689100107100001
ACH-000092,-0.301145524158
ACH-000095,-0.144509483888
ACH-000097,-0.135632748752
ACH-000098,-0.12319776905999999
ACH-000099,-0.0202339037536
ACH-000108,-0.147661763334
ACH-000113,-0.198337936124
ACH-000115,-0.320539067577
ACH-000116,-0.241969124366
ACH-000118,-0.00876876422226
ACH-000120,0.0863772049161
ACH-000123,-0.11898025234699999
ACH-000127,-0.09237507222289999
ACH-000128,-0.045205381833
ACH-000132,-0.43624127316000005
ACH-000133,-0.28506018606999994
ACH-000137,-0.36671049729500005
ACH-000138,0.0344921761065
ACH-000142,-0.242286947809
ACH-000143,-0.0597339034951
ACH-000146,-0.184685988201
ACH-000148,-0.138983541135
ACH-000150,-0.122090539473
ACH-000152,-0.19181656813200001
ACH-000153,0.185257563229
ACH-000159,-0.31296927639600003
ACH-000160,-0.19005205685899998
ACH-000163,-0.36277404010700004
ACH-000167,-0.463152018622
ACH-000168,-0.0251875696428
ACH-000169,-0.0490887494021
ACH-000178,-0.235838301922
ACH-000182,-0.09539685346419999
ACH-000183,-0.179648080755
ACH-000188,-0.172429233757
ACH-000189,-0.0800867584373
ACH-000190,-0.0264779674867
ACH-000198,-0.0829617553067
ACH-000204,0.440621478151
ACH-000206,0.052075683083499996
ACH-000207,-0.5504155405560001
ACH-000211,-0.132555648601
ACH-000215,-0.18910887497200002
ACH-000221,-0.134391305898
ACH-000222,-0.2791054815
ACH-000223,-0.187313365621
ACH-000226,-0.00475299582725
ACH-000227,-0.499905401859
ACH-000228,0.114956466553
ACH-000231,-0.106191688672
ACH-000232,-0.115369954904
ACH-000233,-0.262417790931
ACH-000234,-0.0369512805774
ACH-000235,-0.09998751319499999
ACH-000237,-0.169199934897
ACH-000238,-0.0538312931316
ACH-000243,-0.110384276866
ACH-000244,-0.212658951784
ACH-000246,-0.157262729002
ACH-000248,-0.39062862363000006
ACH-000250,-0.159457080124
ACH-000251,0.133860231955
ACH-000253,0.0042123346684
ACH-000255,-0.049973620187599994
ACH-000256,-0.11513529142000001
ACH-000257,-0.0962640896232
ACH-000258,-0.0478263637706
ACH-000259,-0.019324036260400003
ACH-000260,-0.0888295788874
ACH-000261,-0.163183871466
ACH-000262,-0.11184889942
ACH-000263,-0.304387965007
ACH-000264,-0.222830002319
ACH-000265,-0.108939887032
ACH-000266,-0.156296019965
ACH-000272,-0.07202899946489999
ACH-000273,-0.129149854819
ACH-000274,-0.268496767747
ACH-000277,-0.304731797566
ACH-000278,-0.28786732672299997
ACH-000279,-0.20045572711100001
ACH-000280,-0.155460574424
ACH-000281,-0.09030139654319999
ACH-000288,-0.09443202188960001
ACH-000291,-0.10313924416300001
ACH-000293,-0.0818504614007
ACH-000294,-0.258458004138
ACH-000295,-0.46529728458400005
ACH-000296,-0.162379927224
ACH-000302,-0.0959207832305
ACH-000304,0.35346720313100005
ACH-000307,-0.197995298885
ACH-000308,-0.19233794175799998
ACH-000310,0.013218473827599999
ACH-000311,0.032209456672799994
ACH-000312,-0.175772045966
ACH-000315,-0.162098023304
ACH-000316,-0.24304706423300002
ACH-000317,-0.176673464082
ACH-000318,-0.118749600785
ACH-000319,-0.313519238604
ACH-000320,-0.0187774655671
ACH-000322,-0.16120921945
ACH-000323,-0.336617172607
