,CAB39L (81617)
ACH-000004,0.103710463453
ACH-000007,0.160585859425
ACH-000009,0.249082366697
ACH-000011,0.111739652216
ACH-000012,0.040058885542599995
ACH-000013,0.0275782901435
ACH-000014,0.0755997153137
ACH-000015,0.0162222181965
ACH-000017,0.09908279833889999
ACH-000018,0.13851718794
ACH-000019,0.275137083035
ACH-000021,-0.05434798351009999
ACH-000022,0.0882575493742
ACH-000025,0.148890554029
ACH-000028,0.124577962597
ACH-000030,0.133936541849
ACH-000035,0.04624963282049999
ACH-000036,0.16946544439199998
ACH-000037,0.260024437111
ACH-000039,0.0398213501806
ACH-000040,0.0949963899405
ACH-000041,0.0668903172276
ACH-000042,-0.0142476121172
ACH-000045,0.238052877247
ACH-000047,0.17500236965799998
ACH-000052,0.343281562844
ACH-000053,0.0808163523091
ACH-000054,0.0521680254617
ACH-000055,0.376457763213
ACH-000060,0.127750981195
ACH-000067,0.118350024391
ACH-000070,0.196782327317
ACH-000075,-0.0695282753238
ACH-000078,0.0338607920727
ACH-000082,0.14637764004
ACH-000085,0.22014887134799999
ACH-000086,0.0504189306332
ACH-000087,-0.0026958237693200005
ACH-000092,-0.272765599575
ACH-000095,0.0348464693973
ACH-000097,0.17261469421199999
ACH-000098,0.148661851716
ACH-000099,0.0333456816443
ACH-000108,0.107926178344
ACH-000113,0.167031506228
ACH-000115,0.268160704535
ACH-000116,0.182931191263
ACH-000118,0.08744396661960001
ACH-000120,0.05102421437969999
ACH-000123,0.149691171844
ACH-000127,0.150203646546
ACH-000128,0.250635104226
ACH-000132,-0.00538364820659
ACH-000133,0.20569952915800002
ACH-000137,-0.00541465351064
ACH-000138,0.09088219881560002
ACH-000142,0.0966343058363
ACH-000143,0.24466520555799998
ACH-000146,0.224624440964
ACH-000148,0.0382838129044
ACH-000150,0.108382457587
ACH-000152,0.0667319294075
ACH-000153,0.371810114004
ACH-000159,-0.0024118244081
ACH-000160,0.10996413864700001
ACH-000163,0.179145255568
ACH-000167,0.046472371193599996
ACH-000168,0.24974629851100003
ACH-000169,0.174285382242
ACH-000178,0.15793383788100002
ACH-000182,0.10561410170600001
ACH-000183,0.171148720649
ACH-000188,0.21458205613499998
ACH-000189,0.381150462087
