,ASIP (434)
ACH-000004,-0.21325671803500001
ACH-000007,-0.0948374827189
ACH-000009,-0.157730295318
ACH-000011,-0.107739774506
ACH-000012,-0.0155448894303
ACH-000013,-0.029888934967099996
ACH-000014,-0.248622682927
ACH-000015,-0.27514876954100004
ACH-000017,-0.0028204153085
ACH-000018,-0.170068961129
ACH-000019,-0.0748119060224
ACH-000021,-0.177207558255
ACH-000022,-0.00964317565085
ACH-000025,-0.0952653269103
ACH-000028,-0.113416869813
ACH-000030,-0.177127913724
ACH-000035,-0.201913990075
ACH-000036,-0.356757202411
ACH-000037,-0.262769567406
ACH-000039,-0.47020435474399996
ACH-000040,-0.25715012945599997
ACH-000041,0.0651193959733
ACH-000042,-0.176688617477
ACH-000045,-0.187718811206
ACH-000047,-0.022215640606299998
ACH-000052,-0.24711606240400003
ACH-000053,-0.0619378333208
ACH-000054,-0.143026857329
ACH-000055,-0.0908347192495
ACH-000060,-0.39763927799099996
ACH-000067,-0.0358785293211
ACH-000070,-0.317539705635
ACH-000075,-0.0833725730384
ACH-000078,-0.21202927159899998
ACH-000082,-0.129806621387
ACH-000085,-0.397358533824
ACH-000086,-0.145088045252
ACH-000087,0.000727596282652
ACH-000092,-0.389426834256
ACH-000095,-0.177734170044
ACH-000097,-0.10064137145199999
ACH-000098,0.0374707375942
ACH-000099,-0.113889253591
ACH-000108,0.07299936257239999
ACH-000113,-0.182090948711
ACH-000115,-0.05301703481000001
ACH-000116,-0.118628919397
ACH-000118,-0.117903525835
ACH-000120,-0.10522045237199999
ACH-000123,-0.15614020361
ACH-000127,-0.0217083107161
ACH-000128,-0.25281405196999995
ACH-000132,-0.247713137503
ACH-000133,-0.203828373612
ACH-000137,0.0635261884639
ACH-000138,-0.0606427294699
ACH-000142,-0.179709323732
ACH-000143,-0.0450683375792
ACH-000146,-0.147485563948
ACH-000148,-0.0465223449711
ACH-000150,-0.21736570785599998
ACH-000152,-0.0549561834035
ACH-000153,0.0430847534929
ACH-000159,-0.213676436459
ACH-000160,-0.316321602454
ACH-000163,-0.0650594971077
ACH-000167,-0.22387672566599998
ACH-000168,-0.027023038983800002
ACH-000169,-0.0960678256316
ACH-000178,-0.151405300307
ACH-000182,-0.265547386882
ACH-000183,0.0167950947951
ACH-000188,-0.060972434819400005
ACH-000189,-0.183417602543
ACH-000190,-0.372080841722
ACH-000198,-0.212718523491
ACH-000204,-0.0791293262593
ACH-000206,-0.0914369069166
ACH-000207,-0.282514212503
ACH-000211,-0.231454100508
ACH-000215,-0.114106130064
ACH-000221,-0.0824785085831
ACH-000222,-0.16564708410499998
ACH-000223,-0.0712866966642
ACH-000226,-0.00904099784919
ACH-000227,-0.24130621650400003
ACH-000228,0.0260114451867
ACH-000231,-0.165670239585
ACH-000232,-0.187887974181
ACH-000233,-0.162058446179
ACH-000234,-0.14307183452
ACH-000235,-0.15228905080900002
ACH-000237,-0.158193832822
ACH-000238,-0.38223372699
ACH-000243,-0.158753172482
ACH-000244,-0.30553775300299996
ACH-000246,-0.0335922603425
ACH-000248,-0.11727394627999999
ACH-000250,-0.0968052233048
ACH-000251,-0.119380427928
ACH-000253,0.0128838374107
ACH-000255,-0.159049884682
ACH-000256,0.040531050826599996
ACH-000257,-0.22144455727600001
ACH-000258,-0.376108048082
ACH-000259,-0.253646722249
ACH-000260,-0.26340674114
ACH-000261,-0.24886298536899998
ACH-000262,-0.161371626581
ACH-000263,-0.169672397897
ACH-000264,-0.145753876984
ACH-000265,-0.142206398853
ACH-000266,-0.0613403177553
ACH-000272,-0.4146225219
ACH-000273,-0.205038282998
