,GRID2 (2895)
ACH-000004,-0.132559048829
ACH-000007,-0.282747192251
ACH-000009,-0.227844140171
ACH-000011,-0.10253137290799999
ACH-000012,-0.196320034261
ACH-000013,-0.044690900954599995
ACH-000014,-0.25197242859200003
ACH-000015,-0.31113141585299997
ACH-000017,-0.332757234835
ACH-000018,-0.10776555001499999
ACH-000019,-0.0804352730816
ACH-000021,-0.26913058979800003
ACH-000022,-0.0850838869386
ACH-000025,-0.20952573484499998
ACH-000028,-0.37806291665799996
ACH-000030,-0.306047807722
ACH-000035,-0.322144082077
ACH-000036,-0.0720107492698
ACH-000037,-0.12206461870799999
ACH-000039,-0.487152418436
ACH-000040,-0.244301051279
ACH-000041,-0.301072354005
ACH-000042,-0.327480945275
ACH-000045,-0.235018726274
ACH-000047,-0.23720306410599998
ACH-000052,-0.13838790945999999
ACH-000053,-0.249177095099
ACH-000054,-0.135030035953
ACH-000055,-0.443221013528
ACH-000060,-0.181501205978
ACH-000067,-0.18604086542599998
ACH-000070,0.04911075921
ACH-000075,-0.10732443361300001
ACH-000078,-0.402456114174
ACH-000082,-0.11274878495200001
ACH-000085,-0.237454239333
ACH-000086,-0.22621056811299997
ACH-000087,-0.266620414527
ACH-000092,-0.257001497264
ACH-000095,-0.155333314519
ACH-000097,-0.170721505325
ACH-000098,-0.22796745954199998
ACH-000099,-0.483277319637
ACH-000108,-0.29037934626999995
ACH-000113,-0.24194289039500003
ACH-000115,-0.09695568152650001
ACH-000116,-0.266006812642
ACH-000118,-0.22277999786999997
ACH-000120,-0.135237569941
ACH-000123,-0.388619905102
ACH-000127,-0.33748045194799997
ACH-000128,-0.30819904829
ACH-000132,-0.553065633203
ACH-000133,-0.30976782097399996
ACH-000137,-0.21061982289500003
ACH-000138,-0.136502290713
ACH-000142,-0.0765700221227
ACH-000143,-0.41117507452
ACH-000146,-0.333321090112
ACH-000148,-0.15382458373
ACH-000150,-0.185882844494
ACH-000152,-0.229837099979
ACH-000153,-0.561917630297
ACH-000159,-0.189482182218
ACH-000160,-0.34688196387599995
ACH-000163,-0.18566878935199999
ACH-000167,-0.257791059404
ACH-000168,-0.179171142602
ACH-000169,-0.208532883631
ACH-000178,-0.20751420641899998
ACH-000182,-0.118952398683
ACH-000183,-0.100292030408
ACH-000188,-0.13477519896600001
ACH-000189,-0.577064058768
ACH-000190,-0.420141294924
ACH-000198,-0.12480595262199999
ACH-000204,-0.51238459582
ACH-000206,-0.346024916497
ACH-000207,-0.0933053587833
ACH-000211,-0.372703345878
ACH-000215,-0.206406444038
ACH-000221,-0.156355462226
ACH-000222,-0.324135530464
ACH-000223,-0.14292129425300001
ACH-000226,-0.174756714423
ACH-000227,-0.58531509802
ACH-000228,-0.0215314489868
ACH-000231,-0.243023965207
ACH-000232,-0.27113118943799996
ACH-000233,-0.132894668847
ACH-000234,-0.234590463822
ACH-000235,-0.223249375796
ACH-000237,-0.244986193728
ACH-000238,-0.17784428221700002
ACH-000243,-0.371873358448
ACH-000244,-0.0748464899272
ACH-000246,-0.326828002801
ACH-000248,-0.0687997560825
ACH-000250,-0.16219863217
ACH-000251,0.013710324000299999
ACH-000253,-0.152994856184
ACH-000255,-0.196876752491
ACH-000256,-0.0964043814948
ACH-000257,0.014897622434
ACH-000258,-0.627841726593
ACH-000259,-0.24133232203899999
ACH-000260,-0.256346448236
ACH-000261,-0.20798673587699998
ACH-000262,-0.30879747347
ACH-000263,-0.128718811928
ACH-000264,-0.115712191941
ACH-000265,-0.367482197239
ACH-000266,-0.32818873038699997
ACH-000272,-0.276774592871
ACH-000273,-0.29484128897
ACH-000274,-0.04586977244609999
ACH-000277,-0.148049596133
ACH-000278,-0.1557732516
ACH-000279,-0.24209420615
ACH-000280,-0.0934178900604
ACH-000281,-0.412672260749
ACH-000288,-0.17733966773600002
ACH-000291,-0.12834680956800001
ACH-000293,-0.232724250313
ACH-000294,-0.0784553207802
ACH-000295,-0.21302587540999998
ACH-000296,-0.24799599757100002
ACH-000302,-0.24784304090700002
ACH-000304,-0.24234509198600002
ACH-000307,-0.301595510021
ACH-000308,-0.24233338073600003
ACH-000310,-0.6224551654079999
ACH-000311,-0.33583982080700003
ACH-000312,-0.256671556076
ACH-000315,-0.08282270652269999
ACH-000316,-0.250403151837
ACH-000317,-0.361090895969
ACH-000318,-0.0841703829139
ACH-000319,-0.18471517097100001
ACH-000320,-0.618432002819
ACH-000322,-0.20488776883
ACH-000323,-0.211866996591
ACH-000324,-0.216696939973
ACH-000329,-0.200261841994
ACH-000330,-0.291760959993
ACH-000331,-0.244744469139
ACH-000332,-0.233303215684
ACH-000334,-0.173208748186
ACH-000335,-0.325792708319
ACH-000336,0.0492893176251
ACH-000337,-0.14140425040500001
ACH-000339,-0.325500740155
ACH-000341,-0.222725485266
ACH-000348,-0.202868411604
ACH-000350,-0.322214311971
ACH-000352,-0.240698621758
ACH-000356,-0.08772663896810001
ACH-000361,-0.0815139520473
