,NARS2 (79731)
ACH-000004,-0.237332106999
ACH-000007,-0.411041995176
ACH-000009,-0.20446709179699998
ACH-000011,-0.159749614279
ACH-000012,-0.43087686243100004
ACH-000013,-0.442939441492
ACH-000014,-0.37541425272100004
ACH-000015,-0.300039923589
ACH-000017,-0.329441303891
ACH-000018,-0.380124850872
ACH-000019,-0.5928388160220001
ACH-000021,-0.193486521569
ACH-000022,-0.36348418695
ACH-000025,-0.462077453301
ACH-000028,-0.6715007536830001
ACH-000030,-0.376945172077
ACH-000035,-0.518373510122
ACH-000036,-0.188389568268
ACH-000037,-0.337503725148
ACH-000039,-0.287152514156
ACH-000040,-0.077016721278
ACH-000041,-0.0344092056225
ACH-000042,-0.08819296608789999
ACH-000045,-0.408325111703
ACH-000047,-0.624321629763
ACH-000052,-0.184867235366
ACH-000053,-0.150832829398
ACH-000054,-0.0826350656337
ACH-000055,-0.13337052674900002
ACH-000060,-0.145614372052
ACH-000067,-0.116735371259
ACH-000070,-0.49182218341399997
ACH-000075,-0.145632198308
ACH-000078,-0.042760914225500005
ACH-000082,-0.140168533191
ACH-000085,-0.0993380643735
ACH-000086,-0.632595633825
ACH-000087,-0.34932720521899996
ACH-000092,-0.155254725916
ACH-000095,-0.024180980939700003
ACH-000097,-0.358490717898
ACH-000098,-0.33786879638899997
ACH-000099,-0.27417774796
ACH-000108,-0.15720939084899999
ACH-000113,-0.140893625266
ACH-000115,-0.06397322875099999
ACH-000116,-0.335519125506
ACH-000118,-0.579833279243
ACH-000120,-0.24674198588399998
ACH-000123,-0.37905015391900004
ACH-000127,-0.23643864803300002
ACH-000128,-0.509252835385
ACH-000132,0.026551488414699998
ACH-000133,-0.282980666775
ACH-000137,-0.305316662354
ACH-000138,-0.36544867884800003
ACH-000142,-0.28717488862199997
ACH-000143,-0.504316555323
ACH-000146,-0.217973772066
ACH-000148,-0.406851749251
ACH-000150,-0.677824222317
ACH-000152,-0.188386267733
ACH-000153,-0.412752044067
ACH-000159,-0.13039739998299998
ACH-000160,-0.641380373001
ACH-000163,-0.0665323521224
ACH-000167,-0.12108368662
ACH-000168,0.040026805870500004
ACH-000169,-0.33207617819699997
ACH-000178,-0.282416366854
ACH-000182,-0.772538755271
ACH-000183,-0.367726280576
ACH-000188,-0.49470063127700004
ACH-000189,-0.585990683864
ACH-000190,-0.515507639807
ACH-000198,-0.543495928782
ACH-000204,-0.383031249713
ACH-000206,-0.193471277996
ACH-000207,-0.853825841229
ACH-000211,-0.253131488234
ACH-000215,-0.481565247008
ACH-000221,-0.563873807272
ACH-000222,-0.239027687271
ACH-000223,-0.267154244367
ACH-000226,-0.375511819057
ACH-000227,-0.36171292475
ACH-000228,-0.320403380273
ACH-000231,-0.269545273556
ACH-000232,-0.5884423634920001
ACH-000233,-0.39793309213699996
ACH-000234,-0.28519513182100004
ACH-000235,-0.23132834336599997
ACH-000237,0.0469750095987
ACH-000238,-0.478401277332
ACH-000243,-0.0192180638673
ACH-000244,-0.118885210852
ACH-000246,-0.35750047880099994
ACH-000248,-0.947502365155
ACH-000250,-0.05013566392109999
ACH-000251,-0.128641688423
ACH-000253,0.07124697172399999
ACH-000255,-0.168178434303
ACH-000256,-0.266523911081
ACH-000257,-0.138099464461
ACH-000258,-0.28469905039099996
ACH-000259,-0.37211493955200003
ACH-000260,-0.122674445834
ACH-000261,-0.36370212444600003
ACH-000262,-0.27038139056999994
ACH-000263,-0.295963468003
ACH-000264,-0.31156073816700003
ACH-000265,-0.503296787509
ACH-000266,0.0129564150816
ACH-000272,-0.21887778811500003
ACH-000273,-0.36852379464199997
ACH-000274,-0.39598421281900004
ACH-000277,-0.559829748153
ACH-000278,-0.0458520975507
ACH-000279,-0.37341999549500005
ACH-000280,-0.261675950336
ACH-000281,-0.351698789908
ACH-000288,-0.38481277290700006
ACH-000291,-0.283875528163
ACH-000293,-0.256623481305
ACH-000294,-0.152417081668
ACH-000295,-0.31551324235
ACH-000296,-0.240695602969
ACH-000302,-0.0923541517767
ACH-000304,-0.21642546461399997
ACH-000307,-0.169083003479
ACH-000308,-0.15224385527200002
ACH-000310,-0.106071394284
ACH-000311,-0.237306392496
ACH-000312,-0.361427024864
ACH-000315,-0.0964788538415
ACH-000316,-0.325096275867
ACH-000317,-0.374422879254
ACH-000318,-0.513740674401
ACH-000319,-0.263262686877
ACH-000320,-0.33492601565
ACH-000322,-0.29640911240400003
ACH-000323,-0.196685745336
ACH-000324,-0.210410457795
ACH-000329,-0.229376675443
ACH-000330,-0.34709595146
ACH-000331,-0.24410573132599997
ACH-000332,0.09095226363
ACH-000334,-0.257131799845
ACH-000335,-0.543213349103
ACH-000336,-0.145741081616
ACH-000337,-0.488153519199
ACH-000339,-0.293960351811
ACH-000341,-0.291307385552
ACH-000348,-0.191190140308
ACH-000350,-0.144940409779
ACH-000352,-0.0876142125418
ACH-000356,-0.252094181908
ACH-000361,-0.245936597395
ACH-000362,-0.0474115982934
ACH-000363,-0.0781627103353
ACH-000364,-0.35773468668
ACH-000365,-0.371983795972
ACH-000366,-0.0914273043402
ACH-000368,-0.028275230383099998
ACH-000374,-0.698510269354
ACH-000375,-0.343887569286
ACH-000376,-0.637252848297
ACH-000381,-0.44598562726499996
ACH-000383,-0.279045441966
ACH-000387,0.0306918178852
ACH-000389,-0.051996131549000006
ACH-000390,-0.249711873237
ACH-000393,-0.17244216965
ACH-000395,0.155332059414
ACH-000397,-0.0735438635722
ACH-000401,-0.165627906136
ACH-000402,-0.42433220208899997
ACH-000403,-0.17977183960299997
ACH-000404,-0.6383006844560001
ACH-000406,-0.24539228496999999
ACH-000407,-0.375029107292
ACH-000408,-0.276564074457
ACH-000410,-0.131453091933
ACH-000411,0.009337575168700001
ACH-000414,-0.349035271526
ACH-000415,-0.462848902532
ACH-000416,0.0841040940845
ACH-000420,-0.083821748191
ACH-000421,-0.0122292370343
ACH-000424,-0.46532185071500004
ACH-000425,-0.173349216285
ACH-000426,-0.15407971679000002
ACH-000427,-0.43796070831699996
ACH-000433,-0.177674517404
ACH-000436,0.0815400725598
ACH-000444,-0.125079522176
ACH-000445,-0.27825976389699997
ACH-000448,-0.18216056951600001
ACH-000450,-0.35909441288500005
ACH-000452,-0.13312305427
ACH-000454,-0.456633487911
ACH-000458,-0.560571077837
ACH-000459,-1.12377806092
ACH-000460,-0.313004342112
ACH-000461,-0.728510933155
ACH-000463,0.00271428674919
ACH-000464,-0.196083535845
ACH-000466,-0.197193253479
ACH-000467,-0.777543076383
ACH-000468,-0.48261164200499995
ACH-000469,-0.45876947666900003
ACH-000470,-0.15745736245300002
ACH-000471,-0.0782736951355
ACH-000472,-0.260530593304
ACH-000473,-0.160699112473
ACH-000475,-0.502644380617
ACH-000476,-0.7527708274349999
ACH-000477,-0.199907531316
ACH-000480,-0.306834332829
ACH-000481,-0.152831637946
ACH-000483,-0.374085330475
ACH-000484,-0.130076226441
ACH-000485,-0.231444807689
ACH-000486,-0.44361876854800003
ACH-000487,-0.44580135268999993
ACH-000488,-0.571320075131
ACH-000490,-0.37850195405299997
ACH-000491,-0.43803862344899996
ACH-000495,-0.24696470563
ACH-000496,-0.08287582385089999
ACH-000499,-0.651349049909
ACH-000500,-0.42612766385799994
ACH-000502,-0.265712437707
ACH-000503,-0.535490961819
ACH-000505,-0.100746778778
ACH-000507,-0.324355891535
ACH-000510,-0.366074250317
ACH-000511,-0.26436267573000005
ACH-000512,-0.0388448698221
ACH-000516,-0.06415047369440001
ACH-000517,0.004153464053350001
ACH-000518,-0.378370135217
ACH-000520,0.026222815005799996
ACH-000521,-0.09621810872099999
ACH-000522,-0.421704616901
ACH-000524,-0.0870584571515
ACH-000527,-0.36836321790200005
ACH-000528,-0.511523426603
ACH-000537,-0.42659729114699996
ACH-000541,-0.272562999879
ACH-000542,-0.004785414951779999
ACH-000544,-0.538991711421
ACH-000545,-0.516181637178
ACH-000547,-0.46391299344899994
ACH-000548,-0.323434252393
ACH-000549,-0.45902615924999995
ACH-000550,-0.251354601934
ACH-000552,-0.587110605957
ACH-000556,-0.43759989799599996
ACH-000557,-0.0770235156322
ACH-000570,-0.302582145769
ACH-000571,-0.343761731577
ACH-000573,-0.317299971349
ACH-000576,0.0382361828595
ACH-000580,-0.021514807436900003
ACH-000584,-0.0926392401035
ACH-000585,-0.195685297683
ACH-000588,-0.32338853243
ACH-000589,-0.250010398067
ACH-000591,-0.37603976479699996
ACH-000593,-0.26837121195700003
ACH-000600,-0.26373794255
ACH-000601,-0.65436740257
ACH-000604,-0.25327245562600004
ACH-000605,-0.5026527085629999
ACH-000606,-0.723039899263
ACH-000608,-0.315801118486
ACH-000614,-0.302394488917
