,DYNC1I2 (1781)
ACH-000004,-1.38133388431
ACH-000007,-1.1719039220799998
ACH-000009,-1.62758122472
ACH-000011,-1.2475819202299998
ACH-000012,-1.34610161385
ACH-000013,-1.3447819899899998
ACH-000014,-1.29730682244
ACH-000015,-1.3524035046
ACH-000017,-1.44044971744
ACH-000018,-1.3474685288100001
ACH-000019,-1.1280958242599999
ACH-000021,-1.32334101391
ACH-000022,-1.50682292107
ACH-000025,-1.1554437396700001
ACH-000028,-1.28524345083
ACH-000030,-0.864635880819
ACH-000035,-1.16193945597
ACH-000036,-1.24717065995
ACH-000037,-1.57673041767
ACH-000039,-1.59560690113
ACH-000040,-1.4913018530700002
ACH-000041,-1.40062742992
ACH-000042,-1.3636291007899999
ACH-000045,-1.27781683775
ACH-000047,-1.26129443002
ACH-000052,-1.3779181064100001
ACH-000053,-1.44211444777
ACH-000054,-1.20635204738
ACH-000055,-1.19082391842
ACH-000060,-1.25258758462
ACH-000067,-1.33563698485
ACH-000070,-1.3567723751299998
ACH-000075,-1.4913485258899999
ACH-000078,-1.3589760664100001
ACH-000082,-1.3768054861599999
ACH-000085,-1.24370834669
ACH-000086,-1.16076294613
ACH-000087,-1.24200902302
ACH-000092,-1.2853160037
ACH-000095,-1.39471056975
ACH-000097,-1.28173558967
ACH-000098,-1.4321382921599999
ACH-000099,-1.3872126144699999
ACH-000108,-1.34009434809
ACH-000113,-1.3956845181400002
ACH-000115,-1.57972870859
ACH-000116,-1.32209792482
ACH-000118,-1.2334717835299998
ACH-000120,-1.40266058963
ACH-000123,-1.2802670945399999
ACH-000127,-1.18578934106
ACH-000128,-1.40583360376
ACH-000132,-1.1339821941700001
ACH-000133,-1.3083241999200002
ACH-000137,-1.50624272115
ACH-000138,-1.2849947822399999
ACH-000142,-1.37955873975
ACH-000143,-1.38867118866
ACH-000146,-1.38619434725
ACH-000148,-1.37680509932
ACH-000150,-1.2747829721100001
ACH-000152,-1.4222754771200001
ACH-000153,-1.17343890953
ACH-000159,-1.3167774913099999
ACH-000160,-1.3507441733899999
ACH-000163,-1.11729929776
ACH-000167,-1.6103854159600002
ACH-000168,-1.33451921628
ACH-000169,-1.2135080360500001
ACH-000178,-1.23352615419
ACH-000182,-1.36093773731
ACH-000183,-1.38740598649
ACH-000188,-1.2144575471899999
ACH-000189,-1.3495164361200003
ACH-000190,-1.17445867078
ACH-000198,-1.414256089
ACH-000204,-1.4368648576899998
ACH-000206,-0.987789631248
ACH-000207,-1.2007568517
ACH-000211,-1.25679297207
ACH-000215,-1.41513220104
ACH-000221,-1.5227430792899999
ACH-000222,-1.3532354528600001
ACH-000223,-1.23583239259
ACH-000226,-1.3923105147100001
ACH-000227,-1.5653985310499998
ACH-000228,-1.46934287222
ACH-000231,-1.35575268736
ACH-000232,-1.2095678971500001
ACH-000233,-1.5827770759200002
ACH-000234,-1.35642843456
ACH-000235,-1.34436473868
ACH-000237,-1.39296378929
ACH-000238,-1.25420042333
ACH-000243,-1.14736619331
ACH-000244,-0.9775310572499999
ACH-000246,-1.05689349501
ACH-000248,-0.9833946382809999
ACH-000250,-1.25900906964
ACH-000251,-1.3557896236899998
ACH-000253,-1.16247261162
ACH-000255,-1.3392920677700002
ACH-000256,-1.2537330092
ACH-000257,-1.34370658982
ACH-000258,-1.11325779032
ACH-000259,-1.18970639062
ACH-000260,-1.17573462275
ACH-000261,-1.3219870975399999
ACH-000262,-1.12357613594
ACH-000263,-1.67455521979
ACH-000264,-1.4112096115000001
ACH-000265,-1.26401225559
ACH-000266,-1.34429780075
ACH-000272,-1.1333234429899999
ACH-000273,-1.5035772572600001
ACH-000274,-1.53000248444
ACH-000277,-1.36558187193
ACH-000278,-1.0783308317
ACH-000279,-1.4336364608
ACH-000280,-1.4352878143099999
ACH-000281,-1.1770751830600001
ACH-000288,-1.42621007477
ACH-000291,-1.2689258065
ACH-000293,-1.304232228
ACH-000294,-1.4750318385699999
ACH-000295,-1.53258346604
ACH-000296,-1.1721845259299999
ACH-000302,-1.54196394995
ACH-000304,-0.8966132930940001
ACH-000307,-1.09066780963
ACH-000308,-1.0062020474
ACH-000310,-1.65113087148
ACH-000311,-1.38559264776
ACH-000312,-1.1977358539
ACH-000315,-1.0682969333299999
ACH-000316,-1.3316897280600002
ACH-000317,-1.22873901222
ACH-000318,-1.08242763456
ACH-000319,-1.29273015942
ACH-000320,-1.26391584127
ACH-000322,-1.07791179222
ACH-000323,-1.30331764843
ACH-000324,-1.27252561645
ACH-000329,-1.64299891209
ACH-000330,-1.5713952192899998
ACH-000331,-1.05686435987
ACH-000332,-1.23154895108
ACH-000334,-1.6804105683000001
ACH-000335,-1.2647353217100001
ACH-000336,-1.55176896563
ACH-000337,-1.4523307584099998
ACH-000339,-1.19075347604
ACH-000341,-1.7806208114
ACH-000348,-1.2523369231
ACH-000350,-1.5947784847600002
ACH-000352,-1.21849392948
ACH-000356,-1.22383487635
ACH-000361,-1.12467678036
ACH-000362,-1.39058227137
ACH-000363,-1.36348662748
ACH-000364,-1.23247306223
ACH-000365,-1.46095517059
ACH-000366,-1.34116730154
ACH-000368,-1.5300532947999999
