,ANG (283)
ACH-000004,-0.33372562670600003
ACH-000007,-0.12063865859799999
ACH-000009,-0.230547578754
ACH-000011,-0.0982554742532
ACH-000012,-0.11619993089099999
ACH-000013,-0.185679913649
ACH-000014,-0.254155174509
ACH-000015,-0.0278205897412
ACH-000017,-0.268728856211
ACH-000018,-0.408726225071
ACH-000019,-0.0302952435222
ACH-000021,-0.296812624477
ACH-000022,-0.236884388807
ACH-000025,-0.33389256847
ACH-000028,-0.107355780362
ACH-000030,-0.212876450059
ACH-000035,-0.309154647692
ACH-000036,-0.300761325117
ACH-000037,-0.346533341329
ACH-000039,-0.154403902737
ACH-000040,-0.0505549998166
ACH-000041,-0.32167127946199997
ACH-000042,-0.00380009337544
ACH-000045,-0.17460429006900002
ACH-000047,-0.365150638612
ACH-000052,-0.08934323272019999
ACH-000053,-0.164338498476
ACH-000054,-0.04456885278969999
ACH-000055,0.10233236275699999
ACH-000060,-0.253180196666
ACH-000067,-0.208527400438
ACH-000070,-0.152760956324
ACH-000075,-0.285334711162
ACH-000078,0.00798738738949
ACH-000082,-0.19932575675500003
ACH-000085,-0.284791028984
ACH-000086,-0.20711580355700002
ACH-000087,-0.149618442006
ACH-000092,-0.23863519536299999
ACH-000095,0.151756919839
ACH-000097,-0.244234353116
ACH-000098,-0.148755150141
ACH-000099,-0.11888162787699999
ACH-000108,0.053465179615799996
ACH-000113,-0.368901999303
ACH-000115,-0.0437958037869
ACH-000116,-0.185844846853
ACH-000118,-0.389896776687
ACH-000120,-0.19376919388799999
ACH-000123,-0.32813061191599996
ACH-000127,-0.158007593975
ACH-000128,-0.145778723582
ACH-000132,-0.08339614381089999
ACH-000133,-0.23225359211999996
ACH-000137,-0.21057322486299998
ACH-000138,-0.0388156277568
ACH-000142,-0.369251373509
ACH-000143,-0.26558313883900003
ACH-000146,-0.083098109783
ACH-000148,-0.26791359425
ACH-000150,0.0828663505317
ACH-000152,-0.222610042993
ACH-000153,-0.226997721156
ACH-000159,-0.34228512091799995
ACH-000160,-0.43661751762199996
ACH-000163,0.00736376764927
ACH-000167,0.22024706722600002
ACH-000168,-0.4841037805100001
ACH-000169,-0.139181814499
ACH-000178,-0.144580593845
ACH-000182,-0.057242080387199995
ACH-000183,-0.297683051547
ACH-000188,-0.157740778254
ACH-000189,-0.278203665224
ACH-000190,-0.20411021495
ACH-000198,-0.221829669481
ACH-000204,-0.08759036453220001
ACH-000206,0.115810684908
ACH-000207,-0.196842772082
ACH-000211,-0.14864074499000002
ACH-000215,-0.208667810224
ACH-000221,-0.143497809661
ACH-000222,-0.177373157988
