,BRIP1 (83990)
ACH-000004,-0.817266738922
ACH-000007,-0.16547708746200002
ACH-000009,-0.550002778585
ACH-000011,-0.524430308344
ACH-000012,-0.275527159538
ACH-000013,-0.289977798842
ACH-000014,-0.49297130908799996
ACH-000015,-0.429953847786
ACH-000017,-0.413307515911
ACH-000018,-0.356849551082
ACH-000019,-0.636029658939
ACH-000021,-0.501746533475
ACH-000022,-0.36184640017399994
ACH-000025,-0.30566261882199997
ACH-000028,-0.931910315693
ACH-000030,-0.34903190025200004
ACH-000035,-0.5791766238270001
ACH-000036,-0.48360334886100004
ACH-000037,-0.5155593074229999
ACH-000039,-0.548747290789
ACH-000040,-0.47082511529700005
ACH-000041,-0.489955923756
ACH-000042,-0.45534645481700003
ACH-000045,-0.785363272432
ACH-000047,-0.393547676833
ACH-000052,-0.651701909418
ACH-000053,-0.337914427375
ACH-000054,-0.53527248463
ACH-000055,-0.532747116449
ACH-000060,-0.552990591317
ACH-000067,-0.43310759765100004
ACH-000070,-0.8755478939390001
ACH-000075,-0.43316176354900005
ACH-000078,-0.5829446315919999
ACH-000082,-0.47091897716799996
ACH-000085,-0.341096691067
ACH-000086,-0.48924256487400003
ACH-000087,-0.584789196514
ACH-000092,-0.21284548194800001
ACH-000095,-0.671579677861
ACH-000097,-0.448485019748
ACH-000098,-0.5259402330749999
ACH-000099,-0.597574681025
ACH-000108,-0.456489795685
ACH-000113,-0.929080076221
ACH-000115,-0.583678496922
ACH-000116,-0.38681985454499995
ACH-000118,-0.855489382197
ACH-000120,-0.748443815302
ACH-000123,-0.46331568145199997
ACH-000127,-0.274866730971
ACH-000128,-0.24120643498000002
ACH-000132,-0.345266694585
ACH-000133,-0.300559224001
ACH-000137,-0.406519874462
ACH-000138,-0.520640139184
ACH-000142,-0.5194523094479999
ACH-000143,-0.36832381183799995
ACH-000146,-0.40414077394299996
ACH-000148,-0.5862793795100001
ACH-000150,-0.596141866682
ACH-000152,-0.366431504292
ACH-000153,-0.568613369322
ACH-000159,-0.404364259341
ACH-000160,-0.349455150537
ACH-000163,-0.534000502912
ACH-000167,-0.609297538288
ACH-000168,-1.07517062927
ACH-000169,-0.42053408658299996
ACH-000178,-0.266342159048
ACH-000182,-0.256331240627
ACH-000183,-0.29053465146699997
ACH-000188,-0.441585284313
ACH-000189,-0.508481601737
ACH-000190,-0.19684284706099997
ACH-000198,-0.775948139865
ACH-000204,-0.5774154453279999
ACH-000206,-0.555910187235
ACH-000207,-0.25714529951299997
ACH-000211,-0.428020501439
ACH-000215,-0.46341083777
ACH-000221,-0.280410314134
ACH-000222,-0.519805378015
ACH-000223,-0.691325720009
ACH-000226,-0.497414807257
ACH-000227,-0.430786899858
ACH-000228,-0.6318042016800001
ACH-000231,-0.397846363178
ACH-000232,-0.565689391568
ACH-000233,-0.803796463902
ACH-000234,-0.397287734042
ACH-000235,-0.43771026212700004
ACH-000237,-0.347145547196
ACH-000238,-0.848807236321
ACH-000243,-0.616098528185
ACH-000244,-0.717382126977
ACH-000246,-0.460434735882
ACH-000248,-0.47440982656400005
ACH-000250,-0.35931653996699997
ACH-000251,-0.437287418174
ACH-000253,-0.301492672313
ACH-000255,-0.470186184907
ACH-000256,-0.32364112096299996
ACH-000257,-0.140381100961
ACH-000258,-0.555587847408
