,SAMD4A (23034)
ACH-000004,-0.143787440464
ACH-000007,-0.328273482022
ACH-000009,-0.475139073315
ACH-000011,-0.319632808793
ACH-000012,-0.280893325335
ACH-000013,-0.438221891975
ACH-000014,-0.290147358112
ACH-000015,-0.350487017086
ACH-000017,-0.132314177411
ACH-000018,-0.273577086603
ACH-000019,-0.30107202254500004
ACH-000021,-0.37249997024099996
ACH-000022,-0.198253339106
ACH-000025,-0.331170245566
ACH-000028,-0.39779390368699996
ACH-000030,-0.46646671777599996
ACH-000035,-0.31957780196999996
ACH-000036,-0.42998002934199997
ACH-000037,-0.311857545258
ACH-000039,-0.269621251592
ACH-000040,-0.579029474557
ACH-000041,-0.42624755986900004
ACH-000042,-0.34787553529299997
ACH-000045,-0.406132025194
ACH-000047,-0.446485322125
ACH-000052,-0.48167224005000003
ACH-000053,-0.237517269855
ACH-000054,-0.44470222976999996
ACH-000055,-0.417488177356
ACH-000060,-0.701495251331
ACH-000067,-0.23825194533000005
ACH-000070,-0.467227181742
ACH-000075,-0.47974548258
ACH-000078,-0.43250731872500003
ACH-000082,-0.509239163203
ACH-000085,-0.6717202297939999
ACH-000086,-0.288148469351
ACH-000087,-0.432028617215
ACH-000092,-0.577894740065
ACH-000095,-0.383169296169
ACH-000097,-0.33439580331999996
ACH-000098,-0.333214631127
ACH-000099,-0.326142094399
ACH-000108,-0.273856387203
ACH-000113,-0.292911467499
ACH-000115,-0.222902495143
ACH-000116,-0.292027586087
ACH-000118,-0.31922426290600003
ACH-000120,-0.214888375308
ACH-000123,-0.34083550816799996
ACH-000127,-0.497811039383
ACH-000128,-0.45818778909999996
ACH-000132,-0.8427879216240001
ACH-000133,-0.550581770952
ACH-000137,-0.512307816316
ACH-000138,-0.285403575862
ACH-000142,-0.5666650398749999
ACH-000143,-0.525702964838
ACH-000146,-0.28981025285
ACH-000148,-0.188973355988
ACH-000150,-0.25754788559700004
ACH-000152,-0.42623323573
ACH-000153,-0.206227185029
ACH-000159,-0.548683148372
ACH-000160,-0.593563731496
ACH-000163,-0.215440540514
ACH-000167,0.0416497519487
ACH-000168,-0.16230782825200002
ACH-000169,-0.268111555143
ACH-000178,-0.294270033799
ACH-000182,-0.337855901317
ACH-000183,-0.41461477083899995
ACH-000188,-0.341604484207
ACH-000189,-0.41393968989
ACH-000190,-0.489354148355
ACH-000198,-0.36428678500600004
ACH-000204,-0.148549172611
ACH-000206,-0.026578206502099997
ACH-000207,-0.404676862657
ACH-000211,-0.386783974827
ACH-000215,-0.33100558901099997
ACH-000221,-0.19861348535300002
ACH-000222,-0.11480894690400001
ACH-000223,-0.32530389808000004
ACH-000226,-0.509674467874
ACH-000227,-0.281235393352
ACH-000228,-0.334787870761
ACH-000231,-0.48282184333899997
ACH-000232,-0.456986190819
ACH-000233,-0.213626585106
ACH-000234,-0.40145781934299996
ACH-000235,-0.296088559012
ACH-000237,-0.280584516257
ACH-000238,-0.26546084808000003
ACH-000243,-0.34953098176799996
ACH-000244,-0.43026709439599997
ACH-000246,-0.388157020924
ACH-000248,-0.773142537929
ACH-000250,-0.321965624673
ACH-000251,-0.298828416897
ACH-000253,-0.237672017046
ACH-000255,-0.490521490799
ACH-000256,-0.164085389883
ACH-000257,-0.801345948312
ACH-000258,-0.227095311396
ACH-000259,-0.267269141097
ACH-000260,-0.422313984573
ACH-000261,-0.301106035694
ACH-000262,-0.802251472467
ACH-000263,-0.33466723832899997
ACH-000264,-0.406324233823
ACH-000265,-0.345334076818
ACH-000266,-0.408747784507
ACH-000272,-0.256131316431
ACH-000273,-0.47400827679799995
ACH-000274,-0.404339788926
ACH-000277,-0.240338966554
ACH-000278,-0.225756945957
ACH-000279,-0.491990937523
ACH-000280,-0.488134911658
ACH-000281,-0.224840571912
ACH-000288,-0.624355864924
ACH-000291,-0.450256017139
ACH-000293,-0.5063209973349999
ACH-000294,-0.12193778748800001
ACH-000295,-0.195016279147
ACH-000296,-0.395516512691
ACH-000302,-0.334569740321
ACH-000304,-0.284956619776
ACH-000307,-0.398431735453
ACH-000308,-0.35774891517800006
ACH-000310,-0.415634262304
ACH-000311,-0.26439596881099997
ACH-000312,-0.130987954037
ACH-000315,-0.417468849185
ACH-000316,-0.458943029969
ACH-000317,-0.21682595369600002
ACH-000318,-0.30529766401
ACH-000319,-0.41165869626900004
ACH-000320,-0.033494335603200004
ACH-000322,-0.280688895729
ACH-000323,-0.43724832151
ACH-000324,-0.442728990411
ACH-000329,-0.0952303901849
ACH-000330,-0.198481386695
ACH-000331,-0.39138112169100003
ACH-000332,-0.324979270571
ACH-000334,-0.600744616634
ACH-000335,-0.406401919509
ACH-000336,-0.337231177156
ACH-000337,-0.540880073614
ACH-000339,-0.320152351685
ACH-000341,-0.577545853549
ACH-000348,-0.432378757778
ACH-000350,-0.285084556743
ACH-000352,-0.131253189347
ACH-000356,-0.642380234847
ACH-000361,-0.619386821599
ACH-000362,-0.42568518758
ACH-000363,-0.245953251609
ACH-000364,-0.7683875225579999
ACH-000365,-0.457856875439
ACH-000366,-0.218052910122
ACH-000368,-0.530860722564
ACH-000374,-0.251734201004
ACH-000375,-0.6584215750819999
ACH-000376,-0.488366625915
ACH-000381,-0.163936208771
ACH-000383,-0.323119592072
ACH-000387,-0.263827542556
ACH-000389,-0.559675839982
ACH-000390,-0.224684572255
ACH-000393,-0.40353064903200003
ACH-000395,-0.312523428665
ACH-000397,-0.680689112815
ACH-000401,-0.390662494279
ACH-000402,-0.529474886087
ACH-000403,-0.383429186215
ACH-000404,-0.350755024529
ACH-000406,-0.238971291436
ACH-000407,-0.33695260326
ACH-000408,-0.256635258707
ACH-000410,-0.238511487446
ACH-000411,-0.45280137371600004
ACH-000414,-0.0915648856137
ACH-000415,-0.27779227269
ACH-000416,-0.374710246568
ACH-000420,-0.40161239487800005
ACH-000421,-0.332360945759
ACH-000424,-0.5448665883739999
ACH-000425,-0.641548675729
ACH-000426,-0.103342722586
ACH-000427,-0.637653163289
ACH-000433,-0.3616866458
ACH-000436,-0.208525516376
ACH-000444,-0.590909035545
ACH-000445,-0.156956681933
ACH-000448,-0.18761406382800003
ACH-000450,-0.328672172687
ACH-000452,-0.36285748250200006
ACH-000454,-0.564656126503
ACH-000458,-0.673393636379
ACH-000459,-0.253675832021
ACH-000460,-0.558075227039
ACH-000461,-0.156182710012
ACH-000463,-0.31458929896
ACH-000464,-0.465795687612
ACH-000466,-0.509179036494
ACH-000467,-0.120695553029
ACH-000468,-0.531194712915
ACH-000469,-0.24033486179299998
ACH-000470,-0.48487501619999995
ACH-000471,-0.368725321212
ACH-000472,-0.40223174147699997
