,SMR3B (10879)
ACH-000004,-0.389622224134
ACH-000007,-0.48996651850100004
ACH-000009,-0.133969031524
ACH-000011,-0.299445704133
ACH-000012,-0.212379066127
ACH-000013,-0.083586949129
ACH-000014,-0.08880547215060001
ACH-000015,-0.16814722967999998
ACH-000017,-0.22893614754099997
ACH-000018,-0.214167313338
ACH-000019,-0.333919641571
ACH-000021,-0.238897588006
ACH-000022,-0.146899701227
ACH-000025,-0.33750886997699997
ACH-000028,-0.338444055089
ACH-000030,-0.195635914461
ACH-000035,-0.163463440115
ACH-000036,-0.24633514397700002
ACH-000037,-0.378446874425
ACH-000039,-0.47880388793300005
ACH-000040,-0.214739427989
ACH-000041,-0.26124996101
ACH-000042,-0.36624077678000005
ACH-000045,-0.0228211596911
ACH-000047,-0.337817232972
ACH-000052,-0.207934788347
ACH-000053,-0.144209335869
ACH-000054,-0.381517670639
ACH-000055,-0.21881870915999999
ACH-000060,-0.240503661653
ACH-000067,-0.39037144779
ACH-000070,-0.266529026009
ACH-000075,-0.30751664448800003
ACH-000078,-0.327844945279
ACH-000082,-0.30813934984
ACH-000085,-0.18216390914099997
ACH-000086,-0.149414607943
ACH-000087,-0.125688145753
ACH-000092,-0.26268549694800003
ACH-000095,-0.37606785566699996
ACH-000097,-0.36936166678800003
ACH-000098,-0.292149251686
ACH-000099,-0.21514935934999999
ACH-000108,-0.185587162901
ACH-000113,-0.0465537519984
ACH-000115,-0.286114034743
ACH-000116,-0.321090839221
ACH-000118,-0.191145119371
ACH-000120,-0.29564412408
ACH-000123,-0.243856958792
ACH-000127,-0.301315289241
ACH-000128,-0.329979681215
ACH-000132,-0.197892947771
ACH-000133,-0.228337706631
ACH-000137,-0.09824599886939998
ACH-000138,-0.203340417096
ACH-000142,-0.16885632878100001
ACH-000143,-0.35162839931900003
ACH-000146,-0.139032902214
ACH-000148,-0.281212899108
ACH-000150,-0.38406389278999997
ACH-000152,-0.353290286957
ACH-000153,-0.505498430629
ACH-000159,-0.308471396464
ACH-000160,-0.450985106889
ACH-000163,-0.180028536372
ACH-000167,-0.0824471400269
ACH-000168,-0.151633591556
ACH-000169,-0.391818012997
ACH-000178,-0.20492684097
ACH-000182,-0.292071947796
ACH-000183,-0.170203862002
ACH-000188,-0.283687712389
ACH-000189,-0.42521835181100004
ACH-000190,-0.190925227137
ACH-000198,-0.262414575925
ACH-000204,-0.288324447217
ACH-000206,-0.234705915479
ACH-000207,-0.234500603402
ACH-000211,-0.28463398098700005
ACH-000215,-0.263601542272
ACH-000221,-0.275134747136
ACH-000222,-0.0672860714638
ACH-000223,-0.376696480088
ACH-000226,-0.20138864595800002
ACH-000227,-0.36778551996200004
ACH-000228,-0.382692451532
ACH-000231,-0.362885131588
ACH-000232,-0.27293002446
ACH-000233,-0.038930816751
ACH-000234,-0.442400293864
ACH-000235,-0.201819731014
ACH-000237,-0.24047620856999996
ACH-000238,-0.128688991867
ACH-000243,-0.22444871738400002
ACH-000244,-0.092696561561
ACH-000246,-0.163960971805
ACH-000248,-0.22814985445500002
ACH-000250,-0.264921064805
ACH-000251,-0.293592631271
ACH-000253,-0.145234965732
ACH-000255,-0.178728653892
ACH-000256,-0.272230649663
ACH-000257,-0.277601922638
ACH-000258,-0.183017005381
ACH-000259,-0.266771066356
ACH-000260,-0.210486666981
ACH-000261,-0.281246202119
ACH-000262,-0.159540257272
ACH-000263,-0.228060009752
ACH-000264,-0.36221789439499996
ACH-000265,-0.38453797261699996
ACH-000266,-0.31751590413
ACH-000272,-0.295268482392
ACH-000273,-0.191474598666
ACH-000274,-0.636352486111
ACH-000277,-0.223853123052
ACH-000278,-0.14811478452500002
ACH-000279,-0.14310935549599998
ACH-000280,-0.30202739103
ACH-000281,-0.229302193627
ACH-000288,-0.238680238196
ACH-000291,-0.176696575104
ACH-000293,-0.458500686652
ACH-000294,-0.0696281938574
ACH-000295,-0.274621072495
ACH-000296,-0.194287556221
ACH-000302,-0.49083970276600003
ACH-000304,-0.281709117593
ACH-000307,-0.158614231798
ACH-000308,-0.288339049992
ACH-000310,-0.19869213918499998
ACH-000311,-0.41154397025600004
ACH-000312,-0.190099458774
ACH-000315,-0.43530187600500003
ACH-000316,-0.468692945335
ACH-000317,-0.359452247463
ACH-000318,-0.271401359831
ACH-000319,-0.217437589824
ACH-000320,-0.155391807382
ACH-000322,-0.382185393074
ACH-000323,-0.46173113121200005
ACH-000324,-0.204907088987
ACH-000329,-0.27030207112599997
ACH-000330,-0.425392302541
ACH-000331,-0.254979603596
ACH-000332,-0.310450219368
ACH-000334,-0.124159723824
ACH-000335,-0.316917323339
ACH-000336,-0.447892369964
ACH-000337,-0.23689467732500002
ACH-000339,-0.331577835582
ACH-000341,-0.469825133368
ACH-000348,-0.317680704847
ACH-000350,-0.123866312434
ACH-000352,-0.255360461338
ACH-000356,-0.0548414503531
ACH-000361,-0.195256005104
ACH-000362,-0.194481677043
ACH-000363,-0.46262559883599996
ACH-000364,-0.25313438639
ACH-000365,-0.176377228051
ACH-000366,-0.35932721507700005
ACH-000368,-0.134604245514
ACH-000374,-0.24610248818000005
ACH-000375,-0.41703080274099996
ACH-000376,-0.138800389766
ACH-000381,-0.0750044852973
ACH-000383,-0.291572739192
ACH-000387,-0.155250446036
ACH-000389,-0.247755774353
ACH-000390,-0.229279059263
ACH-000393,-0.30090275324099997
ACH-000395,-0.379820198438
ACH-000397,-0.430267820796
ACH-000401,-0.38772492195
ACH-000402,-0.31228988156
ACH-000403,-0.554233821859
ACH-000404,0.0049639915586999995
ACH-000406,-0.230242982799
ACH-000407,-0.34071343149899996
ACH-000408,-0.39066781210600005
ACH-000410,-0.135193015381
ACH-000411,-0.100232094089
ACH-000414,-0.29455266339499997
ACH-000415,-0.340493434014
ACH-000416,-0.21436384173700002
ACH-000420,-0.163736304202
ACH-000421,-0.372726581788
ACH-000424,-0.22617431062600002
ACH-000425,-0.242063602703
ACH-000426,-0.336465004542
ACH-000427,-0.468027675528
ACH-000433,-0.35186062460699996
ACH-000436,0.0403431935012
ACH-000444,-0.256612160988
ACH-000445,-0.34405774284100005
ACH-000448,-0.213495317271
ACH-000450,-0.268705189068
ACH-000452,-0.325126720022
ACH-000454,-0.22230597499899998
ACH-000458,-0.148559703016
ACH-000459,-0.0998457174512
ACH-000460,-0.232438917971
ACH-000461,-0.18248050396200002
ACH-000463,-0.28461496809500003
ACH-000464,-0.201747611486
ACH-000466,-0.329043914329
ACH-000467,-0.323865152669
ACH-000468,-0.28002005696
ACH-000469,-0.240565493188
ACH-000470,-0.24101522535
ACH-000471,-0.0694305064432
ACH-000472,-0.193191115975
ACH-000473,-0.0709898605352
ACH-000475,-0.419816469882
ACH-000476,-0.36353656053499994
ACH-000477,0.0402919332547
ACH-000480,-0.37593489869499996
ACH-000481,-0.225789389335
ACH-000483,-0.118188282202
ACH-000484,-0.279225278231
ACH-000485,-0.44486064916100004
ACH-000486,-0.346891349559
ACH-000487,-0.254316385639
ACH-000488,-0.27133256028299996
ACH-000490,-0.22688509091999998
ACH-000491,-0.243948155118
