,ATP6V1G1 (9550)
ACH-000004,-1.7238824691699999
ACH-000007,-0.991330916287
ACH-000009,-1.31424838434
ACH-000011,-1.40887900792
ACH-000012,-1.36067998007
ACH-000013,-1.23706312909
ACH-000014,-1.44987198903
ACH-000015,-1.52396334984
ACH-000017,-1.28042922098
ACH-000018,-1.15945457699
ACH-000019,-1.7541704948400003
ACH-000021,-1.4540791130000001
ACH-000022,-1.4314554027700002
ACH-000025,-1.52957804676
ACH-000028,-1.31069986084
ACH-000030,-1.4549341730899998
ACH-000035,-1.42180502544
ACH-000036,-1.06607289784
ACH-000037,-1.7836175747299998
ACH-000039,-0.972535107563
ACH-000040,-1.03200677193
ACH-000041,-1.0822632838700001
ACH-000042,-1.4309748854
ACH-000045,-1.58057077247
ACH-000047,-1.55631115748
ACH-000052,-1.35433569935
ACH-000053,-1.4950715341999998
ACH-000054,-1.0135012564399999
ACH-000055,-0.695966822299
ACH-000060,-1.3922762792299999
ACH-000067,-1.28491995233
ACH-000070,-1.6342735941600002
ACH-000075,-1.13712028059
ACH-000078,-1.01063744339
ACH-000082,-0.698515656513
ACH-000085,-1.812905697
ACH-000086,-1.3443502760400001
ACH-000087,-0.9034578143
ACH-000092,-1.6289331798299997
ACH-000095,-1.03312753238
ACH-000097,-1.2498857046
ACH-000098,-1.2625944306
ACH-000099,-0.863368716826
ACH-000108,-1.56761641232
ACH-000113,-1.81142251667
ACH-000115,-1.09692540472
ACH-000116,-1.28437785103
ACH-000118,-1.5366633780899999
ACH-000120,-1.02387184087
ACH-000123,-1.39089683879
ACH-000127,-1.49093009672
ACH-000128,-1.18317082986
ACH-000132,-1.2135066147
ACH-000133,-1.3116966052299999
ACH-000137,-0.793646926714
ACH-000138,-1.66906294414
ACH-000142,-1.5729705170700001
ACH-000143,-1.06246058132
ACH-000146,-2.0266453454599995
ACH-000148,-1.01641288179
ACH-000150,-1.17488189529
ACH-000152,-0.99534031639
ACH-000153,-1.12241673355
ACH-000159,-1.4248084901700002
ACH-000160,-1.2320849720799998
ACH-000163,-1.24674740517
ACH-000167,-1.3897797513799999
ACH-000168,-1.15842286645
ACH-000169,-1.08945322827
ACH-000178,-1.3458485364500001
ACH-000182,-1.45807091088
ACH-000183,-1.4436352089700002
ACH-000188,-1.31772488749
ACH-000189,-1.5468816217899999
ACH-000190,-1.19438283335
ACH-000198,-1.06067753328
ACH-000204,-1.14610531444
ACH-000206,-1.7616440748400002
ACH-000207,-1.6342194942299997
ACH-000211,-1.20423145033
ACH-000215,-1.47160490018
ACH-000221,-1.2520489145
ACH-000222,-1.41053657803
ACH-000223,-1.4744553482
ACH-000226,-1.12820094783
ACH-000227,-1.06441367208
ACH-000228,-1.47239977661
ACH-000231,-1.23084921099
ACH-000232,-1.3946261699399998
ACH-000233,-1.3346666509799998
ACH-000234,-1.45047068477
ACH-000235,-1.5780087826499998
ACH-000237,-1.41131442649
ACH-000238,-1.1926974133
ACH-000243,-1.5158349147499999
ACH-000244,-1.3729567162600003
ACH-000246,-1.50523131561
ACH-000248,-1.63040586765
ACH-000250,-1.4174943987900002
ACH-000251,-1.6775258270700002
ACH-000253,-1.2740355267899999
ACH-000255,-1.2324825417299998
ACH-000256,-1.39310483111
ACH-000257,-0.831005618767
ACH-000258,-1.3600880276700003
ACH-000259,-0.652281319879
ACH-000260,-1.13979878153
ACH-000261,-1.5825711774899998
ACH-000262,-1.50458138532
ACH-000263,-1.8795406617400003
ACH-000264,-1.4564266453799999
ACH-000265,-1.2599015204000001
ACH-000266,-1.51256791116
ACH-000272,-1.47209980991
ACH-000273,-1.24580884528
ACH-000274,-1.01773661542
ACH-000277,-1.61353416891
ACH-000278,-1.6454480055399998
ACH-000279,-1.13604060242
ACH-000280,-1.57331052159
ACH-000281,-1.38640900386
ACH-000288,-1.30690207037
ACH-000291,-1.36080612603
ACH-000293,-1.39277768041
ACH-000294,-2.03707767361
ACH-000295,-1.6206297775999998
ACH-000296,-1.51225396843
ACH-000302,-0.952041484587
ACH-000304,-1.44949781932
ACH-000307,-1.39884788123
ACH-000308,-1.68177896655
ACH-000310,-1.11804543439
ACH-000311,-1.6354065949799999
ACH-000312,-0.847056456906
ACH-000315,-1.4583244632499999
ACH-000316,-1.46682195963
ACH-000317,-1.49363952711
ACH-000318,-1.6430331498800002
ACH-000319,-0.885103007607
ACH-000320,-1.5852254293
ACH-000322,-1.39717820765
ACH-000323,-0.344493619532
ACH-000324,-1.3116785635700001
ACH-000329,-1.33026111232
ACH-000330,-1.03352062323
ACH-000331,-1.14597116195
ACH-000332,-1.41192881463
ACH-000334,-1.8045544458000002
ACH-000335,-1.0887308839799998
ACH-000336,-1.9063566447099998
ACH-000337,-1.26766270014
ACH-000339,-1.6445303165
ACH-000341,-0.741041859221
ACH-000348,-1.7112904481
ACH-000350,-1.6746562341
ACH-000352,-1.2613698934100002
ACH-000356,-1.4304893265600003
ACH-000361,-1.4747940672400002
ACH-000362,-1.8574599171200001
ACH-000363,-0.59723016579
ACH-000364,-1.41717682359
ACH-000365,-1.33395679761
ACH-000366,-0.868396962043
ACH-000368,-1.48368382072
ACH-000374,-1.57623269322
ACH-000375,-1.44146849531
ACH-000376,-1.10006443692
ACH-000381,-1.3198588117499999
ACH-000383,-1.95914931574
ACH-000387,-1.20023990866
ACH-000389,-1.35368625035
ACH-000390,-1.3686040880099999
ACH-000393,-1.3392484022700002
ACH-000395,-1.42076648016
ACH-000397,-1.3338020306799998
ACH-000401,-1.6447563501700002
ACH-000402,-1.7237978078599998
ACH-000403,-1.4554596379299998
ACH-000404,-1.1997886590200002
ACH-000406,-1.52379434582
ACH-000407,-1.2814516014700001
ACH-000408,-1.7693263621900002
ACH-000410,-1.2356900181700001
ACH-000411,-1.3356649954200002
ACH-000414,-1.79580438213
ACH-000415,-1.4456188294999999
ACH-000416,-1.30332774988
ACH-000420,-1.13867012344
ACH-000421,-1.34578002275
ACH-000424,-1.24174999593
ACH-000425,-1.42887601927
ACH-000426,-2.40356913194
ACH-000427,-1.79793444151
ACH-000433,-1.1721173360600001
ACH-000436,-0.960304347029
ACH-000444,-1.4547611775799998
ACH-000445,-1.27033199395
ACH-000448,-1.37553912762
ACH-000450,-1.7842758434700001
ACH-000452,-1.14912457529
ACH-000454,-1.66481241699
ACH-000458,-1.44475202339
ACH-000459,-1.9294770274700002
ACH-000460,-1.3453809648100001
ACH-000461,-1.7290626188999998
ACH-000463,-1.0486580637
ACH-000464,-1.1804006836299998
ACH-000466,-1.4126151169
ACH-000467,-1.3331916132600001
ACH-000468,-1.54603198101
ACH-000469,-1.42071867506
ACH-000470,-1.6220138833500002
ACH-000471,-1.24237432909
ACH-000472,-1.51608559363
ACH-000473,-1.3828351758000001
ACH-000475,-1.57143848135
ACH-000476,-1.4143446686599999
ACH-000477,-2.30120527828
ACH-000480,-1.48217921764
ACH-000481,-1.5557062612
ACH-000483,-0.5533429031780001
ACH-000484,-2.00643347186
ACH-000485,-1.5032556716
ACH-000486,-1.46404655469
