,TROAP (10024)
ACH-000004,-0.118099873963
ACH-000007,-0.351845661701
ACH-000009,-0.36906234390299997
ACH-000011,-0.392102698759
ACH-000012,-0.321845448364
ACH-000013,-0.19767359763099998
ACH-000014,-0.463483778207
ACH-000015,-0.25108405194
ACH-000017,-0.296839821116
ACH-000018,-0.157764502204
ACH-000019,-0.343774754885
ACH-000021,-0.382895828996
ACH-000022,-0.061503161173599996
ACH-000025,-0.338113401958
ACH-000028,-0.588150882832
ACH-000030,-0.302835470452
ACH-000035,-0.41620361379299997
ACH-000036,-0.145409830307
ACH-000037,-0.553470142733
ACH-000039,-0.549466731571
ACH-000040,-0.105517218912
ACH-000041,-0.300190737024
ACH-000042,-0.146114253375
ACH-000045,-0.301489865916
ACH-000047,-0.37168602896799996
ACH-000052,-0.0470898371791
ACH-000053,-0.180735096196
ACH-000054,-0.47944563480700003
ACH-000055,-0.710073760703
ACH-000060,-0.04398319727800001
ACH-000067,-0.48636817526
ACH-000070,-0.39963167852
ACH-000075,-0.308290319259
ACH-000078,-0.311957308874
ACH-000082,-0.456997288685
ACH-000085,-0.150333569507
ACH-000086,-0.512971750661
ACH-000087,-0.112177145898
ACH-000092,-0.38464479071400004
ACH-000095,-0.554628387303
ACH-000097,-0.257092537203
ACH-000098,-0.122302794609
ACH-000099,-0.305670598129
ACH-000108,-0.14450718949400002
ACH-000113,-0.35753613682700003
ACH-000115,-0.123425138127
ACH-000116,-0.47649597856200004
ACH-000118,-0.419680899408
ACH-000120,-0.307099738554
ACH-000123,-0.118991718904
ACH-000127,-0.288697523653
ACH-000128,-0.288979587015
ACH-000132,-0.109590753592
ACH-000133,-0.344098916739
ACH-000137,-0.506671744949
ACH-000138,-0.215167888691
ACH-000142,-0.227112266118
ACH-000143,-0.10124668852499999
ACH-000146,-0.284320233807
ACH-000148,-0.42462858856799995
ACH-000150,-0.638892738156
ACH-000152,-0.345908036106
ACH-000153,-0.288219843621
ACH-000159,-0.286068652213
ACH-000160,-0.16961946212999998
ACH-000163,-0.147957136985
ACH-000167,-0.587257302105
ACH-000168,-0.16861730347399997
ACH-000169,-0.12345298807499999
ACH-000178,-0.2661130392
ACH-000182,-0.236671564085
ACH-000183,-0.45504785072
ACH-000188,-0.473277538222
ACH-000189,-0.270926370322
ACH-000190,-0.45117320647
ACH-000198,-0.460050510889
ACH-000204,-0.31913971736499996
ACH-000206,-0.137176056727
ACH-000207,-0.338569676069
ACH-000211,-0.277986680966
ACH-000215,-0.2795796693
ACH-000221,-0.490903354569
ACH-000222,-0.037957368695
ACH-000223,-0.36987226993
ACH-000226,-0.5140065539249999
ACH-000227,-0.27304431975000004
ACH-000228,-0.23030236102600002
ACH-000231,-0.24298779591400002
ACH-000232,-0.255640853116
ACH-000233,-0.280240994382
