,SMOC1 (64093)
ACH-000004,0.023710767491599997
ACH-000007,-0.141676763762
ACH-000009,-0.0679634647215
ACH-000011,-0.11758256443199999
ACH-000012,-0.10109982463600001
ACH-000013,-0.117221758992
ACH-000014,-0.0892446939929
ACH-000015,-0.156670602708
ACH-000017,-0.22317581662500002
ACH-000018,-0.149410667497
ACH-000019,-0.19827982663899998
ACH-000021,-0.0299627580233
ACH-000022,-0.0683667719485
ACH-000025,-0.0613809676228
ACH-000028,-0.108110424964
ACH-000030,-0.123755562241
ACH-000035,-0.0116809899088
ACH-000036,-0.110062926119
ACH-000037,-0.012855014247000002
ACH-000039,-0.124166913107
ACH-000040,-0.233008524455
ACH-000041,-0.213833499837
ACH-000042,-0.08539749965770001
ACH-000045,-0.146430752079
ACH-000047,-0.064242880832
ACH-000052,-0.10883342773
ACH-000053,-0.135111299013
ACH-000054,-0.13806081507999998
ACH-000055,-0.197279555315
ACH-000060,-0.21296979729499999
ACH-000067,-0.038862177339499995
ACH-000070,-0.07364343657110001
ACH-000075,0.00036233094718100004
ACH-000078,-0.128296557565
ACH-000082,-0.15966810351500002
ACH-000085,-0.206698309557
ACH-000086,-0.0229864123727
ACH-000087,0.0739868376508
ACH-000092,-0.0257446479947
ACH-000095,-0.176930415629
ACH-000097,-0.00615565981022
ACH-000098,-0.270867409015
ACH-000099,-0.08526416258780001
ACH-000108,-0.000690854034773
ACH-000113,-0.115125581258
ACH-000115,-0.09275214690400001
ACH-000116,-0.0576327926306
ACH-000118,-0.06614347308780001
ACH-000120,-0.12216794603299999
ACH-000123,0.0102680489751
ACH-000127,-0.144589532206
ACH-000128,0.0608165867789
ACH-000132,-0.17647229585299998
ACH-000133,-0.039037294943800004
ACH-000137,-0.04761452919919999
ACH-000138,-0.16733702714600002
ACH-000142,-0.148085406659
ACH-000143,0.11135602295
ACH-000146,-0.104686507064
ACH-000148,-0.11692440713400001
ACH-000150,-0.08976783732460002
ACH-000152,-0.061472067577900004
ACH-000153,-0.0659493384276
ACH-000159,-0.218147947091
ACH-000160,-0.031227051036099997
ACH-000163,-0.118894213147
ACH-000167,-0.401943931236
ACH-000168,0.08299737061639999
ACH-000169,-0.173934928446
ACH-000178,-0.128898576834
ACH-000182,-0.0433732356343
ACH-000183,-0.18409285478
ACH-000188,-0.0645040778211
ACH-000189,-0.277901754633
ACH-000190,-0.210773578001
ACH-000198,-0.22090867374200002
ACH-000204,-0.161482460928
ACH-000206,0.0803307138833
ACH-000207,-0.029171052828900004
ACH-000211,-0.159041653329
ACH-000215,-0.0414811896158
ACH-000221,-0.0732349062385
ACH-000222,-0.14027998690500001
ACH-000223,-0.015260730927600002
ACH-000226,-0.159718827975
