,KDR (3791)
ACH-000004,-0.107211677821
ACH-000007,-0.115362974757
ACH-000009,-0.110534707157
ACH-000011,-0.0713903630266
ACH-000012,-0.17341068412799998
ACH-000013,0.009707579014469999
ACH-000014,-0.0543713438834
ACH-000015,-0.179442181497
ACH-000017,-0.25410358266399996
ACH-000018,-0.18836851112999997
ACH-000019,-0.412801461714
ACH-000021,-0.212142688588
ACH-000022,-0.372057235123
ACH-000025,-0.286781385502
ACH-000028,-0.107873110132
ACH-000030,-0.18333179755600001
ACH-000035,-0.27133659334399995
ACH-000036,-0.096940472285
ACH-000037,-0.481734780207
ACH-000039,-0.234108423609
ACH-000040,0.145393975497
ACH-000041,-0.17009335497000003
ACH-000042,-0.17319964036200003
ACH-000045,-0.0594415432957
ACH-000047,-0.121764647436
ACH-000052,0.387703502446
ACH-000053,-0.20227387582000003
ACH-000054,-0.0195902900522
ACH-000055,-0.194452293553
ACH-000060,-0.31126615783000006
ACH-000067,-0.143408437599
ACH-000070,-0.269583652855
ACH-000075,-0.171033866561
ACH-000078,-0.132788942653
ACH-000082,-0.0969384200846
ACH-000085,-0.0144837357134
ACH-000086,-0.206556025691
ACH-000087,-0.138477064095
ACH-000092,-0.155053974696
ACH-000095,-0.10861535076500001
ACH-000097,-0.152544023989
ACH-000098,-0.138160156406
ACH-000099,-0.0157449368512
ACH-000108,-0.12315899198
ACH-000113,-0.146794503087
ACH-000115,-0.057783201116899996
ACH-000116,-0.234077936496
ACH-000118,-0.122501468453
ACH-000120,-0.0323086618542
ACH-000123,-0.0730967914317
ACH-000127,-0.211146288029
ACH-000128,-0.099294938395
ACH-000132,-0.048029027223199995
ACH-000133,0.0313885840217
ACH-000137,-0.131245497104
ACH-000138,0.014700603492399999
ACH-000142,-0.15885541291400002
ACH-000143,-0.00897907283344
ACH-000146,-0.186922391956
ACH-000148,-0.26699486316599996
ACH-000150,-0.0399515184785
ACH-000152,-0.08698830737089999
ACH-000153,-0.438961945443
ACH-000159,-0.07987841214039999
ACH-000160,-0.23729521836999998
ACH-000163,-0.302591781112
ACH-000167,-0.111614108121
ACH-000168,-0.326508926383
ACH-000169,-0.0321357023724
ACH-000178,-0.111560185019
ACH-000182,-0.139637771676
ACH-000183,-0.219986591549
ACH-000188,-0.160151151955
ACH-000189,-0.14279113837500002
ACH-000190,-0.121383546274
ACH-000198,-0.0781310660094
ACH-000204,-0.111036476288
ACH-000206,-0.29740811201699996
ACH-000207,-0.0709594258355
ACH-000211,-0.171273415714
ACH-000215,-0.495003054498
ACH-000221,-0.155913759692
ACH-000222,-0.288419223348
ACH-000223,-0.145151088599
ACH-000226,-0.181549946223
ACH-000227,-0.0139653946428
ACH-000228,-0.09589294998339999
ACH-000231,-0.0796020328702
ACH-000232,-0.18060981053
ACH-000233,-0.163220940338
ACH-000234,-0.136682856169
ACH-000235,-0.060432633913
ACH-000237,-0.229630230969
ACH-000238,-0.14975943207999998
ACH-000243,-0.038824994225
ACH-000244,-0.135820862027
ACH-000246,-0.0789905893739
ACH-000248,-0.0850163695578
ACH-000250,-0.106750346187
