,PARD3B (117583)
ACH-000004,-0.08954035555010001
ACH-000007,0.0906482774365
ACH-000009,0.07125644117060001
ACH-000011,-0.0800424008736
ACH-000012,0.021420763304499997
ACH-000013,0.09749340777389999
ACH-000014,-0.12526245228
ACH-000015,0.024475080019999998
ACH-000017,0.069175982367
ACH-000018,0.08158996036010001
ACH-000019,-0.415152735721
ACH-000021,0.072300634748
ACH-000022,-0.012559773064
ACH-000025,-0.0626793991995
ACH-000028,0.039112101137
ACH-000030,0.12228583807900001
ACH-000035,0.0827759545228
ACH-000036,-0.0965543936008
ACH-000037,-0.168142883602
ACH-000039,0.0629285449306
ACH-000040,-0.10522582309800001
ACH-000041,0.00967743380714
ACH-000042,-0.12415822006300001
ACH-000045,-0.021847548851099997
ACH-000047,0.0748676642673
ACH-000052,0.149948139008
ACH-000053,0.127743666728
ACH-000054,-0.06297467303280001
ACH-000055,-0.039973402016
ACH-000060,0.197280741986
ACH-000067,-0.039443185774199994
ACH-000070,-0.181024723037
ACH-000075,0.145158948292
ACH-000078,-0.0303766725789
ACH-000082,-0.0461220750109
ACH-000085,0.111084245593
ACH-000086,0.06192352453819999
ACH-000087,-0.218284979075
ACH-000092,0.045296785627699995
ACH-000095,0.0372541066269
ACH-000097,0.056574279412199995
ACH-000098,0.021496203473
ACH-000099,-0.160278295482
ACH-000108,0.101007418793
ACH-000113,-0.0083977314638
ACH-000115,0.12595892236
ACH-000116,0.055858619736
ACH-000118,-0.048648858866999996
ACH-000120,-0.161713192806
ACH-000123,0.115833314229
ACH-000127,0.0169022133817
ACH-000128,0.213590253577
ACH-000132,0.0196896498454
ACH-000133,-0.00103572320489
ACH-000137,0.0783707686709
ACH-000138,-0.0681939681845
ACH-000142,-0.0097218443472
ACH-000143,-0.0588857222934
ACH-000146,0.13200603575300002
ACH-000148,0.039798467214300005
ACH-000150,-0.000298057746526
ACH-000152,0.0231267273966
ACH-000153,-0.14679356336
ACH-000159,0.0485477205102
ACH-000160,-0.060527069116900006
ACH-000163,-0.162020534352
ACH-000167,-0.381343848182
ACH-000168,0.131368943069
ACH-000169,0.055531604195699996
ACH-000178,-0.06986782048160001
ACH-000182,-0.04466209226
ACH-000183,-0.13224945374299998
ACH-000188,-0.0333438610406
ACH-000189,-0.105294957712
ACH-000190,0.256796974052
ACH-000198,-0.0672364452564
ACH-000204,-0.21321086988
ACH-000206,0.212803854198
ACH-000207,0.29179021161999996
