,VSTM2L (128434)
ACH-000004,-0.422885964103
ACH-000007,-0.00835588116787
ACH-000009,-0.05075363397319999
ACH-000011,-0.30400822982500003
ACH-000012,-0.0944451526753
ACH-000013,-0.184097082247
ACH-000014,-0.288201993366
ACH-000015,-0.147969418585
ACH-000017,-0.376058070674
ACH-000018,-0.052682360435
ACH-000019,-0.340726448525
ACH-000021,-0.11210182240399999
ACH-000022,-0.225334245275
ACH-000025,-0.168652113802
ACH-000028,-0.269806860242
ACH-000030,-0.153104954874
ACH-000035,-0.156502868835
ACH-000036,-0.0965867948226
ACH-000037,-0.263175766457
ACH-000039,0.166142407285
ACH-000040,-0.16558628600199998
ACH-000041,-0.110468717996
ACH-000042,-0.130292100606
ACH-000045,-0.360589217773
ACH-000047,-0.101370226952
ACH-000052,-0.244202592405
ACH-000053,-0.0571819301828
ACH-000054,-0.201480015248
ACH-000055,-0.16115326297000002
ACH-000060,-0.09982813725289999
ACH-000067,-0.0552690702547
ACH-000070,-0.330757300257
ACH-000075,-0.273351217062
ACH-000078,-0.138952111459
ACH-000082,-0.312324271223
ACH-000085,-0.149793232463
ACH-000086,-0.12491094961200001
ACH-000087,-0.0507027387911
ACH-000092,-0.237785038482
ACH-000095,-0.0765188288331
ACH-000097,-0.107062240593
ACH-000098,-0.0013089639062799998
ACH-000099,-0.09823215709550001
ACH-000108,-0.181274442468
ACH-000113,-0.119238257972
ACH-000115,-0.270860964817
ACH-000116,-0.100732236702
ACH-000118,-0.154253211568
ACH-000120,-0.127862521426
ACH-000123,-0.20913773385200002
ACH-000127,-0.25146830048700003
ACH-000128,-0.353549868058
ACH-000132,-0.024955271809200003
ACH-000133,-0.296031367534
ACH-000137,-0.08812930374780001
ACH-000138,-0.07908935283060001
ACH-000142,-0.0100843034916
ACH-000143,-0.11650053193
ACH-000146,-0.18462170245700002
ACH-000148,-0.221472733297
ACH-000150,-0.0532004619171
ACH-000152,-0.146535311192
ACH-000153,-0.320448052162
ACH-000159,-0.245210953033
ACH-000160,-0.171942464668
ACH-000163,-0.162140653266
ACH-000167,-0.018653826919999998
ACH-000168,-0.09286896974850001
ACH-000169,-0.285673592096
ACH-000178,-0.0744901791735
ACH-000182,-0.330780119027
ACH-000183,-0.16124946123
ACH-000188,-0.19402161511399998
ACH-000189,-0.21297682369600002
ACH-000190,0.0184589517673
ACH-000198,-0.210849971474
ACH-000204,0.0285314118221
ACH-000206,-0.200234583357
ACH-000207,0.040959886483
ACH-000211,-0.163424004693
ACH-000215,-0.035741319039800004
ACH-000221,-0.131793541076
ACH-000222,0.010500422800700002
ACH-000223,-0.19501275850400002
ACH-000226,-0.24932157208500003
ACH-000227,-0.24026560418499998
ACH-000228,-0.343258346621
ACH-000231,-0.23861916286200002
ACH-000232,-0.20073122796300003
ACH-000233,-0.22072409794300002
ACH-000234,-0.232054004281
ACH-000235,-0.18383578760299998
ACH-000237,-0.103095005036
ACH-000238,-0.0717276130916
ACH-000243,-0.0964077524943
ACH-000244,0.047604088859800005
ACH-000246,-0.196731380546
ACH-000248,-0.510012353085
ACH-000250,-0.154564990556
