,MT4 (84560)
ACH-000928,-0.270160877701
ACH-000929,0.0705023105371
ACH-000932,0.182930845797
ACH-000935,0.282187743505
ACH-000936,0.15264941679400001
ACH-000937,0.0199704404653
ACH-000938,0.05075650145380001
ACH-000939,-0.0415040791062
ACH-000941,0.131838817232
ACH-000943,0.0748117479761
ACH-000946,0.0594548589662
ACH-000947,0.0855063474483
ACH-000948,0.00172927313635
ACH-000950,-0.0595642927465
ACH-000953,0.102273798499
ACH-000957,0.31313023413
ACH-000958,0.00965475628077
ACH-000960,0.0763120943578
ACH-000963,0.344078389455
ACH-000968,-0.0208440363966
ACH-000969,-0.196740461059
ACH-000973,0.11594435747099999
ACH-000974,0.114174284554
ACH-000975,0.129927148118
ACH-000976,-0.172484037561
ACH-000978,-0.48559446217200003
ACH-000980,-0.09275277336789998
ACH-000984,-0.036267664902800006
ACH-000986,-0.0167204902707
ACH-000988,0.199144840173
ACH-000993,0.133445074395
ACH-000994,-0.0763660313447
ACH-000996,0.0277308932955
ACH-001001,0.0274454886934
ACH-001020,0.136035953456
ACH-001028,0.149668391365
ACH-001031,-0.09145387542130001
ACH-001038,0.0678292911389
ACH-001048,0.211294762823
ACH-001050,-0.0176977855028
ACH-001053,0.0354883710432
ACH-001054,-0.0397082352984
ACH-001061,0.09613926496760002
ACH-001067,0.0665788350991
ACH-001075,0.0164547582804
ACH-001096,0.151678639471
ACH-001128,0.295001548851
ACH-001134,0.183974869378
ACH-001151,0.22114672737500002
ACH-001163,-0.0378010657279
ACH-001164,0.241573599313
ACH-001173,-0.0140730864415
ACH-001183,0.279064950981
ACH-001184,0.277732944368
ACH-001190,0.128379586127
ACH-001192,0.012652072731299998
ACH-001193,0.152392555282
ACH-001196,0.22041742121599997
ACH-001197,-0.037832567828800005
ACH-001205,0.143180343951
ACH-001211,0.00435305582908
ACH-001212,0.191921047178
ACH-001228,0.12931804730000002
ACH-001232,0.21314760774500002
ACH-001239,0.106170828026
ACH-001274,0.049728352023900003
ACH-001275,-0.0398191597461
ACH-001277,-0.118320328915
ACH-001278,-0.12130710647
ACH-001280,0.258168927892
ACH-001283,0.00757241788925
ACH-001289,0.182523060306
ACH-001295,0.0164525829547
ACH-001300,-0.0812334684002
ACH-001301,0.09662545445589998
ACH-001302,0.504401400474
ACH-001303,-0.0101529338654
ACH-001306,0.247909154564
ACH-001318,0.108775106895
ACH-001322,0.0658908852982
ACH-001328,0.0911856249815
ACH-001332,-0.0308721019632
ACH-001333,0.0458316137761
ACH-001336,0.114782484123
ACH-001340,0.08062100157989999
ACH-001346,0.0723848169468
ACH-001353,0.158157262672
ACH-001354,0.227389452405
ACH-001367,0.261496087862
ACH-001368,0.107620896154
ACH-001374,0.533372797339
ACH-001375,0.179442134464
ACH-001377,0.197300606606
ACH-001380,0.108926862732
ACH-001391,0.18986281943100003
ACH-001407,0.0655572690986
ACH-001408,0.20220083600000002
ACH-001413,0.231898175327
ACH-001430,0.249824651826
ACH-001431,-0.0532362658856
ACH-001450,0.0418736926849
ACH-001496,0.13411072755
ACH-001500,0.08585033257269999
ACH-001521,0.0651441928445
ACH-001523,0.15344661632
ACH-001532,0.0774671698574
ACH-001536,0.120134676692
ACH-001550,0.00749751338396
ACH-001552,0.00190249658665
ACH-001554,0.157664708705
ACH-001645,0.11948419392899999
ACH-001654,0.057958910113300004
ACH-001715,0.274008887433
ACH-001735,0.062183250210699995
ACH-001736,0.09807338329649999
ACH-001737,0.0163707997124
ACH-001740,0.136335224058
ACH-001745,0.164589366534
ACH-001750,0.30389654671
ACH-001765,0.11089134013900001
ACH-001956,0.156018907457
ACH-001957,0.11383350307600001
