,COPB2 (9276)
ACH-000004,-1.67130791782
ACH-000007,-1.7426040740000002
ACH-000009,-1.8003431820299998
ACH-000011,-1.29919372938
ACH-000012,-1.7654171645099999
ACH-000013,-1.4509829240600003
ACH-000014,-1.5669524342299999
ACH-000015,-1.4629544070500002
ACH-000017,-1.35432125395
ACH-000018,-1.5314990537900002
ACH-000019,-1.8580219381999998
ACH-000021,-1.50603013938
ACH-000022,-1.7540845996599999
ACH-000025,-1.62097358206
ACH-000028,-1.49140225081
ACH-000030,-1.32791330558
ACH-000035,-1.200250597
ACH-000036,-1.6864925022600001
ACH-000037,-1.44801957514
ACH-000039,-1.49206902096
ACH-000040,-1.2183332749
ACH-000041,-1.61603340396
ACH-000042,-1.33602688597
ACH-000045,-1.83466842132
ACH-000047,-1.69021491472
ACH-000052,-1.5338618289800001
ACH-000053,-1.59223170318
ACH-000054,-1.4592833344299998
ACH-000055,-1.48572651931
ACH-000060,-1.39694791795
ACH-000067,-1.58790441824
ACH-000070,-1.9272509923400003
ACH-000075,-1.60052012252
ACH-000078,-1.65888667139
ACH-000082,-1.8623274394099998
ACH-000085,-1.4796226132899999
ACH-000086,-1.3713508517500002
ACH-000087,-1.52441848551
ACH-000092,-1.65904026821
ACH-000095,-1.8158494255500002
ACH-000097,-1.66547485525
ACH-000098,-1.69143072188
ACH-000099,-1.65184517553
ACH-000108,-1.45546925088
ACH-000113,-1.7709230777900002
ACH-000115,-2.4265350104700003
ACH-000116,-1.3109898683499999
ACH-000118,-1.45663333248
ACH-000120,-1.5005585215200001
ACH-000123,-1.4236705064700002
ACH-000127,-1.75935678272
ACH-000128,-1.4587986974899998
ACH-000132,-1.71914589505
ACH-000133,-1.5329269358700002
ACH-000137,-1.49881618364
ACH-000138,-1.5615886981600002
ACH-000142,-1.38977845135
ACH-000143,-1.33327318893
ACH-000146,-1.9195732684599998
ACH-000148,-1.41069992541
ACH-000150,-1.5081263492299999
ACH-000152,-1.60971946626
ACH-000153,-1.8195867545099997
ACH-000159,-2.08456169402
ACH-000160,-1.3615218829299998
ACH-000163,-1.68879324169
ACH-000167,-1.4455793547100002
ACH-000168,-1.23653745166
ACH-000169,-1.55873120515
ACH-000178,-1.53483193795
ACH-000182,-1.68994021913
ACH-000183,-1.6061130311
ACH-000188,-1.2224188693
ACH-000189,-1.41197663218
ACH-000190,-1.27557730446
ACH-000198,-1.78443055683
ACH-000204,-1.69531830738
ACH-000206,-1.4859439227200002
ACH-000207,-1.56815284141
ACH-000211,-1.5673184774000002
ACH-000215,-1.6549765005500001
ACH-000221,-1.6184592816999999
ACH-000222,-1.4014015251499998
ACH-000223,-1.54991511329
ACH-000226,-1.4542902469699999
ACH-000227,-1.81294094068
ACH-000228,-1.3646196457100002
ACH-000231,-1.4623852832700002
ACH-000232,-1.70361912886
ACH-000233,-1.8284162312999999
ACH-000234,-1.62832081803
ACH-000235,-1.73117807229
ACH-000237,-1.4671115561399999
ACH-000238,-1.5349175882
ACH-000243,-1.28715810865
ACH-000244,-1.3003573736299998
ACH-000246,-1.44229566148
ACH-000248,-1.57790527592
ACH-000250,-1.7750575930599999
ACH-000251,-1.60092282334
ACH-000253,-1.99108531718
ACH-000255,-1.3446334977399999
ACH-000256,-1.52863049574
ACH-000257,-1.09302168121
ACH-000258,-1.9531498917099996
ACH-000259,-1.55056282529
ACH-000260,-1.5360296441299999
ACH-000261,-1.4455413779100001
ACH-000262,-1.70963454595
ACH-000263,-1.68268141383
ACH-000264,-1.8098353169799999
ACH-000265,-1.41094540699
ACH-000266,-1.4110182432799998
ACH-000272,-1.7958941376700002
ACH-000273,-1.36850758746
ACH-000274,-1.7849576454900002
ACH-000277,-1.63277259761
ACH-000278,-1.34384295118
ACH-000279,-1.84955851004
ACH-000280,-1.26209922025
ACH-000281,-1.3028440454799999
ACH-000288,-1.57324987528
ACH-000291,-1.56224942711
ACH-000293,-1.21114479824
ACH-000294,-1.0920440293
ACH-000295,-2.01014900505
ACH-000296,-1.29086136231
ACH-000302,-1.7329044529799997
ACH-000304,-1.52157657262
ACH-000307,-1.5024604413799998
ACH-000308,-1.5846351966
ACH-000310,-1.93403941691
ACH-000311,-1.5405997603900001
ACH-000312,-1.54569591339
ACH-000315,-1.3210631822299999
ACH-000316,-1.58067034521
ACH-000317,-1.7404423848099997
ACH-000318,-1.4042154462
ACH-000319,-1.4591175863199999
ACH-000320,-1.51402769965
ACH-000322,-1.53133048216
ACH-000323,-1.57942241557
ACH-000324,-1.66872645628
ACH-000329,-2.09019412421
ACH-000330,-1.25136628245
ACH-000331,-1.34099147701
ACH-000332,-1.49821447841
ACH-000334,-2.672687242
ACH-000335,-1.31971146015
ACH-000336,-1.4830797675100003
ACH-000337,-1.34493474097
ACH-000339,-1.61325198213
ACH-000341,-1.55862357304
ACH-000348,-1.7531619399200002
ACH-000350,-1.4702442305599999
ACH-000352,-1.66646550747
ACH-000356,-1.5149273881799998
ACH-000361,-1.52579827954
ACH-000362,-1.68088941167
ACH-000363,-1.76704496245
ACH-000364,-1.33004158481
ACH-000365,-1.7894779413799997
ACH-000366,-1.5735841344900001
ACH-000368,-1.37859883888
ACH-000374,-1.45310981558
ACH-000375,-1.80398834029
ACH-000376,-1.8366851320700002
ACH-000381,-1.38237167182
ACH-000383,-2.01944644685
ACH-000387,-1.61520070908
ACH-000389,-1.12821372671
ACH-000390,-1.45383207363
ACH-000393,-1.85465644156
ACH-000395,-1.64456537748
ACH-000397,-1.5524238286399998
ACH-000401,-1.2984928862799998
ACH-000402,-1.1320173665200002
ACH-000403,-1.8606134642900003
ACH-000404,-1.5248492596899998
ACH-000406,-1.7229058769599999
ACH-000407,-1.50642369802
ACH-000408,-1.23503565426
