,POC1A (25886)
ACH-000004,-0.211661341356
ACH-000007,-0.105623996229
ACH-000009,-0.37835623736100005
ACH-000011,-0.186388644498
ACH-000012,-0.830473154893
ACH-000013,-0.250617962292
ACH-000014,-0.443215031464
ACH-000015,-0.562619004031
ACH-000017,-0.132555678438
ACH-000018,-0.609457700763
ACH-000019,-0.379574900276
ACH-000021,-0.35883383475100006
ACH-000022,-0.509096365584
ACH-000025,-0.396654916009
ACH-000028,-0.755451551374
ACH-000030,-0.382960786406
ACH-000035,-0.627688629536
ACH-000036,-0.8594592071170001
ACH-000037,-0.32406035865
ACH-000039,-0.370566570233
ACH-000040,-0.468030609415
ACH-000041,-0.206216242549
ACH-000042,-0.319811361028
ACH-000045,-0.601198597801
ACH-000047,-0.26778674891
ACH-000052,-0.331981425437
ACH-000053,-0.35660547425300004
ACH-000054,-0.350362961017
ACH-000055,-0.359513529022
ACH-000060,-0.189398330183
ACH-000067,-0.463597846395
ACH-000070,-0.41080882605700003
ACH-000075,-0.5783893974050001
ACH-000078,-0.219447374741
ACH-000082,-0.146166426535
ACH-000085,-0.157850919181
ACH-000086,-0.35341600465000006
ACH-000087,-0.389977755965
ACH-000092,-0.20115070257599998
ACH-000095,-0.332000318588
ACH-000097,-0.10786674062000001
ACH-000098,-0.403622254257
ACH-000099,-0.354132571814
ACH-000108,-0.524404446433
ACH-000113,-0.5075952800469999
ACH-000115,-0.0822785832082
ACH-000116,-0.212587196445
ACH-000118,-0.490618696582
ACH-000120,-0.385197161329
ACH-000123,-0.46122880701700003
ACH-000127,-0.862776047884
ACH-000128,-0.85227692763
ACH-000132,-0.33145309415699997
ACH-000133,-0.336446262517
ACH-000137,-0.245024732338
ACH-000138,-0.384626974169
ACH-000142,-0.5154776865730001
ACH-000143,-0.26724948136599996
ACH-000146,-0.437913992523
ACH-000148,-0.28714169860399996
ACH-000150,-0.590437409472
ACH-000152,-0.53473612202
ACH-000153,-0.544118222847
ACH-000159,-0.7238008057709999
ACH-000160,-0.364041966273
ACH-000163,-0.42168800482
ACH-000167,-0.627986311166
ACH-000168,-0.281593277742
ACH-000169,-0.7154508572280001
ACH-000178,-0.374797783908
ACH-000182,-0.247244268141
ACH-000183,-0.5832317950320001
ACH-000188,-0.658771762671
ACH-000189,-0.76305493625
ACH-000190,-0.335144548554
ACH-000198,-0.346831164987
ACH-000204,-0.17637352549199997
ACH-000206,-0.36952795250799997
ACH-000207,-0.568223284843
ACH-000211,-0.267409786079
ACH-000215,-0.308550409798
ACH-000221,-0.37559269344499996
ACH-000222,-0.7918338705719999
ACH-000223,-0.14295294576
ACH-000226,-0.211689213565
ACH-000227,-0.43660665913900004
ACH-000228,-0.5913247559089999
ACH-000231,-0.42950327021300005
ACH-000232,-0.656876479187
ACH-000233,-0.13957456609000002
ACH-000234,-0.31257306121
ACH-000235,-0.318822364815
ACH-000237,-0.271402080457
ACH-000238,-0.645953086316
ACH-000243,-0.869662894244
ACH-000244,-0.370394460255
ACH-000246,-0.9433047410500001
ACH-000248,-0.235009858737
ACH-000250,-0.281543823421
ACH-000251,-0.458779733294
ACH-000253,-0.338526071461
ACH-000255,-0.292765845682
ACH-000256,-0.154466422391
ACH-000257,-0.425907515465
ACH-000258,-0.201018877683
ACH-000259,-0.47111977293799995
ACH-000260,-0.251422344345
ACH-000261,-0.878842492254
ACH-000262,-0.391958800523
ACH-000263,-0.348891234329
ACH-000264,-0.313831416766
ACH-000265,-0.28332320998599997
ACH-000266,-0.250530981333
ACH-000272,-0.322353212379
ACH-000273,-0.507689316226
ACH-000274,-0.40833652017
ACH-000277,-0.24097280635600002
ACH-000278,-0.251678545895
ACH-000279,-0.166738279663
ACH-000280,-0.448404799604
ACH-000281,-0.7642147708849999
ACH-000288,-0.290914775751
ACH-000291,-0.08048540003669999
ACH-000293,-0.206021073444
ACH-000294,-0.367177161729
ACH-000295,-0.286236362576
ACH-000296,-0.41651156226400005
ACH-000302,-0.456280570595
ACH-000304,-0.31442316787700003
ACH-000307,-0.699368260258
ACH-000308,-0.489288599561
ACH-000310,-0.652574669155
ACH-000311,-0.339694321418
ACH-000312,-0.283194100667
ACH-000315,-0.308561805583
ACH-000316,-0.294203335095
ACH-000317,-0.630211703083
ACH-000318,-0.152008845692
ACH-000319,-0.316238564893
ACH-000320,-0.1780050239
ACH-000322,-0.141354229979
ACH-000323,-0.303286994776
ACH-000324,-0.0970308424488
ACH-000329,0.0356082358954
ACH-000330,-0.243150351295
ACH-000331,-0.5214134518
ACH-000332,-0.300600820757
ACH-000334,-0.11325913384299999
ACH-000335,-0.541321167884
ACH-000336,-0.13223133009500002
ACH-000337,-0.16527670489600002
ACH-000339,-0.375432309213
