,IL17RC (84818)
ACH-000004,-0.23292817428800003
ACH-000007,-0.029159166696900003
ACH-000009,-0.0876930332858
ACH-000011,0.0969917360873
ACH-000012,-0.011153183570700002
ACH-000013,0.0609335002025
ACH-000014,0.0375840810489
ACH-000015,0.107354933276
ACH-000017,0.10930329649599999
ACH-000018,0.0255789846575
ACH-000019,0.11966484727700001
ACH-000021,-0.046657369720900004
ACH-000022,0.016251872239
ACH-000025,-0.0291705776378
ACH-000028,0.0970467365448
ACH-000030,-0.0107586282124
ACH-000035,-0.0108143644935
ACH-000036,0.0112898059295
ACH-000037,0.242576060585
ACH-000039,0.317635274881
ACH-000040,0.031440299855299995
ACH-000041,0.00848244417271
ACH-000042,-0.142484132576
ACH-000045,-0.114240178081
ACH-000047,-0.009206824569959998
ACH-000052,-0.0510546389618
ACH-000053,0.00435481467541
ACH-000054,0.170087481234
ACH-000055,0.136003710122
ACH-000060,-0.0433341660344
ACH-000067,0.07733518048339999
ACH-000070,-0.12281399852399999
ACH-000075,-0.046828269326
ACH-000078,-0.163512560753
ACH-000082,0.0621532660629
ACH-000085,0.22556232882599997
ACH-000086,0.14230625882200001
ACH-000087,0.250745576155
ACH-000092,-0.014689478984299998
ACH-000095,0.06806865188609999
ACH-000097,-0.0444383445284
ACH-000098,-0.054731875508
ACH-000099,0.0351805081891
ACH-000108,-0.0602362944295
ACH-000113,0.025583513654200002
ACH-000115,-0.059337083299599996
ACH-000116,0.0333040261801
ACH-000118,0.0031128477957399997
ACH-000120,0.0800858171833
ACH-000123,-0.152885995701
ACH-000127,-0.0140168547703
ACH-000128,0.086795618486
ACH-000132,-0.050198713968400005
ACH-000133,-0.0852203915061
ACH-000137,-0.0219224871649
ACH-000138,0.057192071067699995
ACH-000142,0.0535025483139
ACH-000143,-0.166176937868
ACH-000146,-0.115221083954
ACH-000148,0.0688632617594
ACH-000150,-0.20227298794100002
ACH-000152,-0.0993725340044
ACH-000153,0.17178304868
ACH-000159,0.0278477101359
ACH-000160,0.0685153997048
ACH-000163,-0.09615308505650001
ACH-000167,-0.11192685269300001
ACH-000168,-0.09178434355460001
ACH-000169,-0.196251688393
ACH-000178,0.037973312947900004
ACH-000182,-0.094697447672
ACH-000183,0.025216052346799998
ACH-000188,-0.07662743754
ACH-000189,-0.0642254398784
ACH-000190,0.103323006579
ACH-000198,0.0900243964651
ACH-000204,-0.0264327124972
ACH-000206,-0.163026072824
ACH-000207,-0.0619484369147
