,LCE1C (353133)
ACH-000004,-0.58709147227
ACH-000007,-0.42289969555600004
ACH-000009,-0.631123878953
ACH-000011,-0.509074083197
ACH-000012,-0.644998922627
ACH-000013,-0.42072671625200003
ACH-000014,-0.585666154945
ACH-000015,-0.632834792379
ACH-000017,-0.6375453189370001
ACH-000018,-0.501345015026
ACH-000019,-0.831348073144
ACH-000021,-0.640580202908
ACH-000022,-0.462062058611
ACH-000025,-0.625981640727
ACH-000028,-0.595892857473
ACH-000030,-0.612091984198
ACH-000035,-0.49054353293499997
ACH-000036,-0.641620352989
ACH-000037,-0.7421258703470001
ACH-000039,-0.695958112453
ACH-000040,-0.632084426633
ACH-000041,-0.580302453082
ACH-000042,-0.634752153221
ACH-000045,-0.753733710077
ACH-000047,-0.6029271058060001
ACH-000052,-0.5456775525590001
ACH-000053,-0.535152399292
ACH-000054,-0.662050964359
ACH-000055,-0.610849037134
ACH-000060,-0.616478991489
ACH-000067,-0.7001934526129999
ACH-000070,-0.620137659034
ACH-000075,-0.779918160791
ACH-000078,-0.65153421562
ACH-000082,-0.49870002501000005
ACH-000085,-0.655162962386
ACH-000086,-0.748604003003
ACH-000087,-0.653494892687
ACH-000092,-0.665085026109
ACH-000095,-0.8114771623579999
ACH-000097,-0.775546349771
ACH-000098,-0.539902670356
ACH-000099,-0.650693827809
ACH-000108,-0.550685360659
ACH-000113,-0.582294313954
ACH-000115,-0.774736612703
ACH-000116,-0.657175734547
ACH-000118,-0.616032996461
ACH-000120,-0.452120386321
ACH-000123,-0.5451153888979999
ACH-000127,-0.5674034007509999
ACH-000128,-0.617720750884
ACH-000132,-0.538371252819
ACH-000133,-0.677669100649
ACH-000137,-0.7088478052089999
ACH-000138,-0.539250396598
ACH-000142,-0.698690430625
ACH-000143,-0.6820337629909999
ACH-000146,-0.641261197669
ACH-000148,-0.58133488425
ACH-000150,-0.698206514574
ACH-000152,-0.667548075284
ACH-000153,-0.668090299258
ACH-000159,-0.828749407694
ACH-000160,-0.504604208846
ACH-000163,-0.638525138678
ACH-000167,-0.787423787291
ACH-000168,-0.626363591824
ACH-000169,-0.543842515401
ACH-000178,-0.502656393881
ACH-000182,-0.463539622231
ACH-000183,-0.48314724737400006
ACH-000188,-0.569909551614
ACH-000189,-0.7908702149019999
ACH-000190,-0.590148105795
ACH-000198,-0.6976380227760001
ACH-000204,-0.40191333081
ACH-000206,-0.649083979222
ACH-000207,-0.531223852877
ACH-000211,-0.709988577542
ACH-000215,-0.5904799522749999
ACH-000221,-0.583742414302
ACH-000222,-0.510203701939
ACH-000223,-0.721359904517
ACH-000226,-0.565484179611
ACH-000227,-0.47813703624799997
ACH-000228,-0.40498094913000005
ACH-000231,-0.514839611967
ACH-000232,-0.783487580059
ACH-000233,-0.511006597821
ACH-000234,-0.5418655723899999
ACH-000235,-0.770482005766
ACH-000237,-0.726317712297
ACH-000238,-0.564885726442
ACH-000243,-0.603283777527
ACH-000244,-0.436456494325
ACH-000246,-0.546017157868
ACH-000248,-0.7444566418999999
ACH-000250,-0.614194012693
ACH-000251,-0.617389527783
ACH-000253,-0.66081900523
ACH-000255,-0.595531876892
ACH-000256,-0.592867985553
ACH-000257,-0.66941410648
ACH-000258,-0.600703229818
ACH-000259,-0.63992834409
ACH-000260,-0.638273271471
