,ECD (11319)
ACH-000004,-1.55951594174
ACH-000007,-1.55680458933
ACH-000009,-1.31088012528
ACH-000011,-0.962109735662
ACH-000012,-1.11346266674
ACH-000013,-0.890831814813
ACH-000014,-1.77108316868
ACH-000015,-1.09256470029
ACH-000017,-0.776214068458
ACH-000018,-1.3564823203100003
ACH-000019,-1.67776259384
ACH-000021,-1.57353471885
ACH-000022,-1.40012057019
ACH-000025,-1.32108368733
ACH-000028,-1.31503781445
ACH-000030,-0.991780908555
ACH-000035,-1.43246724315
ACH-000036,-1.01472892755
ACH-000037,-1.5813486363799998
ACH-000039,-1.5058228820100001
ACH-000040,-0.99840525655
ACH-000041,-1.15602244348
ACH-000042,-1.4702675031499999
ACH-000045,-1.24465976058
ACH-000047,-1.3283662148200002
ACH-000052,-1.4038515964899998
ACH-000053,-1.53052639043
ACH-000054,-1.40414879829
ACH-000055,-1.52279210365
ACH-000060,-1.31153146339
ACH-000067,-1.31820353839
ACH-000070,-1.51348375442
ACH-000075,-1.66295642122
ACH-000078,-1.59509758312
ACH-000082,-1.8566361989400002
ACH-000085,-1.24099673174
ACH-000086,-1.4356246615900001
ACH-000087,-1.3359739788200002
ACH-000092,-0.8530555475020001
ACH-000095,-1.71511966287
ACH-000097,-1.4260794343099998
ACH-000098,-1.50215723565
ACH-000099,-1.5531207717299997
ACH-000108,-1.32882854545
ACH-000113,-1.42321752675
ACH-000115,-1.60015818352
ACH-000116,-1.25115699962
ACH-000118,-0.9949134162630001
ACH-000120,-1.3963498856099998
ACH-000123,-1.3344297483299998
ACH-000127,-1.4161696844799998
ACH-000128,-1.41183800153
ACH-000132,-1.44198812959
ACH-000133,-1.38370371284
ACH-000137,-1.8590444051700001
ACH-000138,-1.1900102666399999
ACH-000142,-1.3796131846700002
ACH-000143,-1.4436288068399998
ACH-000146,-1.7286906436000002
ACH-000148,-1.2591037303200001
ACH-000150,-1.31521732579
ACH-000152,-1.33041586312
ACH-000153,-1.1900333644399999
ACH-000159,-1.61067702715
ACH-000160,-0.988220742306
ACH-000163,-1.22539157263
ACH-000167,-1.2288890760100002
ACH-000168,-1.10237241221
ACH-000169,-1.386414964
ACH-000178,-1.24582966811
ACH-000182,-1.41656633306
ACH-000183,-1.5306908276299998
ACH-000188,-1.3675395187600001
ACH-000189,-1.2220236751
ACH-000190,-0.982702656751
ACH-000198,-1.48041528674
ACH-000204,-1.3444240598800001
ACH-000206,-1.12267918076
ACH-000207,-1.3793567104700002
ACH-000211,-1.4886531485699999
ACH-000215,-1.5665124460100002
ACH-000221,-1.31759590642
ACH-000222,-1.52647853137
ACH-000223,-1.65791939785
ACH-000226,-1.37162327127
ACH-000227,-1.5969720541799999
ACH-000228,-1.5164418035299998
ACH-000231,-1.41033015639
ACH-000232,-1.3937837012399998
ACH-000233,-1.45409767417
ACH-000234,-1.36553817167
ACH-000235,-1.38312724017
ACH-000237,-1.1208154095899998
ACH-000238,-1.20630373765
