,PDK2 (5164)
ACH-000004,-0.128652099042
ACH-000007,-0.22587528889199998
ACH-000009,-0.223957359588
ACH-000011,-0.561009976135
ACH-000012,-0.49119572600100003
ACH-000013,-0.29771659577599996
ACH-000014,-0.323758460419
ACH-000015,-0.382458618015
ACH-000017,-0.204161538569
ACH-000018,-0.5221215494520001
ACH-000019,-0.34158149377499997
ACH-000021,-0.597373080591
ACH-000022,-0.563788920771
ACH-000025,-0.41480119403300003
ACH-000028,-0.336577813678
ACH-000030,-0.481049456803
ACH-000035,-0.591587516337
ACH-000036,-0.57340692225
ACH-000037,-0.3245687639
ACH-000039,-0.5465836539069999
ACH-000040,-0.6706064584120001
ACH-000041,-0.266825967027
ACH-000042,-0.459124533685
ACH-000045,-0.371704766818
ACH-000047,-0.40466641611299997
ACH-000052,-0.887272780358
ACH-000053,-0.34530197655100003
ACH-000054,-0.702519976679
ACH-000055,-0.40042348081999996
ACH-000060,-0.407013832156
ACH-000067,-0.339947964642
ACH-000070,-0.275013020033
ACH-000075,-0.41796409595
ACH-000078,-0.39920169584799997
ACH-000082,-0.386528259225
ACH-000085,-0.314921490975
ACH-000086,-0.45676449688000004
ACH-000087,-0.42963186574199996
ACH-000092,-0.399224572749
ACH-000095,-0.494947043628
ACH-000097,-0.43570673764
ACH-000098,-0.497419620489
ACH-000099,-0.24784422341999995
ACH-000108,-0.383007096158
ACH-000113,-0.396436712433
ACH-000115,-0.6607844086860001
ACH-000116,-0.262349958167
ACH-000118,-0.269279663517
ACH-000120,-0.38005696329000005
ACH-000123,-0.269053598369
ACH-000127,-0.41194726135399995
ACH-000128,-0.049056718570099994
ACH-000132,-0.26755685295000003
ACH-000133,-0.458733178764
ACH-000137,-0.34552166184199995
ACH-000138,-0.36997137268299995
ACH-000142,-0.609523309644
ACH-000143,-0.22252403831700002
ACH-000146,-0.21575699609299998
ACH-000148,-0.398393650366
ACH-000150,-0.5018999519349999
ACH-000152,-0.19344676686299997
ACH-000153,-0.220580922509
ACH-000159,-0.48341918369900005
ACH-000160,-0.2488976152
ACH-000163,-0.381774281918
ACH-000167,-0.517561206505
ACH-000168,-0.351443413416
ACH-000169,-0.412252036022
ACH-000178,-0.273640596571
ACH-000182,-0.23054601389
ACH-000183,-0.310676952254
ACH-000188,-0.46345102737899996
ACH-000189,-0.379405440508
ACH-000190,-0.261625341034
ACH-000198,-0.355887833856
ACH-000204,-0.388005147065
ACH-000206,-0.141216361289
ACH-000207,-0.50928967375
ACH-000211,-0.276707850641
ACH-000215,-0.4329629404
ACH-000221,-0.0705741500765
ACH-000222,-0.281941985237
ACH-000223,-0.37090827679099997
ACH-000226,-0.41901704968599995
ACH-000227,-0.492847716575
ACH-000228,-0.41655224221299997
ACH-000231,-0.24270088322900002
ACH-000232,-0.231875509403
ACH-000233,-0.385745000699
ACH-000234,-0.19360500321899998
ACH-000235,-0.44433863106399996
ACH-000237,-0.190722920412
ACH-000238,-0.8442814670280001
ACH-000243,-0.537158479664
ACH-000244,-0.484564953385
ACH-000246,-0.32030492000300004
ACH-000248,-0.44981125152400003
ACH-000250,-0.619208365635
ACH-000251,-0.21276943596
ACH-000253,-0.474899848332
ACH-000255,-0.497331230757
ACH-000256,-0.522902113951
ACH-000257,-0.24564076437899998
ACH-000258,-0.26497340578
ACH-000259,-0.39028955033
ACH-000260,-0.345508161557
ACH-000261,-0.486457055571
ACH-000262,-0.20792500268599998
ACH-000263,-0.371757071188
ACH-000264,-0.290994379839
ACH-000265,-0.300300072593
ACH-000266,-0.39652245107699996
ACH-000272,-0.307394630372
ACH-000273,-0.302630548024
ACH-000274,-0.569628982253
ACH-000277,-0.381084661458
ACH-000278,-0.28163235289
ACH-000279,-0.30215366203899996
ACH-000280,-0.418632757745
ACH-000281,-0.411707917896
ACH-000288,-0.512016156389
ACH-000291,-0.233513450861
ACH-000293,-0.319148669326
ACH-000294,-0.336222998963
ACH-000295,-0.787930309812
ACH-000296,-0.08969654593419998
ACH-000302,-0.291081809373
ACH-000304,-0.09263876122030001
ACH-000307,-0.344596297488
ACH-000308,-0.314582344388
ACH-000310,-0.304725056128
ACH-000311,-0.294762714839
ACH-000312,-0.398313209932
ACH-000315,0.029336735551299998
ACH-000316,-0.37622129341399996
ACH-000317,-0.273541249342
ACH-000318,-0.283703877646
ACH-000319,-0.33506256868
ACH-000320,-0.254624056099
ACH-000322,-0.47896505297799996
ACH-000323,-0.206110859219
ACH-000324,-0.601056655042
ACH-000329,-0.544812431829
ACH-000330,-0.64564990493
ACH-000331,-0.409436187789
ACH-000332,-0.394640541457
ACH-000334,-0.238783886523
ACH-000335,-0.24824982221900002
ACH-000336,-0.33613249500200004
ACH-000337,-0.7941619325849999
ACH-000339,-0.289465896758
ACH-000341,-0.423420264644
ACH-000348,-0.45387139253
ACH-000350,-0.430216497476
ACH-000352,-0.490946127412
ACH-000356,-0.274484397454
ACH-000361,-0.204323793919
ACH-000362,-0.354900717905
ACH-000363,-0.27313943834300003
ACH-000364,-0.389727939696
ACH-000365,-0.304806957028
ACH-000366,-0.29348390934
ACH-000368,-0.632329786106
ACH-000374,-0.24111764699299998
ACH-000375,-0.271801452517
ACH-000376,-0.418559744196
ACH-000381,-0.187332708094
ACH-000383,-0.39255730801399996
ACH-000387,-0.393069370626
ACH-000389,-0.294622589745
ACH-000390,-0.47898042060400003
ACH-000393,-0.603305758938
ACH-000395,-0.502663364674
ACH-000397,-0.415804261513
ACH-000401,-0.564212747961
ACH-000402,-0.255276059862
