,MYSM1 (114803)
ACH-000004,0.145323905108
ACH-000007,-0.208310409624
ACH-000009,-0.0951879470682
ACH-000011,0.102751052071
ACH-000012,0.129673580446
ACH-000013,-0.0020996671035499997
ACH-000014,-0.17590085712499998
ACH-000015,-0.149178776585
ACH-000017,0.18218183491599999
ACH-000018,-0.027590333569799997
ACH-000019,0.127210001528
ACH-000021,0.0775162042616
ACH-000022,-0.032703449793700004
ACH-000025,-0.0709514188897
ACH-000028,0.18030206941100002
ACH-000030,0.0395546375632
ACH-000035,-0.21387049469500002
ACH-000036,-0.24506883497200002
ACH-000037,0.18019154354800002
ACH-000039,-0.0153275955528
ACH-000040,-0.118636877739
ACH-000041,-0.277226731116
ACH-000042,-0.050086552615300005
ACH-000045,-0.0726186150277
ACH-000047,0.108315502366
ACH-000052,-0.434786491216
ACH-000053,0.0192307399484
ACH-000054,-0.12288413177400001
ACH-000055,0.11466507580600001
ACH-000060,-0.142028433078
ACH-000067,-0.0754357918653
ACH-000070,-0.00242952457763
ACH-000075,-0.0975512071541
ACH-000078,-0.46048073529399997
ACH-000082,-0.014520000384799999
ACH-000085,-0.3048896967
ACH-000086,-0.0241253754494
ACH-000087,-0.153649480383
ACH-000092,-0.28427676969500004
ACH-000095,-0.035253453443300005
ACH-000097,-0.0690161214091
ACH-000098,-0.154252755891
ACH-000099,-0.054622760432000005
ACH-000108,-0.0814330832908
ACH-000113,0.029932095276599995
ACH-000115,-0.29820773996
ACH-000116,-0.00803664551908
ACH-000118,-0.0980752142519
ACH-000120,-0.367901174954
ACH-000123,-0.0783953929959
ACH-000127,-0.0536005547469
ACH-000128,-0.269387178526
ACH-000132,-0.230645482539
ACH-000133,-0.236313493698
ACH-000137,0.011367606846799999
ACH-000138,-0.08845682759439999
ACH-000142,-0.184256991028
ACH-000143,0.09312237016939999
ACH-000146,-0.0302629076676
ACH-000148,0.0269471891762
ACH-000150,-0.0120843552779
ACH-000152,-0.00228048252924
ACH-000153,0.155394985342
ACH-000159,-0.0024495114984499997
ACH-000160,0.16528383386
ACH-000163,-0.11665758395400001
ACH-000167,0.33755767897100003
ACH-000168,0.0958419499484
ACH-000169,-0.146056865004
ACH-000178,0.0335114829073
ACH-000182,0.10999464473500001
ACH-000183,0.0460949627006
ACH-000188,-0.021519850532200003
ACH-000189,0.008793918987889998
ACH-000190,0.310253147544
ACH-000198,-0.0975881735461
ACH-000204,0.0175080611036
ACH-000206,-0.05334400729930001
ACH-000207,-0.011997419794
ACH-000211,-0.053727773979099995
ACH-000215,-0.028526326443500002
ACH-000221,-0.08826294441400001
ACH-000222,-0.00262322922714
ACH-000223,0.023798571969300002
ACH-000226,-0.11098160308499999
ACH-000227,-0.143987294882
ACH-000228,-0.38600214994300003
ACH-000231,-0.0742515015858
ACH-000232,-0.07157926176589999
ACH-000233,0.030724760401499997
ACH-000234,0.058148760544600005
ACH-000235,-0.0560231843561
ACH-000237,-0.242664286649
ACH-000238,-0.06655560976580001
ACH-000243,-0.19143968022
ACH-000244,0.366060985063
ACH-000246,-0.0152956266109
ACH-000248,-0.10610932499299999
ACH-000250,-0.0313017763228
ACH-000251,-0.139273362659
ACH-000253,-0.13811959238
ACH-000255,-0.0666587532979
ACH-000256,0.0758454813112
ACH-000257,-0.192778143395
ACH-000258,-0.15543288316099999
ACH-000259,-0.17585000985500002
ACH-000260,0.00120960788344
ACH-000261,-0.132613590924
ACH-000262,-0.235317834077
ACH-000263,0.307865490157
ACH-000264,0.0037166704970700002
ACH-000265,-0.034786795773
ACH-000266,-0.15914620588
ACH-000272,-0.196915382454
ACH-000273,0.11629311360099999
ACH-000274,-0.0999138265928
ACH-000277,-0.0182489074125
ACH-000278,-0.0102430103044
ACH-000279,0.00954587652955
ACH-000280,-0.414335591741
ACH-000281,-0.0535216570008
ACH-000288,-0.00495642575613
ACH-000291,-0.193338102727
ACH-000293,0.006425616261220001
ACH-000294,0.0453099340755
ACH-000295,-0.000641340088325
ACH-000296,0.021143783366099997
ACH-000302,0.0272480960638
ACH-000304,-0.279102810597
ACH-000307,-0.0489291809044
ACH-000308,0.00205386733112
ACH-000310,-0.425107838877
ACH-000311,-0.290129441539
ACH-000312,-0.16384708665699999
ACH-000315,-0.130155287444
ACH-000316,-0.117054300973
ACH-000317,-0.177280243262
ACH-000318,-0.120976147993
ACH-000319,-0.10703774388000001
ACH-000320,-0.46432158498099996
ACH-000322,-0.197196338098
ACH-000323,-0.24964960299699998
ACH-000324,0.00998795974336
ACH-000329,-0.150868823217
ACH-000330,0.0180943109386
ACH-000331,0.129235577377
ACH-000332,-0.056075121769
ACH-000334,0.0598738087141
ACH-000335,-0.0354260796248
ACH-000336,0.0336508903526
ACH-000337,0.0419489984495
ACH-000339,0.017582579499
ACH-000341,-0.222392585209
ACH-000348,-0.0830660772167
ACH-000350,0.11375111391699999
ACH-000352,0.123888873637
ACH-000356,-0.16278187594000001
ACH-000361,-0.225085940805
ACH-000362,-0.212448352363
ACH-000363,-0.168617229426
ACH-000364,-0.16788805890099998
ACH-000365,-0.04719063594530001
ACH-000366,-0.10813839795600001
ACH-000368,0.0913519518598
ACH-000374,-0.0679973335804
ACH-000375,0.306954998491
ACH-000376,-0.0334742502025
ACH-000381,-0.288496172916
ACH-000383,-0.07281922906
ACH-000387,-0.215636064677
ACH-000389,-0.261326302417
ACH-000390,-0.111792510399
ACH-000393,0.00631003365423
ACH-000395,0.094736493171
ACH-000397,0.05147546803999999
ACH-000401,-0.204338375509
ACH-000402,0.13099129511
ACH-000403,-0.0322972270862
ACH-000404,-0.334569815352
ACH-000406,0.0199809416207
ACH-000407,0.0618928812695
ACH-000408,0.0649315318528
ACH-000410,-0.10759534082399999
ACH-000411,-0.440606499909
ACH-000414,-0.0795333532898
ACH-000415,-0.08661870661039998
ACH-000416,0.0192060726636
ACH-000420,0.156832936736
ACH-000421,-0.0446878290553
ACH-000424,0.182307891429
ACH-000425,-0.177065205988
ACH-000426,0.332347082034
ACH-000427,0.0262295967897
ACH-000433,0.104992685595
ACH-000436,-0.113594118992
ACH-000444,0.0409961966671
ACH-000445,-0.010647210001299999
ACH-000448,0.0247310443785
ACH-000450,0.173588918948
ACH-000452,0.15242236218
ACH-000454,-0.0494888595081
ACH-000458,-0.183246864349
ACH-000459,0.045331601081099994
ACH-000460,0.0308639834589
ACH-000461,0.09027462411960001
ACH-000463,0.0255035511637
ACH-000464,-0.10950209131100001
ACH-000466,0.126472076728
ACH-000467,-0.0405542038919
ACH-000468,-0.036268923566400005
ACH-000469,0.0618542612785
ACH-000470,0.138376431172
ACH-000471,0.036563964262
ACH-000472,-0.018073976101299998
ACH-000473,-0.150871030446
ACH-000475,-0.049388596733
ACH-000476,0.010425113478600001
ACH-000477,-0.133968151757
ACH-000480,-0.039064759997300004
ACH-000481,-0.0918997430517
ACH-000483,-0.0504850548757
ACH-000484,0.029637023716599997
ACH-000485,0.0743145449403
ACH-000486,0.0825908091328
