,BIN1 (274)
ACH-000004,-0.58136141842
ACH-000007,-0.38398873425700003
ACH-000009,-0.417397382221
ACH-000011,-0.256393227699
ACH-000012,-0.192207807634
ACH-000013,-0.117573122411
ACH-000014,-0.34074365771799997
ACH-000015,-0.26219161930999996
ACH-000017,-0.235487822087
ACH-000018,-0.224188336947
ACH-000019,-0.22403460933000002
ACH-000021,-0.10996978121300001
ACH-000022,-0.160617133121
ACH-000025,-0.18590441027
ACH-000028,-0.279422672273
ACH-000030,-0.323987728924
ACH-000035,-0.29541452398
ACH-000036,-0.026114401040599998
ACH-000037,-0.328180156284
ACH-000039,-0.293173002445
ACH-000040,-0.188896959882
ACH-000041,-0.33061451081
ACH-000042,-0.0660349536159
ACH-000045,-0.186565361475
ACH-000047,-0.150361506453
ACH-000052,-0.26193337012
ACH-000053,-0.244687579846
ACH-000054,-0.271274541973
ACH-000055,-0.207719492611
ACH-000060,-0.17595635280000002
ACH-000067,-0.09523566170119999
ACH-000070,-0.103094274563
ACH-000075,-0.329953307533
ACH-000078,-0.32771850056400004
ACH-000082,-0.23095608674600002
ACH-000085,-0.192834022293
ACH-000086,-0.299688936809
ACH-000087,-0.334803265864
ACH-000092,-0.352405209199
ACH-000095,-0.23391472688099998
ACH-000097,-0.252024784104
ACH-000098,-0.355759550067
ACH-000099,-0.283785916072
ACH-000108,-0.285748828949
ACH-000113,-0.09201866036350001
ACH-000115,0.0110562597305
ACH-000116,-0.107131905373
ACH-000118,-0.14001763204
ACH-000120,-0.272920794312
ACH-000123,-0.273915436037
ACH-000127,-0.273709287559
ACH-000128,-0.38910697841799996
ACH-000132,-0.212051611656
ACH-000133,-0.197959402566
ACH-000137,0.045817217452
ACH-000138,-0.176512596822
ACH-000142,-0.163610870537
ACH-000143,-0.39124482990099996
ACH-000146,-0.215428888672
ACH-000148,-0.212341600388
ACH-000150,-0.183819633748
ACH-000152,-0.322583825899
ACH-000153,-0.0728663805607
ACH-000159,-0.148754613921
ACH-000160,0.0732480426381
ACH-000163,-0.24460523942200002
ACH-000167,-0.309483360545
ACH-000168,-0.28891148871399996
ACH-000169,-0.219986654298
ACH-000178,-0.2781939794
ACH-000182,-0.23328708569899997
ACH-000183,-0.180642442476
ACH-000188,-0.159597301051
ACH-000189,-0.470883785546
ACH-000190,0.054544333824300004
ACH-000198,-0.127232340759
ACH-000204,-0.150234551697
ACH-000206,-0.222285750605
ACH-000207,-0.44091619340099997
ACH-000211,-0.0673870737925
ACH-000215,-0.153705453731
ACH-000221,-0.340280582086
ACH-000222,-0.130529081171
ACH-000223,-0.22970112395199999
ACH-000226,-0.559426164196
ACH-000227,-0.184744593444
ACH-000228,-0.27539166279399996
ACH-000231,-0.200872042489
ACH-000232,-0.37463153017800005
ACH-000233,-0.276831512376
ACH-000234,-0.0126351409888
ACH-000235,-0.054845479287599995
ACH-000237,-0.153387122807
ACH-000238,-0.372195398132
ACH-000243,-0.316744037289
ACH-000244,-0.0855965783151
ACH-000246,-0.162671668013
ACH-000248,-0.19818764838599998
ACH-000250,-0.19712327554
ACH-000251,-0.32593163421599997
ACH-000253,-0.09411274452360001
ACH-000255,-0.327862714216
ACH-000256,-0.325153413715
ACH-000257,-0.09408065057769999
ACH-000258,-0.0701826736696
ACH-000259,-0.173592167178
ACH-000260,-0.239073462369
ACH-000261,-0.363489133033
ACH-000262,-0.318438783009
ACH-000263,-0.227794729188
ACH-000264,-0.073063232846
ACH-000265,-0.237086326234
ACH-000266,-0.134487117104
ACH-000272,-0.19742999508499998
ACH-000273,-0.14118443421399998
ACH-000274,-0.266838981585
ACH-000277,-0.095980643457
ACH-000278,0.044769895485500005
ACH-000279,-0.520985337174
ACH-000280,-0.22905596762400002
ACH-000281,-0.44298919961499994
ACH-000288,-0.309213718542
ACH-000291,-0.260948198014
ACH-000293,-0.075359300691
ACH-000294,-0.157314769592
ACH-000295,-0.151036959915
ACH-000296,-0.0510020799979
ACH-000302,-0.302004073332
ACH-000304,-0.271852407479
ACH-000307,-0.342710322409
ACH-000308,-0.19466687756499998
ACH-000310,-0.136460618886
ACH-000311,0.008977707939879998
ACH-000312,-0.297556668625
ACH-000315,-0.199982763366
ACH-000316,-0.178019178997
ACH-000317,-0.396083831228
ACH-000318,-0.0849727884619
ACH-000319,-0.0590201309628
ACH-000320,-0.317618890251
ACH-000322,-0.096771967882
ACH-000323,-0.23069705984000002
ACH-000324,-0.182229739853
ACH-000329,-0.261076260467
ACH-000330,-0.382711758234
ACH-000331,-0.34271924761999994
ACH-000332,0.118103390507
ACH-000334,-0.178809702688
ACH-000335,-0.211027807094
ACH-000336,0.20451731068700002
ACH-000337,-0.230636394901
ACH-000339,-0.409184152611
ACH-000341,-0.0544234454246
ACH-000348,-0.19733685827199998
ACH-000350,-0.151607904237
ACH-000352,-0.135455721197
ACH-000356,0.0315300641451
ACH-000361,-0.254679374244
ACH-000362,-0.16099626277
ACH-000363,-0.199102637029
ACH-000364,-0.23950396991700001
ACH-000365,-0.293900992236
ACH-000366,-0.25414493309
ACH-000368,-0.122124480458
ACH-000374,-0.21781866285100002
ACH-000375,-0.281681099622
ACH-000376,-0.122213434212
ACH-000381,-0.248550017825
ACH-000383,-0.0270831579085
ACH-000387,-0.21951110672
ACH-000389,-0.38184632489200004
ACH-000390,-0.292470288496
ACH-000393,-0.22629157555399998
ACH-000395,-0.177094927264
ACH-000397,-0.274875605322
ACH-000401,-0.147847766515
ACH-000402,-0.273545389247
ACH-000403,-0.282022385656
ACH-000404,-0.161063666712
ACH-000406,-0.249515295044
ACH-000407,-0.270341784582
ACH-000408,-0.28374155855300004
