,CNN1 (1264)
ACH-000004,-0.363684530587
ACH-000007,0.0440491725504
ACH-000009,-0.047213118361400006
ACH-000011,-0.0088490578311
ACH-000012,-0.34660384669100003
ACH-000013,-0.303631497487
ACH-000014,-0.146104203351
ACH-000015,-0.308823236089
ACH-000017,-0.169116240612
ACH-000018,-0.225982762567
ACH-000019,-0.310222454136
ACH-000021,-0.42011953249300005
ACH-000022,-0.136037001483
ACH-000025,-0.27152361889000004
ACH-000028,-0.396570069423
ACH-000030,-0.28001437261900003
ACH-000035,-0.159936639868
ACH-000036,-0.028994755623800002
ACH-000037,-0.116184388937
ACH-000039,-0.284527077598
ACH-000040,-0.09054132141139999
ACH-000041,-0.0795234281811
ACH-000042,-0.0578442885654
ACH-000045,-0.243260555534
ACH-000047,-0.05817437316480001
ACH-000052,-0.254847041021
ACH-000053,-0.23304601128000002
ACH-000054,-0.0700530655767
ACH-000055,-0.0794465036043
ACH-000060,-0.039386479011199994
ACH-000067,-0.015190319959200001
ACH-000070,0.0819098436954
ACH-000075,-0.0817731363827
ACH-000078,-0.35857204484
ACH-000082,-0.132456955733
ACH-000085,-0.359761411274
ACH-000086,-0.0419739200167
ACH-000087,-0.34858677061899995
ACH-000092,-0.07476981679860001
ACH-000095,-0.160629158873
ACH-000097,-0.0977913325472
ACH-000098,-0.26098844127
ACH-000099,-0.296394307616
ACH-000108,-0.396365288497
ACH-000113,-0.225542373117
ACH-000115,-0.40754425563600005
ACH-000116,-0.379364607373
ACH-000118,-0.2183057416
ACH-000120,-0.14317335298699999
ACH-000123,-0.18644421658399998
ACH-000127,-0.301507469451
ACH-000128,-0.256097468026
ACH-000132,-0.23202927044
ACH-000133,0.0177481759592
ACH-000137,-0.0581585316952
ACH-000138,-0.333668483389
ACH-000142,-0.23222418341899997
ACH-000143,-0.23157753535599998
ACH-000146,-0.147834967682
ACH-000148,-0.113916504004
ACH-000150,-0.33958970630900004
ACH-000152,-0.188030743938
ACH-000153,0.022077675066299998
ACH-000159,-0.21653517822700002
ACH-000160,0.043874865780899996
ACH-000163,-0.5909834737080001
ACH-000167,-0.128064105641
ACH-000168,-0.100524458512
ACH-000169,-0.036814406127900004
ACH-000178,-0.110026387132
ACH-000182,-0.45528732041500003
ACH-000183,-0.24877362293000002
ACH-000188,-0.357424815151
ACH-000189,-0.23201397385800002
ACH-000190,-0.0821663008392
ACH-000198,-0.23799796464200002
ACH-000204,0.0541471632847
ACH-000206,-0.108214339603
ACH-000207,-0.359544407719
ACH-000211,-0.230830150707
ACH-000215,-0.184148234192
ACH-000221,-0.19555641014699998
ACH-000222,-0.24886801179200002
ACH-000223,-0.21116745083799998
ACH-000226,-0.11265871152200001
ACH-000227,-0.0567206447826
ACH-000228,-0.400535192584
ACH-000231,-0.09587309182589998
ACH-000232,-0.025958571089099998
ACH-000233,-0.16154488595
ACH-000234,-0.18454593737
ACH-000235,-0.151437305735
ACH-000237,-0.219837157789
ACH-000238,-0.015348375879799998
ACH-000243,-0.398007674821
ACH-000244,-0.291981092142
ACH-000246,-0.19742414287300003
ACH-000248,-0.27281313702300003
ACH-000250,-0.20181075223499997
ACH-000251,-0.437708816802
ACH-000253,-0.305102959146
ACH-000255,-0.20524055500100002
ACH-000256,-0.295181084047
ACH-000257,-0.362342322349
ACH-000258,-0.44348718385499997
ACH-000259,-0.109726544612
ACH-000260,-0.22888198154199998
ACH-000261,-0.17948012091600002
ACH-000262,-0.208481665595
ACH-000263,-0.263431800437
ACH-000264,-0.11741709282099999
ACH-000265,-0.194092592241
ACH-000266,-0.10836670331800001
ACH-000272,-0.194097007098
ACH-000273,-0.16995319636300002
ACH-000274,-0.144739388762
ACH-000277,0.0347389802674
ACH-000278,-0.20867862959699998
ACH-000279,-0.0434310768683
ACH-000280,-0.189629193849
ACH-000281,-0.299735088991
ACH-000288,-0.0169610446153
ACH-000291,-0.10300214425000001
ACH-000293,0.05997244095030001
ACH-000294,-0.503817026058
ACH-000295,-0.33588672946500003
ACH-000296,-0.17663515475400002
ACH-000302,-0.22742843131700002
ACH-000304,-0.142460560387
ACH-000307,-0.21862945258299998
ACH-000308,-0.231024007328
ACH-000310,-0.231054945517
ACH-000311,-0.11494946274599999
ACH-000312,-0.24297825081099997
ACH-000315,-0.20071554069800002
ACH-000316,0.319084651036
ACH-000317,-0.150443891166
ACH-000318,-0.389438093839
ACH-000319,-0.35491435147
ACH-000320,-0.393640393205
ACH-000322,-0.245176560139
ACH-000323,-0.197052725096
ACH-000324,-0.0267639626259
ACH-000329,0.0556282383863
ACH-000330,-0.054129138721
ACH-000331,-0.129864048737
ACH-000332,-0.245885314942
ACH-000334,-0.426847337853
ACH-000335,-0.0239438911055
ACH-000336,0.0443066756049
ACH-000337,-0.307917008506
ACH-000339,-0.23102075276999998
ACH-000341,-0.301913070376
ACH-000348,-0.20831222153499998
ACH-000350,-0.165670482422
ACH-000352,-0.216219065841
ACH-000356,-0.0854956073034
ACH-000361,-0.306837122769
ACH-000362,-0.491157272544
ACH-000363,-0.401828091004
ACH-000364,-0.322031034699
ACH-000365,-0.14292532969
ACH-000366,-0.232093098703
ACH-000368,-0.23269397534800002
ACH-000374,-0.249898144948
ACH-000375,-0.17780676565499998
ACH-000376,0.139215118216
ACH-000381,0.0131328735317
ACH-000383,-0.17853362234900003
ACH-000387,-0.369337055423
ACH-000389,-0.0823571972585
ACH-000390,-0.166610973366
ACH-000393,-0.33338446004
ACH-000395,-0.267499309879
ACH-000397,-0.028349063145599998
ACH-000401,0.07098443548410001
ACH-000402,-0.184954647388
ACH-000403,-0.09923237086639998
ACH-000404,-0.263736531369
ACH-000406,-0.15545899189
ACH-000407,-0.136342748611
ACH-000408,-0.208838801111
ACH-000410,-0.29604180881299996
ACH-000411,-0.150317004345
ACH-000414,-0.0646058494823
ACH-000415,-0.162359837178
ACH-000416,-0.249750794016
ACH-000420,-0.242855085083
ACH-000421,-0.23108548368
ACH-000424,-0.274722552962
ACH-000425,-0.11020896353199999
ACH-000426,-0.117118248882
ACH-000427,-0.0615233286419
ACH-000433,-0.38875546495700003
ACH-000436,-0.19317618251200003
ACH-000444,-0.16316000302300002
ACH-000445,0.0731256007681
ACH-000448,-0.324684247085
ACH-000450,0.112004128818
ACH-000452,-0.184964927456
ACH-000454,-0.041909176727900004
ACH-000458,-0.161683467002
ACH-000459,-0.12374287128900001
ACH-000460,-0.114906108846
ACH-000461,-0.20618432500599998
ACH-000463,-0.21375353304900002
ACH-000464,-0.288548557129
ACH-000466,-0.11106563819
ACH-000467,-0.140904254943
ACH-000468,-0.404942139492
ACH-000469,-0.14202689066500002
ACH-000470,-0.0760458315824
ACH-000471,-0.169842441033
ACH-000472,-0.321821740561
ACH-000473,-0.109477767314
ACH-000475,-0.143459788324
ACH-000476,-0.0821527419907
ACH-000477,-0.039845825695199996
ACH-000480,-0.32505633170299997
ACH-000481,-0.25059651551999995
ACH-000483,-0.047213203158200004
ACH-000484,-0.327380749799
ACH-000485,-0.10170419987099999
ACH-000486,-0.024554678405200002
ACH-000487,-0.0394471168502
ACH-000488,-0.123180684119
ACH-000490,-0.192655543153
ACH-000491,-0.0329502884567
ACH-000495,-0.12623350071699999
ACH-000496,-0.17949206553599997
ACH-000499,-0.328359424774
ACH-000500,0.386393179129
ACH-000502,-0.328119318199
ACH-000503,-0.392634802253
ACH-000505,-0.418787531914
ACH-000507,-0.164074439997
ACH-000510,-0.279949369942
ACH-000511,-0.268481300557
ACH-000512,-0.19162351395399999
ACH-000516,-0.106483355534
ACH-000517,-0.146076878538
ACH-000518,-0.013977429002
ACH-000520,0.015478081408799998
ACH-000521,-0.17406439515900002
ACH-000522,-0.13960895627999997
ACH-000524,-0.184553876619
ACH-000527,-0.313326823235
ACH-000528,-0.354554488213
ACH-000537,-0.27379316929999997
ACH-000541,-0.0076948111526999995
ACH-000542,-0.0760098769565
ACH-000544,-0.161123999223
ACH-000545,-0.316977495318
ACH-000547,-0.254982719156
ACH-000548,-0.176397386644
ACH-000549,-0.16787213037
ACH-000550,0.007210657903
ACH-000552,-0.179128286968
ACH-000556,-0.23427731643000002
ACH-000557,-0.23766632347
ACH-000570,-0.10788484924000001
ACH-000571,-0.11885148437200001
ACH-000573,-0.145967502395
ACH-000576,-0.183701534773
ACH-000580,-0.058830267210900004
ACH-000584,-0.149740100835
ACH-000585,-0.253789882465
ACH-000588,-0.189643822495
ACH-000589,-0.282170885233
ACH-000591,-0.0527572932233
ACH-000593,-0.142730385528
ACH-000600,-0.113302155822
ACH-000601,-0.23781155788000002
ACH-000604,-0.38882685075199996
ACH-000605,0.0106861998508
ACH-000606,-0.260891516968
ACH-000608,-0.16239661504300001
ACH-000614,-0.0142553381205
ACH-000616,-0.092261256709
ACH-000618,-0.36067271925399996
ACH-000619,-0.13118332247
ACH-000620,-0.170370896137
ACH-000621,-0.520786321932
ACH-000622,-0.10384291013599999
ACH-000623,-0.163009878406
ACH-000624,-0.270108826772
ACH-000627,-0.22780211540399997
ACH-000630,-0.19312579618700002
ACH-000632,-0.24757325329799998
ACH-000633,-0.08375896223349999
ACH-000637,-0.516443590522
ACH-000638,-0.154191966314
ACH-000646,-0.22414476107200001
ACH-000647,-0.109596124022
ACH-000648,-0.175702456653
ACH-000649,-0.133554243319
ACH-000651,-0.058293006205799996
ACH-000652,-0.136607746932
ACH-000653,-0.09030440742939999
ACH-000657,-0.172688771148
ACH-000658,-0.232865101127
ACH-000661,-0.11073212183
ACH-000662,-0.306244726158
ACH-000663,0.018206770518599997
ACH-000665,-0.29074429722399997
ACH-000671,-0.20254992319
ACH-000673,-0.110078501495
ACH-000676,-0.173977501754
ACH-000677,0.00148929074914
ACH-000681,-0.203503470807
ACH-000682,-0.25054079620999997
ACH-000683,-0.225540119324
ACH-000684,-0.0466955925389
ACH-000688,-0.129268482257
