,PTF1A (256297)
ACH-000004,0.0174045153511
ACH-000007,-0.022745596403299997
ACH-000009,0.07799218102989999
ACH-000011,-0.140520702059
ACH-000012,-0.0994448923935
ACH-000013,-0.0881571660245
ACH-000014,0.0927501428355
ACH-000015,0.061169477855900004
ACH-000017,-0.0100020261427
ACH-000018,0.0061366679857799995
ACH-000019,0.0722193535404
ACH-000021,-0.043107815667000005
ACH-000022,-0.0825250788744
ACH-000025,-0.00126549329744
ACH-000028,-0.09571879036900001
ACH-000030,-0.11059516012000001
ACH-000035,-0.0701411179795
ACH-000036,-0.0812779443378
ACH-000037,0.00770049981868
ACH-000039,-0.163800075946
ACH-000040,-0.0555418723754
ACH-000041,0.059534430604300005
ACH-000042,0.023122945829900002
ACH-000045,0.035965580203199995
ACH-000047,-0.060704965377
ACH-000052,0.17989953098
ACH-000053,-0.383393409146
ACH-000054,0.083567194999
ACH-000055,0.101248860922
ACH-000060,-0.331856521721
ACH-000067,-0.162706286789
ACH-000070,-0.223884653279
ACH-000075,-0.276630833977
ACH-000078,0.0791736354505
ACH-000082,-0.091491354104
ACH-000085,0.177341533728
ACH-000086,-0.127375164349
ACH-000087,-0.175233614214
ACH-000092,-0.163094555522
ACH-000095,-0.101268616008
ACH-000097,-0.023167384835799998
ACH-000098,-0.100341683031
ACH-000099,-0.149269732381
ACH-000108,0.022603586249000003
ACH-000113,0.0172067528478
ACH-000115,0.0104618339291
ACH-000116,-0.019181385991200003
ACH-000118,-0.071660805178
ACH-000120,-0.19432543631299998
ACH-000123,0.119238377477
ACH-000127,-0.0679062874935
ACH-000128,-0.18955492844
ACH-000132,0.014362360474600001
ACH-000133,0.12806965739
ACH-000137,0.294059792788
ACH-000138,0.113589518704
ACH-000142,0.05733922925419999
ACH-000143,0.076218881141
ACH-000146,-0.129519114091
ACH-000148,-0.135441906202
ACH-000150,-0.0216479879213
ACH-000152,-0.182637462879
ACH-000153,0.048894574376600004
ACH-000159,-0.04509924749
ACH-000160,-0.292190215443
ACH-000163,-0.0435419088134
ACH-000167,0.0941747759021
ACH-000168,-0.266553864406
ACH-000169,0.108185285469
ACH-000178,-0.194052797931
ACH-000182,0.0289565953105
ACH-000183,0.15078701267300001
ACH-000188,-0.2924691828
ACH-000189,0.304227594355
ACH-000190,0.14915270194
ACH-000198,0.0156979135114
ACH-000204,0.066093570169
ACH-000206,0.07527723117039999
ACH-000207,0.28111996604600004
ACH-000211,0.10825245960999999
ACH-000215,-0.242053412824
ACH-000221,0.0017565702610300002
ACH-000222,0.09500744889139999
ACH-000223,0.00651731803173
ACH-000226,-0.19836010400899998
ACH-000227,0.389991959173
ACH-000228,-0.137203892816
ACH-000231,-0.17843389457400002
ACH-000232,0.0477940804835
ACH-000233,-0.12067088282400001
ACH-000234,0.0988387464085
ACH-000235,0.00246890265796
ACH-000237,-0.101870377724
ACH-000238,-0.028407843909200002
ACH-000243,0.154299270968
