,AMICA1 (120425)
ACH-000004,-0.18793513555100003
ACH-000007,-0.28158600717300003
ACH-000009,-0.291172038929
ACH-000011,-0.309441517007
ACH-000012,-0.22945667772300002
ACH-000013,-0.114145050125
ACH-000014,-0.146041851995
ACH-000015,-0.215001537083
ACH-000017,-0.10552026822
ACH-000018,0.0532291988907
ACH-000019,-0.134597242426
ACH-000021,-0.00384484211603
ACH-000022,0.0126498960261
ACH-000025,-0.0901529333175
ACH-000028,-0.26940493189
ACH-000030,-0.282065417711
ACH-000035,-0.056296099839399996
ACH-000036,-0.147608021619
ACH-000037,-0.00650465783155
ACH-000039,0.167910937496
ACH-000040,-0.156820685146
ACH-000041,-0.441079748483
ACH-000042,-0.09102961138430002
ACH-000045,-0.182724662278
ACH-000047,-0.12991728472
ACH-000052,-0.12431207997400001
ACH-000053,-0.048880358679300004
ACH-000054,-0.12655632498400002
ACH-000055,-0.0073292291079300005
ACH-000060,-0.331167818175
ACH-000067,-0.0551064393792
ACH-000070,0.07906632903369999
ACH-000075,-0.169644073798
ACH-000078,-0.175779704769
ACH-000082,-0.402935736564
ACH-000085,-0.186975853926
ACH-000086,-0.18420438660500002
ACH-000087,-0.159481168048
ACH-000092,-0.10665921885299999
ACH-000095,-0.23725363947900002
ACH-000097,-0.14397711450099998
ACH-000098,-0.0182181047114
ACH-000099,-0.0353058394673
ACH-000108,-0.0668900300915
ACH-000113,-0.17471495855099997
ACH-000115,-0.15292888756
ACH-000116,0.0328800329072
ACH-000118,-0.0171912322703
ACH-000120,-0.0235820755663
ACH-000123,-0.0965667124388
ACH-000127,-0.22948359257
ACH-000128,-0.10263934351
ACH-000132,-0.293110341965
ACH-000133,-0.049129477530699996
ACH-000137,-0.19280293543299998
ACH-000138,-0.18148448322299998
ACH-000142,-0.037532308301199996
ACH-000143,-0.0173646968827
ACH-000146,-0.043934009728
ACH-000148,-0.16163540960699999
ACH-000150,-0.16222411704700002
ACH-000152,-0.0204318644745
ACH-000153,0.0530239162226
ACH-000159,0.06757621635660001
ACH-000160,-0.0438123578526
ACH-000163,-0.18413160425900002
ACH-000167,-0.29838969475099997
ACH-000168,-0.40336689735200004
ACH-000169,-0.0719756567333
ACH-000178,-0.0419759581671
ACH-000182,-0.00264314075421
ACH-000183,-0.11345288837300001
ACH-000188,-0.0376274169205
ACH-000189,-0.551772179541
ACH-000190,-0.221864700851
ACH-000198,-0.264116305154
ACH-000204,-0.047770890843400006
ACH-000206,-0.0068750001538500005
ACH-000207,0.029451085384800003
ACH-000211,0.023682952764
ACH-000215,-0.12818631922499998
ACH-000221,-0.0151213888981
ACH-000222,-0.126466899837
ACH-000223,-0.249726023112
ACH-000226,-0.124643330167
ACH-000227,-0.176137204449
ACH-000228,-0.133783667143
ACH-000231,-0.20637597901299998
ACH-000232,-0.149930270772
ACH-000233,-0.09438782180649999
ACH-000234,-0.125920389143
ACH-000235,-0.149063224622
ACH-000237,-0.0571549429346
ACH-000238,-0.241263006066
ACH-000243,-0.00518945240337
ACH-000244,0.253778568694
ACH-000246,0.0337688172523
ACH-000248,-0.152612773094
ACH-000250,-0.0978468363796
ACH-000251,-0.10516577520999999
ACH-000253,0.0589186626127
ACH-000255,-0.106669169439
ACH-000256,-0.131410771309
ACH-000257,0.05358400511519999
ACH-000258,0.166224625552
ACH-000259,0.00186358730484
ACH-000260,-0.110051773763
ACH-000261,-0.0644008984461
ACH-000262,0.08159078431639999
ACH-000263,-0.378268217674
ACH-000264,-0.256086193088
ACH-000265,-0.0560085241901
ACH-000266,-0.0572403754959
ACH-000272,-0.028455390154
ACH-000273,-0.0505733248692
ACH-000274,-0.163296246145
ACH-000277,-0.128552046269
ACH-000278,-0.030296002304199997
ACH-000279,-0.123799367529
ACH-000280,-0.306422500931
ACH-000281,-0.147743282142
ACH-000288,-0.312163261556
ACH-000291,-0.0680422248264
ACH-000293,-0.0666565508937
ACH-000294,-0.463761907288
ACH-000295,-0.125254918146
ACH-000296,-0.0086831742655
ACH-000302,0.12589023205
ACH-000304,-0.188307059285
ACH-000307,-0.20978873784000002
ACH-000308,-0.098249219906
ACH-000310,-0.012221373058
ACH-000311,-0.12935808258
ACH-000312,-0.0624982624981
ACH-000315,0.06719440133169999
ACH-000316,-0.421307526449
ACH-000317,-0.39783350109800003
ACH-000318,-0.115173475393
ACH-000319,-0.333159925339
ACH-000320,-0.126474640659
ACH-000322,-0.110647481264
ACH-000323,0.022530701145599998
ACH-000324,-0.048807271485099994
ACH-000329,-0.0856684147973
ACH-000330,-0.223824810359
ACH-000331,-0.0888400045246
ACH-000332,-0.23682711296199999
ACH-000334,-0.0207929688489
ACH-000335,0.33813279329499996
ACH-000336,-0.10540699245999999
ACH-000337,-0.0386957626391
ACH-000339,-0.144486435921
ACH-000341,-0.0477193275297
ACH-000348,-0.132536909725
ACH-000350,-0.111052908141
ACH-000352,-0.135030800951
ACH-000356,-0.0595720515792
ACH-000361,0.026846150792999998
ACH-000362,-0.0829689549065
ACH-000363,0.0181714206476
ACH-000364,0.0388371930627
ACH-000365,-0.155261956633
ACH-000366,-0.483269099048
ACH-000368,-0.08706799406919999
ACH-000374,-0.542918718378
ACH-000375,-0.0694636779975
ACH-000376,-0.13884075421599998
ACH-000381,-0.09085881744449999
ACH-000383,-0.0917165889545
ACH-000387,-0.10936239132200001
ACH-000389,0.08547179753550001
ACH-000390,0.11044038883099999
ACH-000393,-0.09007094327439999
ACH-000395,-0.0174505613386
ACH-000397,-0.09008546577269999
ACH-000401,0.0321028528651
ACH-000402,-0.104837517946
ACH-000403,-0.047214088946
ACH-000404,-0.00223468642877
ACH-000406,-0.0830353316217
ACH-000407,-0.45055747480400005
ACH-000408,-0.10371789389200001
ACH-000410,-0.0357076946301
ACH-000411,-0.120880427989
ACH-000414,-0.223073565821
ACH-000415,-0.156283366154
ACH-000416,-0.107674009491
ACH-000420,-0.215085458829
ACH-000421,-0.211603503649
ACH-000424,0.168265509001
ACH-000425,-0.0457559170248
ACH-000426,-0.0512951569241
ACH-000427,-0.00885509369451
ACH-000433,-0.124643369539
