,ROPN1B (152015)
ACH-000004,0.16880998385600002
ACH-000007,0.159620113099
ACH-000009,0.14546512988500002
ACH-000011,0.08012359435489999
ACH-000012,0.139576532103
ACH-000013,0.180020233592
ACH-000014,-0.05929380809780001
ACH-000015,0.134086682309
ACH-000017,-0.0322340969232
ACH-000018,0.17310053239
ACH-000019,0.0708250686939
ACH-000021,0.22540876682500002
ACH-000022,0.139911881967
ACH-000025,0.0393548950402
ACH-000028,-0.0145776737206
ACH-000030,0.127548355204
ACH-000035,0.109110140727
ACH-000036,0.057842790630700004
ACH-000037,0.154540012123
ACH-000039,0.0561433370866
ACH-000040,0.207710026107
ACH-000041,0.04396473186409999
ACH-000042,0.10449537926000001
ACH-000045,0.024224061140799998
ACH-000047,0.0636763887759
ACH-000052,0.275936374488
ACH-000053,0.11329712703099999
ACH-000054,0.0111327856115
ACH-000055,0.17871436685199998
ACH-000060,-0.026744418627900002
ACH-000067,0.034906674503
ACH-000070,0.090619318465
ACH-000075,-0.0457092913076
ACH-000078,0.10554673625600001
ACH-000082,0.19164921557599998
ACH-000085,0.142449284779
ACH-000086,0.202805905275
ACH-000087,0.16402102123600001
ACH-000092,0.110088313137
ACH-000095,0.168056657091
ACH-000097,0.14856512073699998
ACH-000098,0.195920152702
ACH-000099,0.11246360129699999
ACH-000108,0.189585875031
ACH-000113,0.0890389992229
ACH-000115,0.060734541684499994
ACH-000116,0.141558854668
ACH-000118,0.07073344372530001
ACH-000120,0.024116726567099997
ACH-000123,0.05690902267030001
ACH-000127,0.0733486660631
ACH-000128,-0.029083045061
ACH-000132,0.140808454557
ACH-000133,0.0890993034257
ACH-000137,0.0119131390769
ACH-000138,0.04297424304880001
ACH-000142,-0.0498761314319
ACH-000143,0.24690950292599997
ACH-000146,0.127860094924
ACH-000148,0.11623809697899999
ACH-000150,0.24921840240499998
ACH-000152,0.027284505447800003
ACH-000153,-0.123542955175
ACH-000159,0.076963298428
ACH-000160,0.201883596616
ACH-000163,0.07341444693239998
ACH-000167,0.09065336519060001
ACH-000168,0.376334318077
ACH-000169,0.0522426126346
ACH-000178,0.12031579650999999
ACH-000182,0.160081819057
ACH-000183,0.0661846088017
ACH-000188,0.0961988467364
ACH-000189,-0.210262296328
ACH-000190,0.277492963412
ACH-000198,0.154551508967
ACH-000204,0.048491288446199994
ACH-000206,0.108330586805
ACH-000207,0.163532631782
ACH-000211,0.0345702983359
ACH-000215,0.132644308342
ACH-000221,-0.0432622112852
ACH-000222,0.20718720367199997
ACH-000223,0.13980792578
ACH-000226,0.126757041237
ACH-000227,-0.00432130699679
