,SELO (83642)
ACH-000004,-0.07509915530960001
ACH-000007,0.0649335348129
ACH-000009,-0.117138931406
ACH-000011,0.0203141197329
ACH-000012,-0.0854325376252
ACH-000013,-0.129499643935
ACH-000014,-0.257967079283
ACH-000015,-0.0942871807436
ACH-000017,-0.0663121193032
ACH-000018,0.136098924372
ACH-000019,-0.17913333499899997
ACH-000021,-0.039053140296199995
ACH-000022,-0.135013136376
ACH-000025,-0.292668177729
ACH-000028,-0.163838663356
ACH-000030,-0.22364199290800002
ACH-000035,-0.0434681488521
ACH-000036,-0.304024150785
ACH-000037,-0.17736061045899998
ACH-000039,-0.146439983246
ACH-000040,-0.10028870200500001
ACH-000041,-0.104428640009
ACH-000042,-0.0448562174579
ACH-000045,-0.050035087827399995
ACH-000047,0.0215074136031
ACH-000052,-0.103065656302
ACH-000053,-0.151148056633
ACH-000054,-0.0407969957021
ACH-000055,-0.156510384126
ACH-000060,-0.162699218335
ACH-000067,-0.181039192277
ACH-000070,0.122955453694
ACH-000075,0.191566797225
ACH-000078,-0.333560596729
ACH-000082,-0.123192847226
ACH-000085,0.160946773643
ACH-000086,-0.0194326471509
ACH-000087,0.0370692752236
ACH-000092,-0.125013044304
ACH-000095,-0.11978301858899999
ACH-000097,-0.163799340415
ACH-000098,0.004907869640399999
ACH-000099,-0.438246890698
ACH-000108,-0.0268751262762
ACH-000113,-0.10863386896600001
ACH-000115,-0.168758160543
ACH-000116,-0.093570815631
ACH-000118,-0.0349564399263
ACH-000120,-0.169153209957
ACH-000123,-0.161590750591
ACH-000127,-0.052919151546400006
ACH-000128,-0.123512228075
ACH-000132,-0.0281349985382
ACH-000133,-0.199770865253
ACH-000137,-0.0701802399507
ACH-000138,0.0851848874078
ACH-000142,-0.006401350084310001
ACH-000143,-0.29267895497499996
ACH-000146,-0.170563524899
ACH-000148,0.00216827707819
ACH-000150,-0.0222953814065
ACH-000152,-0.0837933703729
ACH-000153,0.00676107356092
ACH-000159,0.12619482793700001
ACH-000160,-0.026073481079099996
ACH-000163,-0.10757027355799999
ACH-000167,-0.26584120105500003
ACH-000168,-0.04032272259669999
ACH-000169,-0.37535002813699997
