,MALSU1 (115416)
ACH-000004,-0.16795994768300002
ACH-000007,-0.63103390131
ACH-000009,-0.190915827634
ACH-000011,0.051308978316900004
ACH-000012,-0.299367635698
ACH-000013,-0.377778359785
ACH-000014,-0.33868304437799995
ACH-000015,-0.647144040391
ACH-000017,-0.152220951577
ACH-000018,-0.121465943926
ACH-000019,-0.7525865887559999
ACH-000021,-0.220662246893
ACH-000022,-0.362829483228
ACH-000025,-0.41830041338299995
ACH-000028,-0.6431725827979999
ACH-000030,-0.06406619318819999
ACH-000035,-0.26737291482299996
ACH-000036,-0.07124364198460001
ACH-000037,-0.477520927868
ACH-000039,-0.329975035722
ACH-000040,-0.100679215354
ACH-000041,-0.18252745844700002
ACH-000042,-0.206462076852
ACH-000045,-0.142881363365
ACH-000047,-0.259339201858
ACH-000052,-0.10446984425599999
ACH-000053,-0.217758093028
ACH-000054,-0.368326494331
ACH-000055,-0.0587612785286
ACH-000060,-0.24462019472600002
ACH-000067,-0.26041885432100004
ACH-000070,-0.208289690387
ACH-000075,-0.0422359051621
ACH-000078,-0.0837730674852
ACH-000082,-0.366840075199
ACH-000085,-0.37787331814
ACH-000086,-0.318776999831
ACH-000087,-0.232443979247
ACH-000092,-0.225351926675
ACH-000095,-0.142710321515
ACH-000097,-0.0154309099104
ACH-000098,-0.294249944978
ACH-000099,-0.231653479012
ACH-000108,-0.0796139354653
ACH-000113,-0.522493715306
ACH-000115,-0.354101468179
ACH-000116,-0.400917829707
ACH-000118,-0.5682267858300001
ACH-000120,-0.0706318419107
ACH-000123,-0.291123780096
ACH-000127,-0.37447511304700004
ACH-000128,-0.6774863979369999
ACH-000132,-0.269594027804
ACH-000133,-0.208840971668
ACH-000137,-0.269188113241
ACH-000138,-0.276512900041
ACH-000142,-0.170086764988
ACH-000143,-0.24915673774799998
ACH-000146,-0.101805377685
ACH-000148,-0.467590477923
ACH-000150,-0.495996630126
ACH-000152,-0.314910209454
ACH-000153,-0.49323989026299997
ACH-000159,-0.325786085242
ACH-000160,-0.7655299313449999
ACH-000163,-0.0680809778267
ACH-000167,0.0369584608107
ACH-000168,0.0929615905085
ACH-000169,-0.34065902939099996
ACH-000178,-0.318721648668
ACH-000182,-0.840916680824
ACH-000183,-0.185793112087
ACH-000188,-0.312172631565
ACH-000189,-0.16929964284000001
ACH-000190,-0.8697761907279999
ACH-000198,-0.290269229109
ACH-000204,-0.464269059512
ACH-000206,-1.01627478126
ACH-000207,-0.48281477895
ACH-000211,-0.310557258331
ACH-000215,-0.232671681837
ACH-000221,-0.461215574317
ACH-000222,-0.0303657009538
ACH-000223,-0.371798428754
ACH-000226,-0.31588489213599996
ACH-000227,-0.323772691
ACH-000228,-0.222734375449
ACH-000231,-0.209683163195
ACH-000232,-0.277864025589
ACH-000233,-0.41695354506300003
ACH-000234,-0.20616284854800002
ACH-000235,-0.117970848634
ACH-000237,-0.06967687743510001
ACH-000238,-0.27774964786600004
ACH-000243,-0.09882554731460001
ACH-000244,-0.388287323337
ACH-000246,-0.449725683264
ACH-000248,-0.274264095636
ACH-000250,-0.110128047493
ACH-000251,-0.32837089845199996
ACH-000253,-0.25226266697099997
ACH-000255,-0.44420545908299996
ACH-000256,-0.285196062898
ACH-000257,-0.515858589433
ACH-000258,-0.173650411914
ACH-000259,-0.429877396085
ACH-000260,-0.180382168155
ACH-000261,0.0746078274579
ACH-000262,-0.259615202521
ACH-000263,-0.25699273373000003
ACH-000264,-0.34917685249200003
ACH-000265,-0.40837342438
ACH-000266,-0.28736738051800004
ACH-000272,-0.256567476927
ACH-000273,-0.17121156715500002
ACH-000274,-0.27989173004900003
ACH-000277,-0.520079007667
ACH-000278,-0.284558532117
ACH-000279,-0.348431875115
ACH-000280,-0.09106665770919999
ACH-000281,-0.11420336273
ACH-000288,-0.324628893776
ACH-000291,-0.376554617976
ACH-000293,-0.344697549308
ACH-000294,0.0503306456794
ACH-000295,-0.0413849558336
ACH-000296,-0.207341169489
ACH-000302,-0.409992478821
ACH-000304,-0.526944352566
ACH-000307,-0.23027965949499998
ACH-000308,-0.334208376312
ACH-000310,0.127504054729
ACH-000311,-0.304545113371
ACH-000312,-0.20787469866
ACH-000315,-0.32337680386100004
ACH-000316,-0.122925726853
ACH-000317,-0.22864727593000003
ACH-000318,-0.272125383502
ACH-000319,-0.290532208427
ACH-000320,-0.226812505772
ACH-000322,-0.357973506681
ACH-000323,-0.300578056258
ACH-000324,0.032615264676000004
ACH-000329,-0.38569792393
ACH-000330,-0.203412506233
ACH-000331,-0.357870664457
ACH-000332,-0.058901769046
ACH-000334,-0.18469196161200002
ACH-000335,-0.5335855017310001
ACH-000336,-0.515425617024
ACH-000337,-0.48326157830099997
ACH-000339,-0.205197513938
ACH-000341,-0.241075991457
ACH-000348,-0.344379640586
ACH-000350,-0.271266484054
ACH-000352,-0.23518068030099998
ACH-000356,-0.532567454208
ACH-000361,-0.0381052905999
ACH-000362,-0.130055088734
ACH-000363,-0.275068553033
ACH-000364,-0.558515288942
ACH-000365,-0.325833779414
ACH-000366,-0.169565432852
ACH-000368,-0.125344236839
ACH-000374,-0.456902134097
ACH-000375,-0.14114766442399998
ACH-000376,-0.5061034985849999
ACH-000381,-0.158040864946
ACH-000383,-0.37762599015
ACH-000387,-0.36600174315399997
ACH-000389,0.035322704589699994
ACH-000390,-0.226737611788
ACH-000393,-0.140389195212
ACH-000395,-0.147719874311
ACH-000397,-0.06544426286619999
ACH-000401,-0.35039008458099996
ACH-000402,-0.436072719218
ACH-000403,-0.280172806298
ACH-000404,-0.345225452745
ACH-000406,-0.5541743664459999
ACH-000407,-0.35268826013899995
ACH-000408,-0.607954704891
ACH-000410,-0.38142392393799995
ACH-000411,-0.254768964686
ACH-000414,-0.43204277031800004
ACH-000415,-0.48692154503999996
ACH-000416,-0.323213628717
ACH-000420,-0.366334460445
ACH-000421,-0.17880229102899997
ACH-000424,-0.5022975068509999
ACH-000425,-0.203748442971
ACH-000426,-0.260645784562
ACH-000427,-0.37812865443899996
ACH-000433,0.015210605294500001
ACH-000436,0.007636754864819999
ACH-000444,-0.38890299466300005
ACH-000445,-0.37665143025200004
ACH-000448,-0.25160706672
ACH-000450,-0.688333398945
ACH-000452,-0.390011186152
ACH-000454,-0.657324121601
ACH-000458,-0.63328570342
ACH-000459,-1.00744749935
ACH-000460,-0.071471104463
ACH-000461,-0.424887115397
ACH-000463,-0.133243083416
ACH-000464,-0.280985103535
ACH-000466,-0.22573146161
