,MLH1 (4292)
ACH-000004,0.010386793023100001
ACH-000007,-0.256892753207
ACH-000009,-0.348560138254
ACH-000011,-0.130005682674
ACH-000012,-0.306773614573
ACH-000013,-0.109999194993
ACH-000014,-0.244184008847
ACH-000015,-0.279180419374
ACH-000017,0.004972785058350001
ACH-000018,-0.05641199905949999
ACH-000019,-0.048830086049499996
ACH-000021,-0.151363498581
ACH-000022,-0.0475691145651
ACH-000025,-0.04505823258640001
ACH-000028,-0.143782575875
ACH-000030,-0.22759647935
ACH-000035,-0.112288807604
ACH-000036,-0.20987354759
ACH-000037,-0.09636164133919999
ACH-000039,-0.0913393982167
ACH-000040,-0.278352144857
ACH-000041,-0.13092180044600002
ACH-000042,-0.35592800490800003
ACH-000045,-0.19857279671
ACH-000047,-0.20485203258600002
ACH-000052,-0.329145437432
ACH-000053,-0.09615162557710001
ACH-000054,-0.354745134682
ACH-000055,-0.32247307376400003
ACH-000060,-0.19041579996
ACH-000067,-0.219115305832
ACH-000070,-0.10702394394999999
ACH-000075,-0.04576188013330001
ACH-000078,-0.192601384366
ACH-000082,-0.151742069196
ACH-000085,-0.42192442933300006
ACH-000086,-0.33846478841399996
ACH-000087,-0.408835705249
ACH-000092,-0.266552615997
ACH-000095,-0.07987096906510001
ACH-000097,-0.297930542727
ACH-000098,-0.37664240990500003
ACH-000099,-0.141042880057
ACH-000108,-0.202953423265
ACH-000113,-0.10611182794299999
ACH-000115,-0.137831406449
ACH-000116,-0.102465231037
ACH-000118,-0.158826987525
ACH-000120,-0.0868268142662
ACH-000123,-0.320912639385
ACH-000127,-0.184172374931
ACH-000128,-0.042781460024399996
ACH-000132,-0.150828751387
ACH-000133,-0.149216885696
ACH-000137,-0.29934938095400004
ACH-000138,-0.263034456614
ACH-000142,-0.304437019544
ACH-000143,-0.203840448478
ACH-000146,-0.244299770977
ACH-000148,-0.20114093939
ACH-000150,-0.193607747509
ACH-000152,-0.309008009972
ACH-000153,-0.189080643202
ACH-000159,-0.429173576096
ACH-000160,-0.282456036033
ACH-000163,-0.266618728039
ACH-000167,-0.130490199385
ACH-000168,-0.14877744420800001
ACH-000169,-0.406449575932
ACH-000178,-0.121779615635
