,MYO6 (4646)
ACH-000004,0.129780870795
ACH-000007,-0.166462394362
ACH-000009,-0.037016592535399996
ACH-000011,-0.055611359790199995
ACH-000012,-0.23653245400800002
ACH-000013,-0.07522139883870001
ACH-000014,-0.0375231719953
ACH-000015,0.138611804212
ACH-000017,-0.073256184303
ACH-000018,-0.147631407598
ACH-000019,-0.241332691314
ACH-000021,-0.363971190371
ACH-000022,0.148693578771
ACH-000025,-0.336724811522
ACH-000028,-0.149893960879
ACH-000030,-0.0943172913526
ACH-000035,-0.016938873457
ACH-000036,-0.233240637418
ACH-000037,-0.0025317526004399998
ACH-000039,-0.327451217041
ACH-000040,-0.014685606843299998
ACH-000041,0.14244987268200002
ACH-000042,-0.0956185490483
ACH-000045,-0.0581952405509
ACH-000047,-0.0347141579171
ACH-000052,-0.25206781680199997
ACH-000053,-0.190707843283
ACH-000054,0.00317404580657
ACH-000055,-0.127301075132
ACH-000060,-0.08584662850510001
ACH-000067,0.119567898796
ACH-000070,0.043644394615000005
ACH-000075,-0.14364481100999998
ACH-000078,-0.0457095223058
ACH-000082,-0.16900951930799998
ACH-000085,-0.042790861464099994
ACH-000086,-0.126822478657
ACH-000087,-0.0136942289094
ACH-000092,-0.213091709342
ACH-000095,-0.189289075661
ACH-000097,0.038972270673099996
ACH-000098,-0.129174379869
ACH-000099,-0.0790724802533
ACH-000108,-0.00192010498117
ACH-000113,-0.289714166268
ACH-000115,0.0316854928211
ACH-000116,0.0564266154421
ACH-000118,-0.12927859070599998
ACH-000120,0.00580810630185
ACH-000123,-0.134783287669
ACH-000127,0.0166164158476
ACH-000128,-0.106629244347
ACH-000132,-0.16780639031
ACH-000133,-0.132291919348
ACH-000137,-0.12078564705499999
ACH-000138,-0.24358681511799998
ACH-000142,-0.06279629463639999
ACH-000143,0.0253435703241
ACH-000146,-0.258160110668
ACH-000148,-0.17201494969
ACH-000150,0.00119503716536
ACH-000152,-0.15154611888800001
ACH-000153,0.14457261093499998
ACH-000159,0.19387801432000001
ACH-000160,-0.151329251778
ACH-000163,0.0177931656088
ACH-000167,-0.0239639757939
ACH-000168,-0.114487779331
ACH-000169,0.12492236551899999
ACH-000178,0.08689365862230002
ACH-000182,-0.041026418072099995
ACH-000183,0.0111136573015
ACH-000188,-0.0257784373852
ACH-000189,0.0401030288277
ACH-000190,-0.24643975466999996
ACH-000198,-0.115273675556
ACH-000204,0.32941073789700004
ACH-000206,-0.11157488480799999
ACH-000207,-0.0200702913662
ACH-000211,-0.110872825451
ACH-000215,-0.0477234831829
ACH-000221,-0.169979485174
ACH-000222,0.012853107076099999
