,AKIRIN2 (55122)
ACH-000004,-0.358267726892
ACH-000007,-0.990715440105
ACH-000009,-0.7845359409899999
ACH-000011,-1.1378619127299998
ACH-000012,-0.928395436898
ACH-000013,-0.880998196023
ACH-000014,-1.15133274019
ACH-000015,-0.737926711424
ACH-000017,-0.7832455193000001
ACH-000018,-1.17517021574
ACH-000019,-1.10793388146
ACH-000021,-0.7181980280079999
ACH-000022,-0.828884910095
ACH-000025,-0.942431062803
ACH-000028,-0.841141422935
ACH-000030,-0.872577641036
ACH-000035,-0.744028667703
ACH-000036,-0.9904500662960001
ACH-000037,-0.677890203082
ACH-000039,-0.516806844601
ACH-000040,-0.985045403476
ACH-000041,-0.667483281523
ACH-000042,-0.8744693493019999
ACH-000045,-0.938406663004
ACH-000047,-0.9938913647229999
ACH-000052,-1.0796888694
ACH-000053,-1.00181943154
ACH-000054,-0.717901281189
ACH-000055,-0.688982654741
ACH-000060,-1.20281092453
ACH-000067,-0.86895739873
ACH-000070,-1.2124912374799999
ACH-000075,-1.01740065888
ACH-000078,-0.751517155204
ACH-000082,-1.16806510612
ACH-000085,-1.1255025468100002
ACH-000086,-0.8657398576180001
ACH-000087,-0.812881262041
ACH-000092,-0.73464864036
ACH-000095,-0.8732336495440001
ACH-000097,-1.08295755417
ACH-000098,-0.709058878388
ACH-000099,-0.687480556866
ACH-000108,-0.767949056189
ACH-000113,-1.05494228534
ACH-000115,-1.26636212624
ACH-000116,-0.90657751287
ACH-000118,-1.07188583029
ACH-000120,-0.939173701953
ACH-000123,-0.935954692898
ACH-000127,-0.8577890891850001
ACH-000128,-0.775695543042
ACH-000132,-1.0387617764200001
ACH-000133,-1.21859150037
ACH-000137,-1.18976361356
ACH-000138,-0.868820594709
ACH-000142,-0.682077527208
ACH-000143,-1.18026386514
ACH-000146,-0.832336016642
ACH-000148,-0.832025458733
ACH-000150,-0.775616569583
ACH-000152,-0.9355350248559999
ACH-000153,-1.02749894464
ACH-000159,-0.940991994611
ACH-000160,-0.611678603154
ACH-000163,-0.9651096838609999
ACH-000167,-0.604069816016
ACH-000168,-0.898189450701
ACH-000169,-1.19621249102
ACH-000178,-0.901196452677
ACH-000182,-0.964132734196
ACH-000183,-1.45117948555
ACH-000188,-0.735121610892
ACH-000189,-1.4036721923299997
ACH-000190,-0.652658624507
ACH-000198,-1.08359247972
ACH-000204,-1.5609411083899998
ACH-000206,-0.80481096249
ACH-000207,-1.2196231262000001
ACH-000211,-0.985465309094
ACH-000215,-0.8881639909919999
ACH-000221,-0.7214092693440001
ACH-000222,-0.753864799806
ACH-000223,-1.17731431961
ACH-000226,-0.844702089935
ACH-000227,-1.36537656187
ACH-000228,-0.864290507206
ACH-000231,-0.793592323033
ACH-000232,-1.0
ACH-000233,-1.07137866817
ACH-000234,-0.775159975165
ACH-000235,-0.858308595917
ACH-000237,-0.808232462577
ACH-000238,-0.695251920802
ACH-000243,-0.7787540197310001
ACH-000244,-1.2689928559499999
ACH-000246,-1.12526186384
ACH-000248,-0.8208413890940001
ACH-000250,-0.9060324088889999
ACH-000251,-0.907853930976
ACH-000253,-1.2469206519
ACH-000255,-0.96004009388
ACH-000256,-0.729928423417
ACH-000257,-0.884384414852
ACH-000258,-1.13812296675
ACH-000259,-0.960012487447
ACH-000260,-0.9849692252860001
ACH-000261,-0.896937219789
ACH-000262,-1.1531458575700002
ACH-000263,-0.543707795447
ACH-000264,-1.1082173906000001
ACH-000265,-0.639565168259
ACH-000266,-0.8729053993449999
ACH-000272,-0.9783145724860001
ACH-000273,-0.518655805776
ACH-000274,-1.22506023555
ACH-000277,-1.03684716705
ACH-000278,-1.12255485988
ACH-000279,-0.826584700073
ACH-000280,-0.93220440755
ACH-000281,-0.797566099273
ACH-000288,-0.772111503433
ACH-000291,-0.827918205106
ACH-000293,-0.8785898327670001
ACH-000294,-0.816088020474
ACH-000295,-0.842476247967
ACH-000296,-0.942808565571
ACH-000302,-0.8212390138869999
ACH-000304,-0.931359692231
ACH-000307,-1.10689559677
ACH-000308,-0.8028572450929999
ACH-000310,-0.895390543851
ACH-000311,-0.841612507814
ACH-000312,-0.686440753326
ACH-000315,-1.07481861997
ACH-000316,-0.723729734096
ACH-000317,-1.18853599129
ACH-000318,-1.07367874984
ACH-000319,-0.808137707114
ACH-000320,-0.5730851180709999
ACH-000322,-0.750022971825
ACH-000323,-0.6926171378129999
ACH-000324,-0.734386416232
ACH-000329,-0.823786287885
ACH-000330,-0.799558290257
ACH-000331,-0.9830773006389999
ACH-000332,-0.8053116881360001
ACH-000334,-1.1016873570999999
ACH-000335,-1.0731354197799998
ACH-000336,-1.33780793189
ACH-000337,-0.590012628732
