,LTA (4049)
ACH-000004,-0.224426349344
ACH-000007,-0.332222882065
ACH-000009,-0.187246905603
ACH-000011,-0.044091043865400005
ACH-000012,-0.293012260184
ACH-000013,-0.260067701162
ACH-000014,-0.33507137316700003
ACH-000015,-0.17206594292999997
ACH-000017,-0.23479548001400002
ACH-000018,-0.17725683999000003
ACH-000019,-0.0789789354815
ACH-000021,-0.132729600154
ACH-000022,-0.254339858634
ACH-000025,-0.234527549964
ACH-000028,-0.135524153393
ACH-000030,-0.189416966693
ACH-000035,-0.241953298485
ACH-000036,-0.108858332754
ACH-000037,-0.110447422741
ACH-000039,-0.117124673305
ACH-000040,-0.327525117486
ACH-000041,-0.07589181239189999
ACH-000042,-0.236044016761
ACH-000045,-0.244302767025
ACH-000047,-0.0867847477219
ACH-000052,-0.00299083527802
ACH-000053,-0.23233711295
ACH-000054,-0.0893592907594
ACH-000055,-0.351393790379
ACH-000060,-0.289831272574
ACH-000067,-0.21173922965599998
ACH-000070,0.09208749338839999
ACH-000075,-0.0796595342978
ACH-000078,-0.09164823331180001
ACH-000082,-0.149369717036
ACH-000085,-0.257450141763
ACH-000086,-0.11772508825
ACH-000087,-0.24071279288199998
ACH-000092,-0.180694725013
ACH-000095,-0.17951099344500002
ACH-000097,-0.09957537520289998
ACH-000098,-0.006303833343819999
ACH-000099,0.027263035602000003
ACH-000108,-0.255166693628
ACH-000113,-0.0795520936893
ACH-000115,-0.24829912398
ACH-000116,-0.159843629072
ACH-000118,-0.06568214182939999
ACH-000120,-0.157820322308
ACH-000123,-0.310523668991
ACH-000127,-0.0907821351942
ACH-000128,-0.20459078475499998
ACH-000132,-0.125664267921
ACH-000133,-0.141445341018
ACH-000137,-0.157463018709
ACH-000138,-0.190969432124
ACH-000142,-0.322662808013
ACH-000143,-0.0282798531048
ACH-000146,-0.273308165916
ACH-000148,-0.026171560297500004
ACH-000150,0.061777977278399995
ACH-000152,-0.291232050005
ACH-000153,-0.472723838377
ACH-000159,-0.0984609364592
ACH-000160,-0.111335853655
ACH-000163,-0.152043928707
ACH-000167,-0.41201635421599997
ACH-000168,-0.0919143763088
ACH-000169,-0.0827258832453
ACH-000178,-0.131870518637
ACH-000182,-0.23613678249000003
ACH-000183,-0.160041918349
ACH-000188,-0.104550442986
ACH-000189,0.190107827888
ACH-000190,-0.16514407498
ACH-000198,-0.17139211886300001
ACH-000204,-0.41109082597900004
ACH-000206,-0.6719635586220001
ACH-000207,-0.596494003231
ACH-000211,-0.18901244169
ACH-000215,-0.17029715670099999
ACH-000221,-0.120738168181
ACH-000222,-0.257930328054
ACH-000223,-0.20199005905099998
ACH-000226,-0.314524350281
ACH-000227,-0.156119311703
ACH-000228,-0.349292712645
ACH-000231,-0.244412790091
ACH-000232,0.0463138133475
ACH-000233,-0.15025209297
ACH-000234,0.018128449047400002
ACH-000235,-0.158347648107
ACH-000237,-0.21422796156399998
ACH-000238,-0.23959438438
ACH-000243,-0.143813189825
ACH-000244,-0.118079802625
ACH-000246,-0.176308763402
ACH-000248,-0.35597006691
ACH-000250,-0.24327917642400002
ACH-000251,-0.07529654892080001
ACH-000253,-0.277999623392
ACH-000255,-0.17394792025699998
ACH-000256,-0.34184399002800003
ACH-000257,-0.07048547596860001
ACH-000258,-0.020200008849400004
ACH-000259,-0.0869158935095
ACH-000260,-0.123501957602
ACH-000261,-0.14294018647600001
ACH-000262,-0.164676595625
ACH-000263,-0.059626281261300006
ACH-000264,-0.289105611059
ACH-000265,-0.109017192608
ACH-000266,-0.21417149459600002
ACH-000272,-0.104223543153
ACH-000273,-0.287517906789
ACH-000274,-0.20946389555999997
ACH-000277,-0.46474869608400005
ACH-000278,-0.185353577911
ACH-000279,-0.1245612134
ACH-000280,-0.217448550357
ACH-000281,-0.23525924765
ACH-000288,-0.114733335416
ACH-000291,-0.301923902536
ACH-000293,-0.0327105078078
ACH-000294,-0.0848940303894
ACH-000295,-0.316991459952
ACH-000296,-0.10948848181500001
ACH-000302,-0.0493707011383
ACH-000304,-0.0655235166537
ACH-000307,-0.39436031350999995
ACH-000308,-0.100564891359
ACH-000310,-0.0769584420558
ACH-000311,-0.126257627905
ACH-000312,-0.289566009951
ACH-000315,0.0811492513098
ACH-000316,0.036958908439599994
