,TSSK3 (81629)
ACH-000004,-0.275338301701
ACH-000007,-0.507542919613
ACH-000009,-0.35647309626400003
ACH-000011,-0.372291311801
ACH-000012,-0.425231619872
ACH-000013,-0.638910157746
ACH-000014,-0.41366448321599997
ACH-000015,-0.427477281307
ACH-000017,-0.220888607352
ACH-000018,-0.31824887379
ACH-000019,-0.547147688868
ACH-000021,-0.511172198285
ACH-000022,-0.332874311706
ACH-000025,-0.39087703591300005
ACH-000028,-0.37808256737499996
ACH-000030,-0.319472938767
ACH-000035,-0.461379008297
ACH-000036,-0.311965595654
ACH-000037,-0.315315391198
ACH-000039,-0.395593124463
ACH-000040,-0.498572392809
ACH-000041,-0.419492085943
ACH-000042,-0.359871484023
ACH-000045,-0.28945169592500003
ACH-000047,-0.431913075597
ACH-000052,-0.47571566429799994
ACH-000053,-0.338759315146
ACH-000054,-0.23314577124000002
ACH-000055,-0.306181918457
ACH-000060,-0.32235332053800003
ACH-000067,-0.497737506572
ACH-000070,-0.44199457457099994
ACH-000075,-0.408025610006
ACH-000078,-0.429501078759
ACH-000082,-0.364464095352
ACH-000085,-0.538293701124
ACH-000086,-0.49748275737899994
ACH-000087,-0.48084208983800003
ACH-000092,-0.6019713054079999
ACH-000095,-0.32279639732099996
ACH-000097,-0.324008289203
ACH-000098,-0.621893435611
ACH-000099,-0.419811619815
ACH-000108,-0.6187621688430001
ACH-000113,-0.31637338019
ACH-000115,-0.552121137555
ACH-000116,-0.432979037152
ACH-000118,-0.407484693977
ACH-000120,-0.376062377681
ACH-000123,-0.406267588405
ACH-000127,-0.33990436203
ACH-000128,-0.45237488344899995
ACH-000132,-0.43216483702200004
ACH-000133,-0.5737140598789999
ACH-000137,-0.531234073969
ACH-000138,-0.37051522443499996
ACH-000142,-0.40173837082900005
ACH-000143,-0.446959773569
ACH-000146,-0.28370857236499997
ACH-000148,-0.42704787233499997
ACH-000150,-0.575719901128
ACH-000152,-0.5307624782379999
ACH-000153,-0.427610442466
ACH-000159,-0.458571222016
ACH-000160,-0.424424315635
ACH-000163,-0.086327652337
ACH-000167,-0.608808829111
ACH-000168,-0.311181610349
ACH-000169,-0.426081700825
ACH-000178,-0.38468255505300003
ACH-000182,-0.29280225233199997
ACH-000183,-0.406884803521
ACH-000188,-0.539052137684
ACH-000189,-0.137541475862
ACH-000190,-0.6905765296649999
ACH-000198,-0.361122042358
ACH-000204,-0.265846901985
ACH-000206,-0.18921896761100002
ACH-000207,-0.40300105146799997
ACH-000211,-0.354634805153
ACH-000215,-0.567021282325
ACH-000221,-0.321261275081
ACH-000222,-0.503135744266
ACH-000223,-0.332571667987
ACH-000226,-0.242020598951
ACH-000227,-0.311826002681
ACH-000228,-0.398887039864
ACH-000231,-0.41803910113399995
ACH-000232,-0.40740052185900005
ACH-000233,-0.343559017196
ACH-000234,-0.5063510419080001
ACH-000235,-0.423142926664
ACH-000237,-0.461938609996
ACH-000238,-0.476061450591
ACH-000243,-0.423684290881
ACH-000244,-0.630500182309
ACH-000246,-0.505706304401
ACH-000248,-0.450446518644
ACH-000250,-0.354365362078
ACH-000251,-0.41030997498599997
ACH-000253,-0.333811373298
ACH-000255,-0.37877051154299995
ACH-000256,-0.467607318045
ACH-000257,-0.512004670751
ACH-000258,-0.5825211452310001
ACH-000259,-0.37567636777900004
ACH-000260,-0.422930957663
ACH-000261,-0.24678005628000002
ACH-000262,-0.453497461436
ACH-000263,-0.475624718571
ACH-000264,-0.386252875038
ACH-000265,-0.432980925111
ACH-000266,-0.29437479657
ACH-000272,-0.32784363057300003
ACH-000273,-0.38826085107
ACH-000274,-0.527110449193
