,GPS1 (2873)
ACH-000004,-1.44856859847
ACH-000007,-1.40657757845
ACH-000009,-0.920153447483
ACH-000011,-1.26899158413
ACH-000012,-1.11201792626
ACH-000013,-1.14288013494
ACH-000014,-0.804877552976
ACH-000015,-1.1114516864
ACH-000017,-1.57063392908
ACH-000018,-0.935902460756
ACH-000019,-1.2028859260200002
ACH-000021,-1.15827180162
ACH-000022,-1.31156416835
ACH-000025,-1.0129265490700001
ACH-000028,-1.1841538802200002
ACH-000030,-0.976256613288
ACH-000035,-1.18068836459
ACH-000036,-1.15406120615
ACH-000037,-1.52445763905
ACH-000039,-1.10895069515
ACH-000040,-1.0498680845200001
ACH-000041,-1.4008522659600002
ACH-000042,-1.0232139698
ACH-000045,-1.2109969298
ACH-000047,-0.922563561287
ACH-000052,-1.2717406821500001
ACH-000053,-1.15950110647
ACH-000054,-1.0427312822700001
ACH-000055,-1.04856013869
ACH-000060,-1.13672126963
ACH-000067,-0.9945209848280001
ACH-000070,-1.19308073338
ACH-000075,-1.29012096345
ACH-000078,-1.01033397635
ACH-000082,-1.0955525495799998
ACH-000085,-1.04691499012
ACH-000086,-0.990373441822
ACH-000087,-1.15307680695
ACH-000092,-1.30328869746
ACH-000095,-0.8648437240200001
ACH-000097,-1.03181433149
ACH-000098,-0.8921232070039999
ACH-000099,-0.8295788648469999
ACH-000108,-1.28244924366
ACH-000113,-0.939357406541
ACH-000115,-1.73142421068
ACH-000116,-1.29318762633
ACH-000118,-1.21957260283
ACH-000120,-0.758956278813
ACH-000123,-0.875010110114
ACH-000127,-1.24968755825
ACH-000128,-1.1726102680600001
ACH-000132,-1.1867681697
ACH-000133,-1.14175127698
ACH-000137,-1.19294117828
ACH-000138,-0.9794794008519999
ACH-000142,-1.2788852018999999
ACH-000143,-1.22963408787
ACH-000146,-1.1505546266700002
ACH-000148,-0.887435795297
ACH-000150,-1.12510313375
ACH-000152,-1.3253378784299998
ACH-000153,-0.8298989180609999
ACH-000159,-1.18631342551
ACH-000160,-1.18854872503
ACH-000163,-1.40844206226
ACH-000167,-1.26552401731
ACH-000168,-0.7741088955959999
ACH-000169,-1.16003026244
ACH-000178,-1.1972326579700001
ACH-000182,-0.708007351461
ACH-000183,-0.971147596234
ACH-000188,-1.29085963288
ACH-000189,-1.20167658788
ACH-000190,-1.09178224564
ACH-000198,-0.985858293702
ACH-000204,-1.29828470666
ACH-000206,-1.13467862584
ACH-000207,-0.45382938384099997
ACH-000211,-1.15035134716
ACH-000215,-0.984246334692
ACH-000221,-1.28002327602
ACH-000222,-1.20335381985
ACH-000223,-1.05478725939
ACH-000226,-1.10444435481
ACH-000227,-0.46172522031900004
ACH-000228,-1.03604063223
ACH-000231,-1.20086095464
ACH-000232,-1.02531969335
ACH-000233,-1.03603527213
ACH-000234,-1.22792030108
ACH-000235,-1.1175330601200002
ACH-000237,-1.1318162840500001
ACH-000238,-1.05712267631
ACH-000243,-1.24285705736
ACH-000244,-1.00010643838
ACH-000246,-0.992171704023
ACH-000248,-1.5666225625999999
ACH-000250,-1.33421052154
ACH-000251,-1.11535974854
ACH-000253,-0.9752348879520001
ACH-000255,-1.15612282249
ACH-000256,-1.10505771898
ACH-000257,-0.726136225008
ACH-000258,-1.7822911670400003
ACH-000259,-1.12035841004
ACH-000260,-1.15767844155
ACH-000261,-1.21339625606
ACH-000262,-0.8422910180259999
ACH-000263,-1.08183988006
ACH-000264,-1.33958415125
ACH-000265,-1.0918384518200002
ACH-000266,-1.28662381683
ACH-000272,-0.90673131745
ACH-000273,-0.9643027136769999
ACH-000274,-1.21874131345
ACH-000277,-1.19579358994
ACH-000278,-1.20697159891
ACH-000279,-1.09123680181
ACH-000280,-1.08813904691
ACH-000281,-1.33811742334
ACH-000288,-1.3062289199500001
ACH-000291,-1.11302282313
ACH-000293,-1.52885616444
ACH-000294,-0.888938902982
ACH-000295,-1.12939240804
ACH-000296,-0.962446397997
ACH-000302,-1.1320535889499999
ACH-000304,-1.37005843738
ACH-000307,-1.2423585019
ACH-000308,-1.3633035768700001
ACH-000310,-0.717389294692
ACH-000311,-1.15955027457
ACH-000312,-1.22188200423
ACH-000315,-0.9978462325399999
ACH-000316,-1.1592945952
ACH-000317,-0.996412670018
ACH-000318,-0.8235298045909999
ACH-000319,-1.2258197646
ACH-000320,-1.1396586439799998
ACH-000322,-1.0959897575700002
ACH-000323,-1.33378683323
ACH-000324,-0.9868718897040001
ACH-000329,-1.0113296808499999
ACH-000330,-1.37802907291
ACH-000331,-1.0847201948799998
ACH-000332,-1.05152872817
ACH-000334,-0.8843107262700001
ACH-000335,-0.872737053591
ACH-000336,-1.2070389556799999
ACH-000337,-1.0611322977200002
ACH-000339,-1.3465923634
ACH-000341,-1.2812502562
ACH-000348,-1.30415725093
ACH-000350,-1.32408366629
ACH-000352,-1.18863111866
ACH-000356,-1.18565631493
ACH-000361,-0.7823033648219999
ACH-000362,-0.920213587622
ACH-000363,-1.0299916477600002
ACH-000364,-1.15561802703
ACH-000365,-1.05227818782
ACH-000366,-0.9629124016680001
ACH-000368,-0.985312291077
ACH-000374,-0.9951965302240001
ACH-000375,-1.16756509604
ACH-000376,-0.925167397624
ACH-000381,-1.03565754066
ACH-000383,-1.18971102586
ACH-000387,-1.2674692074
ACH-000389,-1.51643901674
ACH-000390,-1.33434277512
ACH-000393,-0.8313125835490001
ACH-000395,-1.1039311540299999
ACH-000397,-1.30586801669
ACH-000401,-1.15145367328
ACH-000402,-1.2868319206999999
ACH-000403,-0.8801664359579999
ACH-000404,-0.7685612470659999
ACH-000406,-1.31497119896
ACH-000407,-0.812499230272
ACH-000408,-1.04906944105
ACH-000410,-0.907491536583
ACH-000411,-1.27579938347
ACH-000414,-1.13039273739
ACH-000415,-1.3789754053999999
ACH-000416,-1.0735435560200002
ACH-000420,-1.0515807205299998
ACH-000421,-1.12491262278
ACH-000424,-1.1521727100799999
ACH-000425,-0.9121176598180001
ACH-000426,-1.76806600999
