,FTMT (94033)
ACH-000004,-0.196879639
ACH-000007,-0.490524557742
ACH-000009,-0.232695776716
ACH-000011,-0.183930712423
ACH-000012,-0.1584547747
ACH-000013,-0.0826571278272
ACH-000014,-0.196029988467
ACH-000015,-0.24004730719099998
ACH-000017,-0.36439128974699997
ACH-000018,-0.217576712979
ACH-000019,-0.466766408687
ACH-000021,-0.209881913686
ACH-000022,-0.106441020304
ACH-000025,-0.353108110511
ACH-000028,-0.23089917192099998
ACH-000030,-0.23354059108800002
ACH-000035,-0.201562232591
ACH-000036,-0.23454918955200002
ACH-000037,-0.262023096976
ACH-000039,-0.333432599639
ACH-000040,-0.300241048288
ACH-000041,-0.228318508361
ACH-000042,-0.335198418912
ACH-000045,0.0577271247935
ACH-000047,-0.294009597726
ACH-000052,-0.345606838847
ACH-000053,-0.191141925528
ACH-000054,-0.423167211832
ACH-000055,-0.190564108052
ACH-000060,-0.335145545511
ACH-000067,-0.149822903757
ACH-000070,-0.21945808803599998
ACH-000075,-0.250451575981
ACH-000078,-0.18654805266600002
ACH-000082,-0.30724494341499997
ACH-000085,-0.263540581365
ACH-000086,-0.163988383137
ACH-000087,0.014336361884600001
ACH-000092,-0.412798630938
ACH-000095,-0.328152655789
ACH-000097,-0.10399284939200001
ACH-000098,-0.293447136494
ACH-000099,-0.458189622406
ACH-000108,-0.205359687082
ACH-000113,-0.169841271219
ACH-000115,-0.203507495112
ACH-000116,-0.326374632213
ACH-000118,-0.165344176871
ACH-000120,-0.265605611466
ACH-000123,-0.24778027129900002
ACH-000127,-0.439836900145
ACH-000128,-0.260020462848
ACH-000132,-0.283442944087
ACH-000133,-0.35617504742899997
ACH-000137,-0.18774278348700002
ACH-000138,-0.165873616538
ACH-000142,-0.26650274572099997
ACH-000143,-0.402258009257
ACH-000146,-0.06018255410730001
ACH-000148,-0.268850524077
ACH-000150,-0.271811944706
ACH-000152,-0.38757952121699996
ACH-000153,-0.204908039572
ACH-000159,-0.423400581306
ACH-000160,-0.20975668432
ACH-000163,-0.24773896920000002
ACH-000167,-0.337327916153
ACH-000168,-0.00462148986741
ACH-000169,-0.22192395319000002
ACH-000178,-0.152613629858
ACH-000182,-0.343696941375
ACH-000183,-0.27485950279300003
ACH-000188,-0.47469678843
ACH-000189,-0.0896833910735
ACH-000190,-0.137182682782
ACH-000198,-0.267376802772
ACH-000204,-0.259795757788
ACH-000206,-0.29098453215799996
ACH-000207,-0.434457824478
