,GMPS (8833)
ACH-000004,-1.2281162102399998
ACH-000007,-0.9942536121369999
ACH-000009,-0.963261365414
ACH-000011,-0.8352224746789999
ACH-000012,-0.665077113419
ACH-000013,-0.37211115506
ACH-000014,-1.13471885971
ACH-000015,-0.817630962239
ACH-000017,-1.36615772639
ACH-000018,-0.9124262979530001
ACH-000019,-1.22767618475
ACH-000021,-1.30531987849
ACH-000022,-0.958956043955
ACH-000025,-1.15334272583
ACH-000028,-1.1455577824299998
ACH-000030,-1.28899060096
ACH-000035,-0.814661711815
ACH-000036,-0.7812670649310001
ACH-000037,-0.38138080893200005
ACH-000039,-0.809964470631
ACH-000040,-0.313761408943
ACH-000041,-0.835571971059
ACH-000042,-1.12679508659
ACH-000045,-0.82323038928
ACH-000047,-1.35118432849
ACH-000052,-0.254883228655
ACH-000053,-1.33260359758
ACH-000054,-0.6904150928499999
ACH-000055,-0.607338830197
ACH-000060,-0.908277818951
ACH-000067,-0.49987930259700003
ACH-000070,-0.8778347717370001
ACH-000075,-0.5903411332399999
ACH-000078,-0.594220979529
ACH-000082,-0.635405000097
ACH-000085,-0.9392634811489999
ACH-000086,-0.22440333761700001
ACH-000087,-1.4983128255200002
ACH-000092,-0.43795774846100005
ACH-000095,-0.9451336949529999
ACH-000097,-1.35403236979
ACH-000098,-0.307664889389
ACH-000099,-0.9643576113500001
ACH-000108,-1.4244054285299999
ACH-000113,-0.434132624521
ACH-000115,-0.282045301712
ACH-000116,-0.21972495030499997
ACH-000118,-1.1671358338
ACH-000120,-0.41944700851800004
ACH-000123,-1.0848049476000001
ACH-000127,-1.20335685123
ACH-000128,-0.637413612659
ACH-000132,-0.5892784716539999
ACH-000133,-0.366227332539
ACH-000137,-0.444282799838
ACH-000138,-1.36153130557
ACH-000142,-0.9424380702490001
ACH-000143,-0.887901567825
ACH-000146,-1.44181107851
ACH-000148,-0.552254100129
ACH-000150,-0.3288152146
ACH-000152,-0.809653581576
ACH-000153,-0.408903585977
ACH-000159,-1.37824526882
ACH-000160,-0.531074388324
ACH-000163,-0.587967853455
ACH-000167,-0.9374574211669999
ACH-000168,-0.8105099591150001
ACH-000169,-0.542699124747
ACH-000178,-1.25381403775
ACH-000182,-1.24297035916
ACH-000183,-1.04639720472
ACH-000188,-0.841959073569
ACH-000189,-1.33065085738
ACH-000190,-1.0119430155700002
ACH-000198,-0.956546720632
ACH-000204,-0.6791906486210001
ACH-000206,-1.2497161463
ACH-000207,-1.3877454751299998
ACH-000211,-0.271115534946
ACH-000215,-0.311947026821
ACH-000221,-0.39631237166100003
ACH-000222,-1.5369308332499998
ACH-000223,-0.741125963251
ACH-000226,-1.07266895903
ACH-000227,-0.296722281965
ACH-000228,-0.703509618992
ACH-000231,-0.245833702318
ACH-000232,-0.181427168011
ACH-000233,-1.07694916079
ACH-000234,-1.4459602622
ACH-000235,-1.57158035616
ACH-000237,-0.587814563512
ACH-000238,-0.591624343807
ACH-000243,-1.0
ACH-000244,-0.130510878917
ACH-000246,-0.401297910113
ACH-000248,-1.1401552177299998
ACH-000250,-0.961716143875
ACH-000251,-0.991680765183
ACH-000253,-1.2117357331299998
ACH-000255,-0.608207464293
ACH-000256,-0.736075554796
ACH-000257,-0.767219332509
ACH-000258,-1.46018228227
ACH-000259,-0.832839426075
ACH-000260,-0.5261536478850001
ACH-000261,-0.765551579472
ACH-000262,-0.728165163656
ACH-000263,-1.0781818800299998
ACH-000264,-0.859961533992
ACH-000265,-0.9871389536570001
ACH-000266,-1.6551512070200003
