,UGDH (7358)
ACH-000004,-0.199747681725
ACH-000007,-0.0356962469689
ACH-000009,-0.16290873400699998
ACH-000011,-0.0157004210486
ACH-000012,0.0320357209828
ACH-000013,-0.158019955477
ACH-000014,-0.0841209638885
ACH-000015,-0.31832302171300003
ACH-000017,0.0113835840626
ACH-000018,0.024785232670299997
ACH-000019,-0.101091808608
ACH-000021,-0.309007535296
ACH-000022,-0.195049810726
ACH-000025,-0.0486691325096
ACH-000028,0.0418416929192
ACH-000030,-0.11738707074799999
ACH-000035,-0.0524728231984
ACH-000036,-0.132227200169
ACH-000037,-0.175064958249
ACH-000039,-0.0214357745468
ACH-000040,-0.197969748081
ACH-000041,-0.25723921810199996
ACH-000042,-0.265816186631
ACH-000045,-0.0295159825968
ACH-000047,-0.17486906746800002
ACH-000052,-0.226410900143
ACH-000053,-0.09487038819980001
ACH-000054,-0.124505873389
ACH-000055,-0.012437020150299998
ACH-000060,-0.142898942509
ACH-000067,-0.0180920558371
ACH-000070,-0.31186602089800003
ACH-000075,-0.136110644409
ACH-000078,-0.0773638521459
ACH-000082,-0.158375921404
ACH-000085,-0.10641572963500001
ACH-000086,-0.153350293459
ACH-000087,0.0764682394337
ACH-000092,-0.161511068854
ACH-000095,-0.215653932604
ACH-000097,-0.141320636358
ACH-000098,-0.0370494509647
ACH-000099,0.0610938695931
ACH-000108,-0.10410263167600001
ACH-000113,-0.0061650214254999995
ACH-000115,-0.029375265444799997
ACH-000116,-0.140470154555
ACH-000118,0.0080031626512
ACH-000120,-0.103988766348
ACH-000123,-0.09528465771780001
ACH-000127,0.011411060544100002
ACH-000128,-0.0145155208042
ACH-000132,-0.0617882388827
ACH-000133,-0.233110853992
ACH-000137,-0.15480593698200001
ACH-000138,-0.141329097683
ACH-000142,-0.302396978994
ACH-000143,-0.27225084344300005
ACH-000146,-0.0697437104278
ACH-000148,-0.181619311867
ACH-000150,-0.0048992097457100005
ACH-000152,-0.07946812971239998
ACH-000153,0.174557046626
ACH-000159,-0.237566415773
ACH-000160,-0.173621752504
ACH-000163,0.0017221231661900002
ACH-000167,-0.367042139064
ACH-000168,0.039585160514
ACH-000169,-0.0326297520609
ACH-000178,-0.0225665252306
ACH-000182,-0.210727266653
ACH-000183,-0.046852755832
ACH-000188,-0.16973069238299998
ACH-000189,-0.022393128835299998
ACH-000190,-0.11189410219200001
ACH-000198,-0.06903644785810001
ACH-000204,-0.45195384432400004
ACH-000206,-0.11505151782199999
ACH-000207,-0.122321408706
ACH-000211,-0.11137122749000002
ACH-000215,-0.287830256788
ACH-000221,-0.207509021089
ACH-000222,-0.22821739844099997
ACH-000223,-0.146392619054
ACH-000226,-0.0665156653064
ACH-000227,-0.430815970506
ACH-000228,-0.30731818013900003
ACH-000231,-0.0984374412393
ACH-000232,-0.101714684411
ACH-000233,-0.0636842708084
ACH-000234,-0.14596862562100002
ACH-000235,-0.111280916654
ACH-000237,-0.154046694149
ACH-000238,-0.20230460086100002
ACH-000243,-0.303214490578
ACH-000244,-7.258025812700001e-05
ACH-000246,-0.0892965722435
ACH-000248,-0.0777128421871
