,P4HTM (54681)
ACH-000004,-0.254417781482
ACH-000007,0.115790442138
ACH-000009,-0.24744954525899998
ACH-000011,-0.246182156246
ACH-000012,-0.364231464352
ACH-000013,-0.244615361938
ACH-000014,-0.16607941067399998
ACH-000015,-0.27511900248599996
ACH-000017,-0.161927511291
ACH-000018,-0.432841053447
ACH-000019,-0.280855349388
ACH-000021,-0.124947907416
ACH-000022,-0.160125785412
ACH-000025,-0.216035427251
ACH-000028,-0.317677097174
ACH-000030,-0.179372759312
ACH-000035,-0.262148713623
ACH-000036,-0.232602915462
ACH-000037,-0.19604473687399998
ACH-000039,0.008396240795709999
ACH-000040,-0.287465868308
ACH-000041,-0.115168138066
ACH-000042,-0.163529507007
ACH-000045,-0.112820605031
ACH-000047,-0.171003348266
ACH-000052,-0.32906341859
ACH-000053,-0.16042972863500002
ACH-000054,-0.398015192223
ACH-000055,-0.599416211931
ACH-000060,-0.265834929926
ACH-000067,-0.432956270709
ACH-000070,-0.20352595106899998
ACH-000075,-0.26715803732500004
ACH-000078,0.0334524999839
ACH-000082,-0.0201266595625
ACH-000085,-0.35058857287100004
ACH-000086,-0.240844346899
ACH-000087,-0.189196551336
ACH-000092,-0.06238079171540001
ACH-000095,-0.0999236338642
ACH-000097,-0.187879147998
ACH-000098,-0.285049998538
ACH-000099,-0.142117824425
ACH-000108,-0.0653610820041
ACH-000113,-0.239162087872
ACH-000115,-0.24162082136799998
ACH-000116,-0.14285756662000001
ACH-000118,-0.15850945617999998
ACH-000120,-0.151461980316
ACH-000123,0.027396120050400003
ACH-000127,-0.288368289628
ACH-000128,-0.543135314085
ACH-000132,-0.17436654251800002
ACH-000133,-0.14912382093
ACH-000137,-0.136670930794
ACH-000138,-0.12603427833900002
ACH-000142,-0.10314533398600001
ACH-000143,-0.11333002765599999
ACH-000146,-0.123915537576
ACH-000148,-0.14858034249000002
ACH-000150,-0.335729445432
ACH-000152,-0.230389344196
ACH-000153,0.129815215413
ACH-000159,-0.38372330385700004
ACH-000160,0.36799498321
ACH-000163,-0.148010901247
ACH-000167,0.459746575331
ACH-000168,-0.333179572091
ACH-000169,-0.45581840867
ACH-000178,-0.00312033346619
ACH-000182,-0.18637872069699998
ACH-000183,0.0206619906821
ACH-000188,-0.193045056199
ACH-000189,-0.1722002176
ACH-000190,0.5266750667769999
ACH-000198,-0.18333846125599998
ACH-000204,-0.5927850517509999
ACH-000206,-0.296822563662
ACH-000207,-0.22512724458299999
ACH-000211,-0.249182368517
ACH-000215,-0.107739928135
ACH-000221,-0.174875156815
ACH-000222,0.0855325807964
ACH-000223,-0.110056048533
ACH-000226,-0.101527481258
ACH-000227,-0.344698431872
ACH-000228,-0.39615459052199997
ACH-000231,-0.186874982301
ACH-000232,-0.235411103233
ACH-000233,-0.253660256699
ACH-000234,-0.409104286867
ACH-000235,-0.14437886240599998
ACH-000237,-0.0686656431654
ACH-000238,-0.323500465099
ACH-000243,-0.0924718306088
ACH-000244,0.06655214770460001
ACH-000246,-0.35966231474200006
ACH-000248,-0.237569108588
ACH-000250,-0.139235754068
ACH-000251,-0.518420223267
ACH-000253,-0.193853527427
ACH-000255,-0.21900735895399998
ACH-000256,-0.169972852077
ACH-000257,-0.840167538063
ACH-000258,-0.122895606066
ACH-000259,-0.114944809461
ACH-000260,-0.07430757808560001
ACH-000261,-0.15063439157400002
ACH-000262,-0.500063003058
ACH-000263,-0.32465742076
ACH-000264,-0.0909321585977
ACH-000265,-0.245079516626
ACH-000266,-0.132758689601
ACH-000272,-0.156094825338
ACH-000273,-0.331459238017
ACH-000274,-0.252107727121
ACH-000277,-0.17266982427900002
ACH-000278,0.0925144229016
ACH-000279,-0.18046084142299998
ACH-000280,-0.35563498614100003
ACH-000281,0.05161552974880001
ACH-000288,-0.185967042572
ACH-000291,-0.19088144545299998
ACH-000293,-0.47080344701899995
ACH-000294,-0.186464514088
ACH-000295,-0.277391440288
ACH-000296,-0.295185486787
ACH-000302,-0.273677835308
ACH-000304,-0.105683884549
ACH-000307,-0.24810032655699998
ACH-000308,-0.0662998852458
ACH-000310,0.0177264064636
ACH-000311,0.101961799662
ACH-000312,-0.043623174258000004
ACH-000315,0.0315884105297
ACH-000316,-0.239026203769
