,SHOC2 (8036)
ACH-000362,-0.211160942919
ACH-000363,-0.045930923953599996
ACH-000364,-0.568081409564
ACH-000365,-0.0405048602753
ACH-000366,-0.157687806273
ACH-000368,-0.566390962765
ACH-000374,-0.117238279182
ACH-000375,-0.474621311568
ACH-000376,-0.09443536753589998
ACH-000381,-0.400295003508
ACH-000383,-0.0624700026858
ACH-000387,-0.659969376805
ACH-000389,-0.24580775844900002
ACH-000390,-0.239155283976
ACH-000393,0.19392717384
ACH-000395,-0.175657935949
ACH-000397,-0.0826648993882
ACH-000401,-0.058264959835099994
ACH-000402,0.0749640754231
ACH-000403,-0.679811782201
ACH-000404,0.0786757212075
ACH-000406,-0.0504916583548
ACH-000407,-0.17769572214200002
ACH-000408,-0.005593323747039999
ACH-000410,-0.13844171639299999
ACH-000411,-0.0636616076471
ACH-000414,-0.28041273281999995
ACH-000415,-0.283735059817
ACH-000416,-0.278522351646
ACH-000420,0.246007028657
ACH-000421,-0.209348735066
ACH-000424,-0.60191169047
ACH-000425,0.0369782258971
ACH-000426,-0.263390839517
ACH-000427,-0.0653074566091
ACH-000433,-0.24946403522100002
ACH-000436,-0.682894800576
ACH-000444,0.0521843554626
ACH-000445,-0.631302053635
ACH-000448,-0.13516929011099998
ACH-000450,-0.040892319578800004
ACH-000452,-0.65473652775
ACH-000454,-0.247966985767
ACH-000458,-0.142819181627
ACH-000459,0.361909173222
ACH-000460,-0.6613439729899999
ACH-000461,0.140630853717
ACH-000463,-0.193135058051
ACH-000464,-0.541480539861
ACH-000466,0.017461427852900002
ACH-000467,-0.270084196988
ACH-000468,-0.31743871200199997
ACH-000469,-0.296567919298
ACH-000470,-0.0460029419658
ACH-000471,-0.813107343423
ACH-000472,0.045302864163100004
ACH-000473,-0.334625796471
ACH-000475,-0.150565936802
ACH-000476,0.270388590957
ACH-000477,-0.00759526696689
ACH-000480,-0.167345762612
ACH-000481,-0.162634668345
ACH-000483,-0.552338122648
ACH-000484,0.37945021181199995
ACH-000485,-0.120983674312
ACH-000486,-0.666167920836
ACH-000487,-0.6534489181809999
ACH-000488,-0.0672408019025
ACH-000490,-0.0908075654245
ACH-000491,-0.613961557027
ACH-000495,-0.021626822152900002
ACH-000496,-0.391768457433
ACH-000499,-0.357055051209
ACH-000500,-0.12085591659600001
ACH-000502,-0.386926199628
ACH-000503,-0.495447325645
ACH-000505,-0.18315715255800002
ACH-000507,0.319755214122
ACH-000510,-0.340539395626
ACH-000511,0.00849970820267
ACH-000512,-0.112773441349
ACH-000516,0.11713131369799999
ACH-000517,-0.32612393543699997
ACH-000518,-0.131557329854
ACH-000520,-0.0175154425097
ACH-000521,0.109236285196
ACH-000522,0.111449286205
ACH-000524,-0.383787689379
ACH-000527,-0.0950537468086
ACH-000528,-0.00290645149653
ACH-000537,-0.641118292398
ACH-000541,-0.145925769995
ACH-000542,-0.165589475112
ACH-000544,0.0219207257984
ACH-000545,-0.022738687846800002
ACH-000547,-0.462441867982
ACH-000548,-0.00522621658477
ACH-000549,-0.291938169668
ACH-000550,0.025062842225700002
ACH-000552,0.025152316754400005
ACH-000556,-0.29551036773
ACH-000557,-1.38823058651
ACH-000570,-0.49683632634400005
ACH-000571,-0.0085053607233
ACH-000573,-0.134811079693
ACH-000576,-0.7702975456990001
ACH-000580,0.0503105997516
ACH-000584,-0.130075875836
ACH-000585,-1.01694042653
ACH-000588,-0.309738917796
ACH-000589,0.217353877334
ACH-000591,-0.457648140714
ACH-000593,-0.34411851830799994
ACH-000600,-0.065564865217
ACH-000601,-0.07139616057960001
ACH-000604,-0.605523509709
ACH-000605,-0.130268135796
ACH-000606,-0.324431926082
ACH-000608,-0.38097024719300004
ACH-000614,0.0978345615121
ACH-000616,-0.194407028931
ACH-000618,-0.04829521457140001
ACH-000619,-0.22398153330499998
ACH-000620,-0.41421382936800005
ACH-000621,-0.280224172715
ACH-000622,-0.455969566346
ACH-000623,-0.465172188576
ACH-000624,0.147144009815
ACH-000627,-0.376931392915
ACH-000630,-0.346438362579
ACH-000632,-0.648705181821
ACH-000633,-0.164141123722
ACH-000637,0.06127892343619999
ACH-000638,-0.256484254244
ACH-000646,-0.030057681107799997
ACH-000647,-0.047461841063
ACH-000648,-0.00167103901294
ACH-000649,-0.167506049595
ACH-000651,-0.127608776655
ACH-000652,-0.721862287088
ACH-000653,-0.08992551810730001
ACH-000657,-0.540739596324
ACH-000658,-0.0892056124097
ACH-000661,-0.0074173386582900005
ACH-000662,-0.10736233905999999
ACH-000663,0.0640180239106
ACH-000665,-0.194582004645
ACH-000671,-0.273717456192
ACH-000673,-0.357362195973
ACH-000676,-0.06474752057580001
ACH-000677,-0.224568346436
ACH-000681,0.13138296385
ACH-000682,-0.08356630625860001
ACH-000683,0.00498150654897
ACH-000684,-0.409771433783
ACH-000688,-0.37749892660800005
ACH-000693,-0.0014922726180499999
ACH-000694,0.0776987293763
ACH-000695,0.0937577279559
ACH-000696,-0.20935616738499999
ACH-000697,-0.0747856840117
ACH-000699,-0.19214624659
ACH-000701,-0.249893824214
ACH-000706,-0.161358723159
ACH-000711,0.07396000468439999
ACH-000713,-0.20147952927499999
ACH-000714,-0.155157950486
ACH-000718,-0.58334697941
ACH-000720,-0.010331533677200001
ACH-000721,-0.378206170737
ACH-000724,-0.314031076011
ACH-000725,-0.250229258241
ACH-000732,-0.09035142356419999
ACH-000734,-0.37464941799400003
ACH-000735,-0.170393216681
ACH-000736,-0.020979790999799998
ACH-000738,-0.587222897642
ACH-000746,0.20326016558200002
ACH-000747,-0.130857941199
ACH-000748,-0.658407986872
ACH-000753,-0.255374605581
ACH-000756,-0.19768887135699997
ACH-000757,-0.24164603856400002
ACH-000758,-0.09474794668610001
ACH-000760,-0.468661070593
ACH-000763,-0.367130104515
ACH-000764,0.0336016196033
ACH-000765,0.06340598067480001
ACH-000766,-0.335305017207
ACH-000767,0.00953692069517
ACH-000768,-0.19325797881499998
ACH-000769,0.26210893136999996
ACH-000770,-0.35247798712800005
ACH-000771,0.061286508405
ACH-000773,0.051463842763800005
ACH-000776,-0.995764635211
ACH-000777,-0.46931965224100003
ACH-000778,0.033494618725700004
ACH-000781,-0.0158322524038
ACH-000782,-0.370452615489
ACH-000783,-0.195507195913
ACH-000784,-0.05919704770669999
ACH-000785,0.0204181086007
ACH-000787,-0.341065859113
ACH-000788,0.079782342967
ACH-000791,-0.254430647316
ACH-000792,-0.37482484297799995
ACH-000794,-0.33177579365800003
ACH-000796,-0.18392260545800002
ACH-000799,0.0048240656641000005
ACH-000800,0.07811429297360001
ACH-000802,-0.626783807634
ACH-000804,-0.047897446725699996
ACH-000805,0.0133984234998
ACH-000809,-0.284867340912
ACH-000810,-0.752843181948
ACH-000811,-0.10734452554400001
ACH-000817,-0.7357963580069999
ACH-000819,-0.238218096873
ACH-000820,-0.352363671034
ACH-000821,-0.208127333684
ACH-000822,0.0990617736337
ACH-000823,0.07351713707480001
ACH-000824,-0.0660738145869
ACH-000827,0.108994738903
ACH-000829,-0.17175076334699999
ACH-000831,-0.0280506592412
ACH-000832,-0.275639751165
ACH-000833,-0.31614955952199997
ACH-000834,-0.5234054609709999
ACH-000835,0.0787512049362
ACH-000836,-0.372020588521
ACH-000837,-0.0441393660887
ACH-000838,-0.271089988989
ACH-000839,-0.199549093662
ACH-000840,-0.235393265367
ACH-000841,-0.822934348023
ACH-000843,-0.11101213651799999
ACH-000846,-0.132156092095
ACH-000847,-0.121435653415
ACH-000848,-0.05161825900019999
ACH-000849,-0.0556177500539
ACH-000851,-0.44193159994
ACH-000855,0.00136172892299
ACH-000856,-0.167747936757
ACH-000858,0.108084821334
ACH-000859,-0.018010629099400002
ACH-000861,-0.180857328022
ACH-000862,-0.21003458233199998
ACH-000865,-0.07849958016210001
ACH-000866,-0.024029348889700004
ACH-000867,0.0282705466602
ACH-000869,-0.155067410557
ACH-000872,-0.145272388224
ACH-000873,-0.20496146582199998
ACH-000876,-0.232526004943
ACH-000878,-0.684268670524
ACH-000880,-0.562361476234
ACH-000881,-0.7460889057610001
ACH-000882,0.07170617053589999
ACH-000884,0.0555477054587
ACH-000885,-0.478187652865
ACH-000887,0.017454275956700002
ACH-000888,-0.654876555601
ACH-000889,-0.5658077846890001
ACH-000890,-0.758437032316
ACH-000896,-0.207085340988
ACH-000898,-0.607060565217
ACH-000900,0.21799423084000003
ACH-000901,-0.13666172588
ACH-000905,-0.0729628927884
ACH-000906,0.168684232762
ACH-000907,-0.13076265334
ACH-000910,0.38968329770599996
ACH-000911,-0.140376176393
ACH-000912,-0.424721508984
ACH-000913,-0.0640247013104
ACH-000915,-1.17160855314
ACH-000916,-0.156622311239
ACH-000917,0.25484596269000004
ACH-000921,0.0441299414289
ACH-000924,-0.162490925863
ACH-000926,-0.16095791986400002
ACH-000928,-0.222268643451
ACH-000929,0.0605446031218
ACH-000932,-0.46872012456999995
ACH-000935,0.0359913401675
ACH-000936,-0.178155509925
ACH-000937,0.06755897903800001
ACH-000938,-0.536312467104
ACH-000939,-0.107907745326
ACH-000941,-0.20996236075
ACH-000943,0.10068792036900001
ACH-000946,-0.015555020696
ACH-000947,-0.033336425001900004
ACH-000948,-0.032251308101
ACH-000950,-0.294140229938
ACH-000953,-0.0378116647228
ACH-000957,-0.17937009834000003
ACH-000958,0.203127081235
ACH-000960,0.101950617743
ACH-000963,-0.143193884882
ACH-000968,-0.828719743028
ACH-000969,-0.0371096650619
ACH-000973,-0.0219528733388
ACH-000974,-0.0735439822399
