,MRM1 (79922)
ACH-000004,-0.0425385423338
ACH-000007,-0.0280846183979
ACH-000009,-0.257282076382
ACH-000011,-0.0811427385592
ACH-000012,-0.21950263365699998
ACH-000013,-0.182375243726
ACH-000014,-0.110972427146
ACH-000015,-0.11775559924000001
ACH-000017,-0.244840129967
ACH-000018,-0.10125811830499999
ACH-000019,-0.23651463691799998
ACH-000021,-0.108115604851
ACH-000022,-0.015952649583299998
ACH-000025,-0.233997395792
ACH-000028,-0.11910843385
ACH-000030,-0.284359140598
ACH-000035,-0.44704531329400005
ACH-000036,-0.200415619399
ACH-000037,-0.0285900521565
ACH-000039,-0.29200606323899997
ACH-000040,-0.18573224530299998
ACH-000041,-0.181658814876
ACH-000042,0.0135137658227
ACH-000045,-0.0921761820393
ACH-000047,-0.21768986595800002
ACH-000052,0.128369718676
ACH-000053,-0.137510452681
ACH-000054,-0.119208535844
ACH-000055,0.0150603925279
ACH-000060,-0.366648726354
ACH-000067,-0.232842790353
ACH-000070,-0.046136092014800005
ACH-000075,-0.31526571873000003
ACH-000078,-0.0854422722349
ACH-000082,-0.412002351796
ACH-000085,0.0175328426263
ACH-000086,-0.242423573083
ACH-000087,-0.26760820388900003
ACH-000092,-0.17199864380600002
ACH-000095,-0.121208361659
ACH-000097,-0.0968427863459
ACH-000098,-0.364243258105
ACH-000099,-0.23732609596999998
ACH-000108,-0.00227416033396
ACH-000113,-0.36434133611100006
ACH-000115,-0.19999538690299998
ACH-000116,-0.134765716796
ACH-000118,-0.165226894609
ACH-000120,-0.147019388802
ACH-000123,-0.25557362886
ACH-000127,-0.111631936651
ACH-000128,-0.137388794728
ACH-000132,0.0206914390944
ACH-000133,-0.18508940364300003
ACH-000137,-0.174570818695
ACH-000138,-0.20613635517
ACH-000142,-0.237528133302
ACH-000143,-0.170127303495
ACH-000146,-0.0929645011965
ACH-000148,-0.23445459094700002
ACH-000150,-0.108085865929
ACH-000152,-0.234962945585
ACH-000153,0.10684087651
ACH-000159,-0.299920982445
ACH-000160,-0.42970418781
ACH-000163,-0.1383511677
ACH-000167,-0.0221830346911
ACH-000168,-0.275972647742
ACH-000169,-0.109562113962
ACH-000178,-0.03534288114169999
ACH-000182,-0.24594122799
ACH-000183,-0.31111941716999997
ACH-000188,-0.292065365436
ACH-000189,-0.521027755836
ACH-000190,-0.198574928791
ACH-000198,-0.20740997453499999
ACH-000204,-0.12205455240900001
ACH-000206,-0.181640224058
ACH-000207,-0.266529392017
ACH-000211,-0.18795472929200002
ACH-000215,-0.19439618524
ACH-000221,-0.113147900393
ACH-000222,0.018031889201900003
ACH-000223,-0.388045000471
ACH-000226,-0.109258776317
ACH-000227,-0.23430515486200001
ACH-000228,-0.116842916042
ACH-000231,-0.23897229389000002
ACH-000232,-0.139878059012
ACH-000233,-0.11973804419299999
ACH-000234,-0.44948864997500004
ACH-000235,-0.156632242161
ACH-000237,-0.208337484886
ACH-000238,-0.010615124308499998
ACH-000243,-0.368095958248
ACH-000244,-0.393209707824
ACH-000246,-0.0110660228731
ACH-000248,-0.31500856155
ACH-000250,-0.159826787285
ACH-000251,-0.340912399951
ACH-000253,-0.120215438698
ACH-000255,-0.224334853294
ACH-000256,-0.163809732709
ACH-000257,-0.218447165148
ACH-000258,0.343755016793
ACH-000259,-0.0710557617915
ACH-000260,-0.13131705977
ACH-000261,-0.12397050463300001
ACH-000262,-0.121523831446
ACH-000263,-0.00141061447997
ACH-000264,-0.305623468194
ACH-000265,-0.308542235169
ACH-000266,-0.19727824280900003
ACH-000272,-0.154964317895
ACH-000273,-0.34667544214900003
ACH-000274,-0.23507927333599998
ACH-000277,-0.022486026562900004
ACH-000278,-0.415747949942
ACH-000279,-0.129210604858
ACH-000280,-0.095289962423
ACH-000281,-0.107348620636
ACH-000288,-0.232461247876
ACH-000291,-0.0100519159153
ACH-000293,-0.34122644931400004
ACH-000294,-0.1355016832
ACH-000295,-0.21501201127300001
ACH-000296,-0.186173125927
ACH-000302,-0.252358450047
ACH-000304,-0.176732372763
ACH-000307,-0.20152153457199998
ACH-000308,-0.114433029094
ACH-000310,0.0827877207812
ACH-000311,-0.133007989984
ACH-000312,-0.16299990657500002
ACH-000315,-0.201961477962
ACH-000316,-0.144473389618
ACH-000317,-0.0221508815044
ACH-000318,-0.246724544357
ACH-000319,-0.36523611547
ACH-000320,-0.145319700036
ACH-000322,-0.325942768762
ACH-000323,-0.298287534225
ACH-000324,-0.15609179358300002
ACH-000329,-0.240638206956
ACH-000330,-0.517078035323
ACH-000331,-0.22459469405000002
ACH-000332,-0.11243534018100002
ACH-000334,-0.0335194455598
ACH-000335,-0.33808560204000004
ACH-000336,-0.223529764258
ACH-000337,-0.30665356653000003
ACH-000339,-0.18775980303800002
ACH-000341,-0.20718845609900002
ACH-000348,-0.40049176058700003
ACH-000350,0.265298714468
ACH-000352,-0.11411504067
ACH-000356,-0.182437896916
ACH-000361,-0.284320279925
ACH-000362,-0.161404940419
ACH-000363,-0.287260800903
ACH-000364,-0.160263801138
ACH-000365,-0.266684510649
ACH-000366,-0.07567538697319999
ACH-000368,-0.0853884037487
ACH-000374,-0.37193251130500005
ACH-000375,-0.249709771919
ACH-000376,-0.124989486111
ACH-000381,-0.233612287164
ACH-000383,-0.333347289716
ACH-000387,-0.133782995835
ACH-000389,-0.0782751978659
ACH-000390,-0.226785060642
ACH-000393,-0.188662399811
ACH-000395,-0.233407122212
ACH-000397,-0.183894505935
ACH-000401,-0.04576587567
ACH-000402,-0.119797797798
ACH-000403,-0.25137152176800004
ACH-000404,-0.138895993225
ACH-000406,-0.103093020988
ACH-000407,-0.10425371715500001
ACH-000408,-0.20535611156800002
ACH-000410,-0.0852453326063
ACH-000411,-0.206709094494
ACH-000414,-0.274476017335
ACH-000415,-0.271865719568
ACH-000416,-0.174703177372
ACH-000420,-0.144119505057
ACH-000421,-0.168585494945
ACH-000424,-0.234415694542
ACH-000425,-0.235597619301
ACH-000426,-0.0565635186824
ACH-000427,-0.19324516259
ACH-000433,-0.6845426466329999
ACH-000436,-0.0708043393606
ACH-000444,-0.10232755133400001
ACH-000445,-0.192595632219
ACH-000448,-0.164425832091
ACH-000450,0.106732027123
ACH-000452,-0.196509461722
ACH-000454,-0.0379483538074
ACH-000458,-0.101495865615
ACH-000459,-0.186268673571
ACH-000460,-0.16966929296500002
ACH-000461,-0.022063492396299997
ACH-000463,-0.124012787442
ACH-000464,-0.285213595755
ACH-000466,0.07488369263339999
ACH-000467,-0.07952829908169999
ACH-000468,-0.248445994232
ACH-000469,-0.178998599787
ACH-000470,-0.17743259529
ACH-000471,-0.367826187033
ACH-000472,-0.19781396914500002
ACH-000473,-0.128458436621
ACH-000475,-0.254742992655
ACH-000476,-0.192175772696
ACH-000477,-0.166680230447
ACH-000480,-0.087729904495
ACH-000481,-0.0656421760042
ACH-000483,-0.0570698498295
ACH-000484,-0.0126533083919
ACH-000485,-0.111164493165
ACH-000486,-0.25863310123000005
ACH-000487,-0.29294825788199996
ACH-000488,-0.11834453325899999
ACH-000490,-0.194452806715
ACH-000491,-0.21600935751800002
ACH-000495,-0.109982300204
ACH-000496,-0.200968268147
ACH-000499,-0.27241875982299996
ACH-000500,-0.0538453053385
ACH-000502,-0.222637006224
ACH-000503,-0.522139782461
ACH-000505,-0.180377147563
ACH-000507,-0.18445213017200002
ACH-000510,-0.204709570957
ACH-000511,-0.19887047750700002
ACH-000512,-0.25006804560199997
ACH-000516,-0.211262850385
ACH-000517,-0.219192883651
ACH-000518,-0.110811808453
ACH-000520,-0.280866579876
ACH-000521,-0.19684508900199998
ACH-000522,-0.168163219122
ACH-000524,-0.0387824992969
ACH-000527,-0.307658005329
ACH-000528,-0.140177472139
ACH-000537,-0.19265883685
ACH-000541,-0.163964541927
ACH-000542,-0.12499355439000001
ACH-000544,0.012293224081700001
ACH-000545,-0.287671545904
ACH-000547,-0.215766779866
ACH-000548,-0.18754064448
ACH-000549,-0.35031946704800004
ACH-000550,-0.292120198638
ACH-000552,-0.16531216307
ACH-000556,-0.0977058964481
ACH-000557,-0.0310030437957
ACH-000570,-0.178955189421
ACH-000571,-0.17166367082400003
ACH-000573,-0.09239319027319999
ACH-000576,-0.127294402362
ACH-000580,-0.197298202722
ACH-000584,-0.112882122021
ACH-000585,-0.0572354946569
ACH-000588,-0.0708668623638
ACH-000589,-0.182092632176
ACH-000591,-0.18650272973700002
ACH-000593,-0.218815298154
ACH-000600,-0.34203549260300004
ACH-000601,-0.255879949731
ACH-000604,0.22707616544599998
ACH-000605,-0.115439021832
ACH-000606,-0.219275447914
ACH-000608,-0.143074984155
ACH-000614,0.073374905008
ACH-000616,-0.169268057898
ACH-000618,-0.209600473668
ACH-000619,-0.298330913359
ACH-000620,-0.052054474761199995
ACH-000621,-0.16866007605500002
ACH-000622,0.0313324697537
ACH-000623,-0.230612394762
ACH-000624,-0.11594445923900001
ACH-000627,-0.00957724294493
ACH-000630,-0.25697001323199997
ACH-000632,-0.274471792489
ACH-000633,-0.259278215622
ACH-000637,-0.22657459476
ACH-000638,-0.246290618977
ACH-000646,-0.068798252375
ACH-000647,-0.24534119476900001
ACH-000648,-0.44982714342200003
ACH-000649,-0.286932213088
