,UBAP2L (9898)
ACH-000004,-0.302077327291
ACH-000007,-0.455886183445
ACH-000009,-0.304197120872
ACH-000011,-0.146996369605
ACH-000012,-0.157006300617
ACH-000013,-0.365110178731
ACH-000014,-0.33152870416700003
ACH-000015,-0.182311819977
ACH-000017,-0.225234632847
ACH-000018,-0.333315249779
ACH-000019,-0.33242365134199997
ACH-000021,-0.186289381424
ACH-000022,-0.136113045484
ACH-000025,-0.47690517205300004
ACH-000028,-0.5038000118320001
ACH-000030,-0.337066967934
ACH-000035,0.0125199413088
ACH-000036,-0.057101273748199996
ACH-000037,0.175327714117
ACH-000039,-0.341082808464
ACH-000040,-0.515860822981
ACH-000041,-0.259602910712
ACH-000042,-0.424755796228
ACH-000045,-0.36299796092799996
ACH-000047,-0.0926925942089
ACH-000052,0.15872517325899999
ACH-000053,-0.100414958932
ACH-000054,-0.134906135881
ACH-000055,-0.570934345208
ACH-000060,-0.222550521246
ACH-000067,-0.206661386934
ACH-000070,-0.396875619809
ACH-000075,-0.14124723123400001
ACH-000078,-0.519856163884
ACH-000082,-0.17359954102800002
ACH-000085,-0.275779877904
ACH-000086,0.0672627040329
ACH-000087,-0.271355328332
ACH-000092,-0.208705010711
ACH-000095,-0.416119949107
ACH-000097,-0.6134755557399999
ACH-000098,-0.07853611482219999
ACH-000099,-0.364947409859
ACH-000108,-0.37651299815800005
ACH-000113,-0.304022180706
ACH-000115,-1.05177684154
ACH-000116,-0.6752037384080001
ACH-000118,-0.077075230764
ACH-000120,-0.147628645089
ACH-000123,-0.410912486053
ACH-000127,-0.20785583437
ACH-000128,-0.279597965493
ACH-000132,-0.100737539199
ACH-000133,-0.224464435838
ACH-000137,0.0853962930487
ACH-000138,-0.195339924713
ACH-000142,0.0764712062588
ACH-000143,-0.0695906712103
ACH-000146,-0.336581704414
ACH-000148,-0.203054615406
ACH-000150,-0.0786003208121
ACH-000152,-0.012432177464299999
ACH-000153,-0.664507889708
ACH-000159,-0.0853495467468
ACH-000160,0.156580674709
ACH-000163,-0.018438075033900003
ACH-000167,0.6008376713979999
ACH-000168,-0.160370944559
ACH-000169,-0.32768814391600004
ACH-000178,-0.44493272765
ACH-000182,-0.358062721584
ACH-000183,-0.0210809666133
ACH-000188,-0.385533981966
ACH-000189,-0.043567851007900005
ACH-000190,-0.060350849932
ACH-000198,-0.564829256993
ACH-000204,-0.17906534792
ACH-000206,0.0290034955089
ACH-000207,0.151658574739
ACH-000211,-0.183508420268
ACH-000215,-0.553453709855
ACH-000221,-0.140292501849
ACH-000222,-0.23982663823699998
ACH-000223,-0.260789626908
ACH-000226,-0.288587700877
ACH-000227,-0.21745651964600002
ACH-000228,-0.04980126284730001
ACH-000231,0.012117009787899998
ACH-000232,-0.374493164389
ACH-000233,-0.0857768601241
ACH-000234,-0.2867407853
ACH-000235,0.006644394622279999
ACH-000237,-0.119216944189
ACH-000238,0.187503786608
ACH-000243,-0.20539668575300002
ACH-000244,-0.552208114542
ACH-000246,-0.45099633455300003
ACH-000248,-0.44766859206500004
ACH-000250,-0.41842336217799997
ACH-000251,-0.417976312801
ACH-000253,-0.29976441563
ACH-000255,-0.19372693044300002
ACH-000256,-0.184018440403
ACH-000257,-0.530649303257
ACH-000258,0.0820212365727
ACH-000259,-0.39590194355999997
ACH-000260,-0.0509967257446
ACH-000261,0.0261680693102
ACH-000262,-0.40459537096500003
ACH-000263,-0.250319764962
ACH-000264,-0.39212115118100005
ACH-000265,-0.0817330116107
ACH-000266,-0.0675202838219
ACH-000272,0.06355648621650001
ACH-000273,-0.225377159625
ACH-000274,0.0804092364413
ACH-000277,-0.479619905538
ACH-000278,-0.196618327503
ACH-000279,-0.35161257891099995
ACH-000280,-0.208894581852
ACH-000281,-0.41213621073
ACH-000288,-0.397428813536
ACH-000291,-0.46166720741800005
ACH-000293,-0.15980380012
ACH-000294,-0.10697915909399999
ACH-000295,-0.34691475128300003
ACH-000296,-0.461735877235
ACH-000302,-0.128537194436
ACH-000304,-0.0957373029425
ACH-000307,-0.0989713211026
ACH-000308,-0.273681446236
ACH-000310,-0.407570584236
ACH-000311,-0.06527219286949999
ACH-000312,-0.31578554831
ACH-000315,0.23099246770999998
ACH-000316,0.0193609369195
ACH-000317,-0.45632899516900005
ACH-000318,-0.0742042913062
ACH-000319,-0.0299462219651
ACH-000320,0.0422501029567
ACH-000322,-0.387894549628
ACH-000323,-0.08020683611710001
ACH-000324,-0.391556881547
ACH-000329,-0.280182781739
ACH-000330,-0.467228855288
ACH-000331,-0.37902544943899996
ACH-000332,-0.27128150449099997
ACH-000334,-0.0981314824036
ACH-000335,-0.08541862159210001
ACH-000336,-0.476348228456
ACH-000337,-0.111036833584
ACH-000339,-0.248370196979
ACH-000341,-0.519038623416
ACH-000348,-0.203447169901
ACH-000350,-0.422015119713
ACH-000352,-0.30735665115899996
ACH-000356,-0.518029495631
ACH-000361,-0.538237368852
ACH-000362,-0.538109938439
ACH-000363,-0.339354710405
ACH-000364,-0.393863298796
ACH-000365,0.0733308305671
ACH-000366,-0.29084853301999997
ACH-000368,-0.121614464527
ACH-000374,-0.45303211716799996
ACH-000375,-0.358756070379
ACH-000376,0.040054419990800005
ACH-000381,-0.32965539969999996
ACH-000383,-0.203618253341
ACH-000387,-0.354786614181
ACH-000389,-0.46649685243199995
ACH-000390,-0.29615538795400004
ACH-000393,-0.200899569233
ACH-000395,-0.42037205354
ACH-000397,-0.384740688024
ACH-000401,-0.182731513334
ACH-000402,-0.6202867631050001
ACH-000403,-0.341311961674
ACH-000404,-0.309679579387
ACH-000406,-0.19633107184999998
ACH-000407,-0.19195992569200002
ACH-000408,0.21532198651099999
ACH-000410,-0.369124713664
ACH-000411,-0.08409563761810002
ACH-000414,-0.260130044244
ACH-000415,-0.111548556689
ACH-000416,-0.35962078053
ACH-000420,-0.074024400576
ACH-000421,-0.166005603463
ACH-000424,0.314433699362
ACH-000425,-0.3195545306
ACH-000426,-0.385720896715
ACH-000427,-0.218425303026
ACH-000433,0.014648687049399998
ACH-000436,-0.322643449824
ACH-000444,-0.6604325080879999
ACH-000445,-0.222499487127
ACH-000448,-0.155634514906
ACH-000450,-0.119929637504
ACH-000452,-0.434609761172
ACH-000454,-0.38375332039000004
ACH-000458,-0.21368351477800002
ACH-000459,-0.704734029064
ACH-000460,-0.224063987601
ACH-000461,-0.189749144234
ACH-000463,-0.146695532781
ACH-000464,-0.158446572808
ACH-000466,0.264124989026
ACH-000467,-0.27968007296799996
ACH-000468,-0.459885303447
ACH-000469,-0.15625224892200001
ACH-000470,-0.29343152971
ACH-000471,-0.305071685815
ACH-000472,-0.10378785481000001
ACH-000473,-0.014142124735299999
ACH-000475,-0.335379438781
ACH-000476,-0.201656913897
ACH-000477,-0.569341366324
ACH-000480,-0.20042223574
ACH-000481,-0.36732655929700003
ACH-000483,-0.564222978054
ACH-000484,-0.213100398479
ACH-000485,-0.0700026928221
ACH-000486,-0.33194302504
ACH-000487,-0.46863289008500003
ACH-000488,-0.375727259827
ACH-000490,0.0164684512606
ACH-000491,-0.21370473838799997
ACH-000495,-0.266347241116
ACH-000496,-0.29164900874099997
ACH-000499,-0.384679144512
ACH-000500,-0.5360521895229999
ACH-000502,-0.534593855204
ACH-000503,-0.265947087702
ACH-000505,-0.20591055007800002
ACH-000507,-0.348659608723
ACH-000510,-0.379891909235
ACH-000511,-0.408209527836
ACH-000512,-0.290268519741
ACH-000516,-0.172098795723
ACH-000517,-0.409147303568
ACH-000518,-0.136663702827
ACH-000520,-0.265203460911
ACH-000521,-0.35834552275700005
ACH-000522,-0.32562771827500003
ACH-000524,-0.49568079501100004
ACH-000527,-0.46078036682499995
ACH-000528,-0.138781641783
ACH-000537,-0.20405021106
ACH-000541,-0.07869536564289999
ACH-000542,-0.196077844063
ACH-000544,-0.413528105281
ACH-000545,-0.288054785
ACH-000547,-0.20836529666200002
ACH-000548,-0.249533141288
ACH-000549,-0.043182124424099994
ACH-000550,-0.188041051828
ACH-000552,-0.304754509721
ACH-000556,-0.13987061681
ACH-000557,-0.593846366883
ACH-000570,-0.021502491309099998
ACH-000571,0.122799914526
ACH-000573,-0.218055984181
ACH-000576,-0.433501065285
ACH-000580,-0.9935552368870001
ACH-000584,-0.243006001432
ACH-000585,0.0679266590191
ACH-000588,-0.137241274036
ACH-000589,-0.460182343812
ACH-000591,0.00239211228754
ACH-000593,-0.42342657010300006
ACH-000600,-0.376369518097
ACH-000601,-0.5412584125550001
ACH-000604,-0.48272238428
ACH-000605,-0.129720411433
ACH-000606,-0.31369300889699997
ACH-000608,-0.221074960957
ACH-000614,0.00863277418761
ACH-000616,-0.293302416576
ACH-000618,-0.141022598237
ACH-000619,-0.263420430603
ACH-000620,-0.5411212195399999
ACH-000621,-0.20734218252099998
ACH-000622,-0.414114689393
ACH-000623,-0.581997680991
ACH-000624,0.0145335352265
ACH-000627,-0.0969234660946
ACH-000630,0.020231012727299998
ACH-000632,0.055326746999399996
ACH-000633,-0.365449661638
ACH-000637,-0.0296780157141
ACH-000638,-0.291013541467
ACH-000646,-0.6857445044789999
