,CHURC1 (91612)
ACH-000004,-0.0160063524602
ACH-000007,-0.204402645536
ACH-000009,-0.133211770931
ACH-000011,-0.351193996118
ACH-000012,-0.15104240353499998
ACH-000013,-0.292428013075
ACH-000014,-0.250237464632
ACH-000015,-0.102835532626
ACH-000017,-0.185525825656
ACH-000018,-0.177792201135
ACH-000019,-0.361961529196
ACH-000021,-0.118686883155
ACH-000022,-0.170475828145
ACH-000025,-0.11269700350600001
ACH-000028,-0.07765284684899999
ACH-000030,-0.23595377403499998
ACH-000035,-0.08929975479
ACH-000036,-0.19034614835299998
ACH-000037,-0.35378085884000005
ACH-000039,0.0568010926956
ACH-000040,-0.09514282178710001
ACH-000041,-0.175183132531
ACH-000042,-0.145492933459
ACH-000045,0.08707109573899999
ACH-000047,-0.136952608419
ACH-000052,-0.145275192393
ACH-000053,-0.134917644595
ACH-000054,-0.319623328074
ACH-000055,0.013719854467299999
ACH-000060,-0.451349605084
ACH-000067,-0.16908663476
ACH-000070,-0.129532437089
ACH-000075,-0.256007611354
ACH-000078,-0.10927652310999998
ACH-000082,-0.328870559091
ACH-000085,-0.159397280191
ACH-000086,-0.236360185739
ACH-000087,-0.324241678575
ACH-000092,-0.20531347061900002
ACH-000095,-0.251880043374
ACH-000097,-0.173922605728
ACH-000098,-0.145744770179
ACH-000099,-0.19529745151500003
ACH-000108,-0.0644612107384
ACH-000113,-0.147298622449
ACH-000115,-0.0816618700438
ACH-000116,-0.140392157042
ACH-000118,-0.267248609203
ACH-000120,-0.106901196906
ACH-000123,-0.221336832133
ACH-000127,-0.112754111417
ACH-000128,-0.170661392684
ACH-000132,-0.251763135572
ACH-000133,-0.35192424873899997
ACH-000137,-0.0505044752611
ACH-000138,-0.15655373481899998
ACH-000142,-0.15149297663
ACH-000143,-0.11269270491399999
ACH-000146,-0.11229305217499999
ACH-000148,-0.211920077949
ACH-000150,-0.0821014867012
ACH-000152,-0.164024909828
ACH-000153,-0.126237284507
ACH-000159,-0.29085583738000004
ACH-000160,-0.319482765095
ACH-000163,-0.176368521922
ACH-000167,-0.390638273477
ACH-000168,-0.329225673518
ACH-000169,-0.166489045273
ACH-000178,-0.18968896844900002
ACH-000182,-0.195040172808
ACH-000183,-0.267655681836
ACH-000188,-0.11755291778100001
ACH-000189,-0.88241112285
ACH-000190,-0.16221077120400001
ACH-000198,-0.210429767167
ACH-000204,-0.319013709539
ACH-000206,-0.48681525423600003
ACH-000207,-0.252905917379
ACH-000211,-0.20544507424800001
ACH-000215,-0.212287485079
ACH-000221,-0.09368947062920001
ACH-000222,0.309445704853
ACH-000223,-0.31450058247699997
ACH-000226,-0.14082131571599998
ACH-000227,-0.258192087598
ACH-000228,-0.00419807165969
ACH-000231,-0.29861614681
ACH-000232,-0.202125902157
ACH-000233,-0.177787934824
ACH-000234,-0.043972734007900006
ACH-000235,-0.12359588365700001
ACH-000237,0.0159315815444
ACH-000238,-0.420859363518
ACH-000243,-0.192262924468
ACH-000244,-0.0334716035064
ACH-000246,-0.160088831817
ACH-000248,-0.25840126562800003
ACH-000250,-0.176945721428
ACH-000251,-0.40718503664300004
ACH-000253,-0.142517406801
ACH-000255,-0.127990173401
ACH-000256,-0.277524134487
ACH-000257,-0.19086870578200002
ACH-000258,0.22875121321800002
ACH-000259,-0.15367293854800002
ACH-000260,-0.261128232614
ACH-000261,-0.302403537306
ACH-000262,0.0244904672165
ACH-000263,-0.18288136796
ACH-000264,-0.291640326551
ACH-000265,-0.0894879543214
ACH-000266,-0.247462423661
ACH-000272,-0.279646106963
ACH-000273,-0.17425995260299998
ACH-000274,-0.18884956394299998
ACH-000277,-0.160596273815
ACH-000278,-0.23062954889899998
ACH-000279,-0.25901012631299997
ACH-000280,-0.11513085915799999
ACH-000281,0.00129135016866
ACH-000288,-0.18290998801
ACH-000291,-0.180244726256
ACH-000293,-0.08804800642239999
ACH-000294,-0.245807462991
ACH-000295,0.170249003202
ACH-000296,0.026433575891299996
ACH-000302,-0.10268933264499999
ACH-000304,0.049336742157
ACH-000307,-0.213866093427
ACH-000308,-0.16669625305500002
ACH-000310,-0.40776580415799996
ACH-000311,-0.19395162627700002
ACH-000312,-0.220366856932
ACH-000315,0.0577706779882
ACH-000316,-0.19758081433
ACH-000317,-0.232485700843
ACH-000318,-0.133287044724
ACH-000319,-0.327898451757
ACH-000320,-0.164940861076
ACH-000322,-0.213556231769
ACH-000323,-0.185853447925
ACH-000324,-0.250719053697
ACH-000329,-0.20539233489999997
ACH-000330,-0.067969085341
ACH-000331,-0.0845631696067
ACH-000332,-0.270262547454
ACH-000334,-0.111119293945
ACH-000335,-0.214595418033
ACH-000336,-0.448724456479
ACH-000337,-0.324762177879
ACH-000339,-0.38474039936399995
ACH-000341,-0.42124927600999995
ACH-000348,-0.0988792380517
ACH-000350,-0.0599636184344
ACH-000352,-0.17721284465700002
ACH-000356,-0.278940721959
ACH-000361,-0.0794648733452
ACH-000362,-0.094568186971
ACH-000363,-0.14977850420999997
ACH-000364,-0.22574094566199998
ACH-000365,-0.0140706247099
ACH-000366,-0.0522947421282
ACH-000368,-0.23968431494800002
ACH-000374,-0.10480218534
ACH-000375,-0.0928713933089
ACH-000376,-0.130276735906
ACH-000381,-0.062072329464699996
ACH-000383,-0.18730935822099998
ACH-000387,-0.0963436020762
ACH-000389,-0.490844938337
ACH-000390,-0.10142322864299999
ACH-000393,-0.221253625255
ACH-000395,-0.027135727561599998
ACH-000397,-0.311409724294
ACH-000401,-0.136133260557
ACH-000402,-0.0346251802026
ACH-000403,-0.263822003004
ACH-000404,-0.14664893189099998
ACH-000406,-0.13274744143699999
ACH-000407,-0.343427913043
ACH-000408,-0.302218027958
ACH-000410,-0.176370389916
ACH-000411,-0.213535873068
ACH-000414,-0.09971013787180001
ACH-000415,-0.273048144261
ACH-000416,-0.165168089371
ACH-000420,-0.15588066371099998
ACH-000421,-0.0920177179856
ACH-000424,-0.161777740743
ACH-000425,-0.252469280191
ACH-000426,-0.17572624738099998
ACH-000427,-0.398809968212
ACH-000433,-0.190178263304
ACH-000436,-0.0608972656936
ACH-000444,-0.171947301105
ACH-000445,-0.22023933783000005
ACH-000448,-0.237955088825
ACH-000450,-0.0887641465694
ACH-000452,-0.259395803571
ACH-000454,-0.339950386374
ACH-000458,-0.191130233529
ACH-000459,-0.0683942624275
ACH-000460,-0.166372381496
ACH-000461,-0.166588621782
ACH-000463,-0.253849258951
ACH-000464,-0.127010476205
ACH-000466,-0.128239829024
ACH-000467,-0.18775420267999998
ACH-000468,-0.119723252962
ACH-000469,-0.31915534798
ACH-000470,-0.0825336215886
ACH-000471,-0.133010842003
ACH-000472,-0.423347465075
ACH-000473,-0.276084987687
ACH-000475,-0.115555419494
ACH-000476,-0.179463777885
ACH-000477,-0.184699535974
ACH-000480,-0.21735536980200001
ACH-000481,-0.38753562984800005
ACH-000483,-0.0265094061066
ACH-000484,-0.201754754375
ACH-000485,-0.12228355004699999
ACH-000486,-0.219254398082
ACH-000487,-0.0309594847744
ACH-000488,-0.18343881682100002
ACH-000490,-0.23146687176999997
ACH-000491,-0.275825160743
ACH-000495,-0.127344496401
ACH-000496,-0.07439962576550001
ACH-000499,-0.269268217219
ACH-000500,-0.252864212568
ACH-000502,-0.183786759049
ACH-000503,0.033989090440700004
ACH-000505,-0.23170264885699998
ACH-000507,-0.315628071999
ACH-000510,-0.026215912014200003
ACH-000511,-0.115455100164
ACH-000512,-0.231341704352
ACH-000516,-0.14428776289200002
ACH-000517,-0.18024662048700002
ACH-000518,-0.12963956989
ACH-000520,-0.246282261724
ACH-000521,-0.21102009322999998
ACH-000522,-0.18365309327100002
ACH-000524,-0.129212527987
ACH-000527,-0.168491666679
ACH-000528,-0.336820268056
ACH-000537,-0.032958447365000004
ACH-000541,-0.18285059502
ACH-000542,-0.32440322826900003
ACH-000544,-0.183158338051
ACH-000545,-0.276844384889
ACH-000547,-0.05834322399809999
ACH-000548,-0.19621511134199998
ACH-000549,-0.16867898478100002
ACH-000550,-0.24608060860800002
ACH-000552,-0.10815481559699999
ACH-000556,-0.200468437109
ACH-000557,-0.108783755749
ACH-000570,-0.171604349386
ACH-000571,-0.33730340288599997
ACH-000573,-0.124159031273
ACH-000576,-0.324048354429
ACH-000580,-0.011402056738
ACH-000584,-0.220666308335
ACH-000585,-0.271119032297
ACH-000588,0.0594356289453
ACH-000589,-0.21311612498399998
ACH-000591,-0.33237254602099997
ACH-000593,-0.108437838929
ACH-000600,-0.287277831239
ACH-000601,-0.17084343638799998
ACH-000604,0.0139355873251
ACH-000605,-0.328595445072
ACH-000606,-0.39869291737499996
ACH-000608,-0.14838480926
ACH-000614,-0.012401738463
ACH-000616,-0.115481071864
ACH-000618,-0.176845875558
ACH-000619,-0.0833385292558
ACH-000620,-0.26407678126999995
ACH-000621,-0.15024305267000002
ACH-000622,-0.257470697576
ACH-000623,-0.25715737023699997
ACH-000624,-0.210147475405
ACH-000627,-0.304303766049
ACH-000630,-0.2606681296
ACH-000632,-0.214592073964
ACH-000633,-0.10146405184900001
ACH-000637,-0.123513139429
ACH-000638,-0.178480845942
ACH-000646,-0.155839187432
ACH-000647,-0.14531757902200002
ACH-000648,-0.0365074146046
ACH-000649,-0.144214772534
ACH-000651,-0.195902742046
ACH-000652,-0.0045164536703999995
ACH-000653,-0.12835180646
ACH-000657,-0.139688985332
ACH-000658,-0.116808518857
ACH-000661,-0.150596329763
ACH-000662,-0.161247046754
ACH-000663,-0.10836206335899999
ACH-000665,-0.276937252218
ACH-000671,-0.130242392072
ACH-000673,-0.25572876086999996
ACH-000676,-0.127901646702
ACH-000677,-0.18648813922000002
ACH-000681,-0.127592360823
ACH-000682,-0.09585768377489999
ACH-000683,-0.103517353513
ACH-000684,-0.035743415653900004
ACH-000688,-0.138778034294
ACH-000693,-0.132435322285
ACH-000694,-0.19193327480900002
ACH-000695,-0.366126247946
