,SOWAHC (65124)
ACH-000004,-0.266960311444
ACH-000007,-0.08127261130510001
ACH-000009,-0.206124311806
ACH-000011,-0.27571669632
ACH-000012,-0.0405313047013
ACH-000013,-0.127602654046
ACH-000014,-0.133243689426
ACH-000015,-0.0948512893584
ACH-000017,-0.223862286897
ACH-000018,-0.161912203255
ACH-000019,-0.413316113876
ACH-000021,0.0146600017224
ACH-000022,-0.15030158205299998
ACH-000025,-0.143683460162
ACH-000028,-0.169383163548
ACH-000030,-0.269817548863
ACH-000035,-0.44118127482
ACH-000036,-0.264939989166
ACH-000037,-0.16907463235999998
ACH-000039,-0.430997161758
ACH-000040,-0.166680238711
ACH-000041,-0.141718115676
ACH-000042,-0.17045777007
ACH-000045,-0.17312080793600002
ACH-000047,-0.152161163376
ACH-000052,-0.249075668198
ACH-000053,-0.0764401324675
ACH-000054,-0.308848068893
ACH-000055,-0.00877540310016
ACH-000060,-0.245560811613
ACH-000067,-0.246517305647
ACH-000070,-0.17415136198800002
ACH-000075,-0.168806089717
ACH-000078,-0.177437544237
ACH-000082,-0.253066515249
ACH-000085,-0.17598344019200002
ACH-000086,-0.0372950778656
ACH-000087,-0.214544348451
ACH-000092,-0.40197215184600005
ACH-000095,-0.12374600876700001
ACH-000097,-0.291860999388
ACH-000098,-0.280053519084
ACH-000099,-0.0815353571031
ACH-000108,-0.352315969756
ACH-000113,-0.0351825112806
ACH-000115,-0.113189122851
ACH-000116,-0.146924912239
ACH-000118,-0.14332201398299999
ACH-000120,-0.170325553563
ACH-000123,-0.250177931184
ACH-000127,-0.31795253828000003
ACH-000128,-0.37571969432999996
ACH-000132,-0.33110991616
ACH-000133,-0.301341679492
ACH-000137,-0.26403639484200003
ACH-000138,-0.0352357571465
ACH-000142,-0.06604773616769999
ACH-000143,-0.19713321534699998
ACH-000146,0.00541382358596
ACH-000148,-0.0563472475918
ACH-000150,-0.216753263587
ACH-000152,-0.267195634856
ACH-000153,-0.138760837799
ACH-000159,-0.232530698227
ACH-000160,-0.400673240479
ACH-000163,-0.34660387122599995
ACH-000167,-0.0271218702502
ACH-000168,-0.395172940111
ACH-000169,-0.10667585716700001
ACH-000178,-0.330261249888
ACH-000182,-0.25500225534000004
ACH-000183,-0.307658568127
ACH-000188,-0.0895655314016
ACH-000189,-0.09163303187989999
ACH-000190,-0.335984808516
ACH-000198,-0.230109390379
ACH-000204,-0.5664171264019999
ACH-000206,-0.245042125566
ACH-000207,-0.293141210064
ACH-000211,-0.30768748589
ACH-000215,-0.357674581918
ACH-000221,-0.13539895387599998
ACH-000222,-0.14528834806
ACH-000223,-0.44864095544200006
ACH-000226,-0.305120081536
ACH-000227,-0.22870397408000004
ACH-000228,-0.309324587354
ACH-000231,-0.193487859042
ACH-000232,-0.282692247381
ACH-000233,-0.138123853573
ACH-000234,-0.19534029185600002
ACH-000235,-0.302656245118
ACH-000237,-0.160408107773
ACH-000238,-0.215831213095
ACH-000243,-0.33695288301700005
ACH-000244,-0.510157525186
ACH-000246,-0.13006621383
ACH-000248,-0.355492985858
ACH-000250,-0.199375452892
ACH-000251,-0.024385573056799996
ACH-000253,-0.316755209474
ACH-000255,-0.17049207356899998
ACH-000256,-0.0452626628929
ACH-000257,-0.0408711346265
ACH-000258,0.027096444053700004
ACH-000259,-0.182386421622
ACH-000260,-0.341317475604
ACH-000261,-0.027963883224900003
ACH-000262,-0.482651702314
ACH-000263,-0.239910536156
ACH-000264,-0.0965967675938
ACH-000265,-0.31093349341800003
ACH-000266,-0.183993906552
ACH-000272,-0.337587777926
ACH-000273,-0.202766077694
ACH-000274,-0.224915891569
ACH-000277,-0.037579024907699994
ACH-000278,-0.375165224969
ACH-000279,-0.208557579496
ACH-000280,-0.110775278038
ACH-000281,-0.042434967507300005
ACH-000288,-0.215827477763
ACH-000291,-0.339195709748
ACH-000293,-0.329438745561
ACH-000294,-0.162277336846
ACH-000295,0.132718790291
ACH-000296,-0.292968552258
ACH-000302,-0.28350338822
ACH-000304,-0.48690051941699997
ACH-000307,-0.27341843021699996
ACH-000308,-0.294801152775
ACH-000310,-0.12265382626900001
ACH-000311,0.0166633545863
ACH-000312,-0.172250367159
ACH-000315,-0.186451628712
ACH-000316,-0.244698527156
ACH-000317,-0.502309907168
ACH-000318,-0.213797370373
ACH-000319,-0.202990284924
ACH-000320,-0.0509376968325
ACH-000322,-0.145446754487
ACH-000323,-0.127577620507
ACH-000324,-0.222163120103
ACH-000329,-0.32545426292199997
ACH-000330,-0.061468266203
ACH-000331,-0.162434343856
ACH-000332,-0.193240499596
ACH-000334,-0.037790371485599994
ACH-000335,-0.656220093329
ACH-000336,-0.15374969289100002
ACH-000337,-0.29400377893199997
ACH-000339,-0.313096268309
ACH-000341,-0.302677266517
ACH-000348,-0.17242577680100002
ACH-000350,0.0880720073144
ACH-000352,-0.08811042875080001
ACH-000356,-0.145665853285
ACH-000361,-0.237171369645
