,PLA2G12A (81579)
ACH-000004,-0.36812776656999996
ACH-000007,0.132002174767
ACH-000009,-0.304764448756
ACH-000011,-0.335257194971
ACH-000012,-0.266353423568
ACH-000013,-0.244195006928
ACH-000014,-0.412999401157
ACH-000015,-0.20502492541700001
ACH-000017,-0.229764452635
ACH-000018,0.24622395204599998
ACH-000019,-0.040220966280699995
ACH-000021,-0.291884955669
ACH-000022,-0.0301291700726
ACH-000025,-0.254643516461
ACH-000028,-0.152031226533
ACH-000030,-0.17060138480999998
ACH-000035,-0.202192772887
ACH-000036,-0.167849632252
ACH-000037,-0.0388550590919
ACH-000039,-0.320386153593
ACH-000040,-0.33857369768299994
ACH-000041,-0.39260781466
ACH-000042,-0.131663760447
ACH-000045,-0.363612567443
ACH-000047,0.00552796917933
ACH-000052,-0.32574267230500004
ACH-000053,-0.159675093189
ACH-000054,-0.163722293849
ACH-000055,-0.041687245623199996
ACH-000060,-0.604424241839
ACH-000067,-0.209278981643
ACH-000070,-0.0113579254974
ACH-000075,-0.147460279143
ACH-000078,-0.6335866489459999
ACH-000082,-0.264512834419
ACH-000085,-0.07622334485669999
ACH-000086,-0.20027939410300002
ACH-000087,-0.301501695196
ACH-000092,-0.45608190836999996
ACH-000095,-0.374957532491
ACH-000097,-0.155553500662
ACH-000098,-0.30049450976799996
ACH-000099,-0.43275435130500006
ACH-000108,-0.151793391729
ACH-000113,-0.20509104446899998
ACH-000115,-0.139498439616
ACH-000116,-0.276032664221
ACH-000118,-0.0999298355104
ACH-000120,-0.109422410198
ACH-000123,-0.346542509486
ACH-000127,-0.272291110277
ACH-000128,-0.247630350429
ACH-000132,-0.45647278800700003
ACH-000133,-0.0718160294773
ACH-000137,-0.369225654461
ACH-000138,-0.129495850706
ACH-000142,-0.09239356983239999
ACH-000143,-0.315240729625
ACH-000146,-0.145731890425
ACH-000148,-0.25986732686700004
ACH-000150,-0.388991007297
ACH-000152,-0.193125231943
ACH-000153,-0.274820162105
ACH-000159,-0.283042684892
ACH-000160,-0.23251680377300002
ACH-000163,0.150935661656
ACH-000167,-0.30685281688
ACH-000168,-0.24787061471400001
ACH-000169,-0.261603491353
ACH-000178,-0.18812960635
ACH-000182,-0.0815769831425
ACH-000183,-0.168944282308
ACH-000188,-0.10400463189300001
ACH-000189,-0.594544299831
ACH-000190,-0.20605524759500002
ACH-000198,-0.264749755424
ACH-000204,-0.121701205862
ACH-000206,0.174663543319
ACH-000207,-0.21925963018300001
ACH-000211,-0.199140291073
ACH-000215,-0.27314378195
ACH-000221,-0.0697987413518
ACH-000222,0.08425425229260002
ACH-000223,-0.37032761581900003
ACH-000226,-0.167687422526
ACH-000227,-0.37138624171499995
ACH-000228,-0.137831822403
ACH-000231,-0.203967264191
ACH-000232,-0.257441203814
ACH-000233,-0.048265425685599994
ACH-000234,-0.272125647839
ACH-000235,-0.260829812233
ACH-000237,-0.19495836801
ACH-000238,-0.19729758513700002
ACH-000243,-0.213485852034
ACH-000244,-0.026493358884400003
ACH-000246,-0.27145578424600003
ACH-000248,0.07549038658360001
ACH-000250,-0.180031723003
ACH-000251,-0.329307405454
ACH-000253,-0.21966004656100002
ACH-000255,-0.252933827257
ACH-000256,-0.272807920121
ACH-000257,-0.30591774156199997
ACH-000258,-0.12141934919299999
ACH-000259,-0.07380838150380001
ACH-000260,-0.326252930955
ACH-000261,-0.16008148840800002
ACH-000262,-0.299294683638
ACH-000263,-0.053639214180800004
ACH-000264,-0.367674168054
ACH-000265,-0.24494138053000003
ACH-000266,-0.222772539116
ACH-000272,-0.31716393428
ACH-000273,-0.120147711141
ACH-000274,-0.022113358210800002
ACH-000277,-0.17324730400899999
ACH-000278,-0.107240387479
ACH-000279,-0.339112804643
ACH-000280,-0.0821357352253
ACH-000281,-0.11189510119000001
ACH-000288,-0.263962816304
ACH-000291,-0.22359529422200003
ACH-000293,-0.244649007609
ACH-000294,-0.06449806531909999
ACH-000295,-0.34976426975599995
ACH-000296,-0.44645790738799995
ACH-000302,-0.31486040304900004
ACH-000304,0.0314763915865
ACH-000307,-0.205701759725
ACH-000308,-0.25543738436200003
ACH-000310,-0.813743948287
ACH-000311,-0.126916178908
ACH-000312,-0.26248307833900003
ACH-000315,-0.20330280258699998
ACH-000316,-0.10069564231799999
ACH-000317,0.09905165157649999
ACH-000318,-0.156340532537
ACH-000319,-0.284500742932
ACH-000320,-0.318029819615
ACH-000322,-0.149327307075
ACH-000323,-0.164881578315
ACH-000324,-0.24732099234299998
ACH-000329,-0.135220632324
ACH-000330,0.0915935285638
ACH-000331,0.0337216616834
ACH-000332,-0.202246937425
ACH-000334,-0.201499709639
ACH-000335,0.00521399444072
ACH-000336,-0.20663379517000002
ACH-000337,0.134759408362
ACH-000339,-0.252890697842
ACH-000341,-0.40359699977700003
ACH-000348,-0.268360365004
ACH-000350,-0.209115458251
ACH-000352,-0.306820026969
ACH-000356,-0.213046038323
ACH-000361,-0.07294831352539999
ACH-000362,-0.275062108338
ACH-000363,0.0020141904756
ACH-000364,0.15479523453299998
ACH-000365,-0.103233881811
ACH-000366,-0.270386224773
ACH-000368,-0.39423356497400003
ACH-000374,-0.349972231003
ACH-000375,-0.40695843457099995
ACH-000376,-0.04286772484780001
ACH-000381,-0.137700981172
ACH-000383,-0.3298638923
ACH-000387,-0.512970470025
ACH-000389,-0.17178384765500002
ACH-000390,-0.20663020349300001
ACH-000393,-0.377017760454
ACH-000395,-0.367590652596
ACH-000397,-0.343695938063
ACH-000401,-0.126555535282
ACH-000402,-0.243761543707
ACH-000403,-0.19595185662999998
ACH-000404,-0.28898060580400003
ACH-000406,-0.22279630694299998
ACH-000407,-0.271990638328
ACH-000408,-0.08055822473410001
ACH-000410,-0.37763269535099997
ACH-000411,-0.23675577895
ACH-000414,-0.03530866892
ACH-000415,-0.428209796737
ACH-000416,-0.280575340806
ACH-000420,-0.380210101868
ACH-000421,-0.132115338016
ACH-000424,-0.0072831994588
ACH-000425,-0.32552250592099996
ACH-000426,-0.11774280713400001
ACH-000427,-0.5110162379450001
ACH-000433,-0.39156328520000006
ACH-000436,-0.12212256639699999
ACH-000444,-0.103536314539
ACH-000445,-0.403655847052
ACH-000448,-0.22281049466699998
ACH-000450,-0.132512519008
