,HSCB (150274)
ACH-000004,-0.652741241753
ACH-000007,-0.5025703046450001
ACH-000009,-0.884981769659
ACH-000011,-0.9635483365459999
ACH-000012,-0.851372331512
ACH-000013,-0.48419575281300004
ACH-000014,-0.7103485245540001
ACH-000015,-0.8172250777050001
ACH-000017,-0.626546792988
ACH-000018,-1.1010683743799998
ACH-000019,-0.685951391589
ACH-000021,-0.767532779763
ACH-000022,-0.706310770943
ACH-000025,-1.12356763036
ACH-000028,-0.9756213556960001
ACH-000030,-0.812431846153
ACH-000035,-0.7871124724519999
ACH-000036,-1.13831043448
ACH-000037,-0.7360905064990001
ACH-000039,-0.5647982669089999
ACH-000040,-0.9948998525180001
ACH-000041,-1.04210552502
ACH-000042,-0.48133563662
ACH-000045,-0.625745417524
ACH-000047,-0.5853797936949999
ACH-000052,-0.996732497959
ACH-000053,-0.43994672581999994
ACH-000054,-0.498278629757
ACH-000055,-0.9046738561390001
ACH-000060,-0.905814413864
ACH-000067,-0.8387329503509999
ACH-000070,-0.7841837027799999
ACH-000075,-0.540747484952
ACH-000078,-0.761467596705
ACH-000082,-0.236251025588
ACH-000085,-0.67149798192
ACH-000086,-0.497111741597
ACH-000087,-0.86262467338
ACH-000092,-0.737783462262
ACH-000095,-0.504001292114
ACH-000097,-0.511861545007
ACH-000098,-0.800162968658
ACH-000099,-0.8086840969779999
ACH-000108,-0.393237811333
ACH-000113,-0.6274199211829999
ACH-000115,-0.45535814963
ACH-000116,-0.513113567146
ACH-000118,-0.629289196222
ACH-000120,-0.7458448945110001
ACH-000123,-0.693652842809
ACH-000127,-0.740710750432
ACH-000128,-0.902224495067
ACH-000132,-0.735671355896
ACH-000133,-1.00644104391
ACH-000137,-0.912484940996
ACH-000138,-0.476034383881
ACH-000142,-0.954792614902
ACH-000143,-0.780128031832
ACH-000146,-0.35107196556000003
ACH-000148,-0.905209451575
ACH-000150,-0.708509315695
ACH-000152,-1.11754893655
ACH-000153,-0.850991798155
ACH-000159,-0.536845019257
ACH-000160,-0.81281445704
ACH-000163,-0.877400905646
ACH-000167,-1.1434642712
ACH-000168,-0.37455111318800005
ACH-000169,-0.9126292392280001
ACH-000178,-0.591093166626
ACH-000182,-0.306621717616
ACH-000183,-0.478182126028
ACH-000188,-0.94019860514
ACH-000189,-1.11506368001
ACH-000190,-0.978968180976
ACH-000198,-0.292357929146
ACH-000204,-0.47661663020499995
ACH-000206,-0.8220936179170001
ACH-000207,-0.624133218039
ACH-000211,-0.70433116264
ACH-000215,-0.8896993958689999
ACH-000221,-0.8326219035169999
ACH-000222,-0.577014446938
ACH-000223,-0.84929819858
ACH-000226,-0.995598335535
ACH-000227,-1.07874541924
ACH-000228,-0.631140769042
ACH-000231,-1.1373274260200001
ACH-000232,-0.7113153758640001
ACH-000233,-0.366460469427
ACH-000234,-0.374959480533
ACH-000235,-0.676557436757
ACH-000237,-1.1517706674500001
ACH-000238,-0.903647523274
ACH-000243,-0.767877878863
ACH-000244,-0.8953979027500001
ACH-000246,-0.86175334589
ACH-000248,-0.5791735720929999
ACH-000250,-0.640834887312
ACH-000251,-0.717828690419
ACH-000253,-0.624348341758
ACH-000255,-0.68647162593
ACH-000256,-0.74127346757
ACH-000257,-0.681202637862
ACH-000258,-0.752261123072
ACH-000259,-0.457259767454
ACH-000260,-0.737230296796
ACH-000261,-0.629957123053
ACH-000262,-0.8606273922509999
ACH-000263,-0.221615919775
ACH-000264,-0.37788400511799997
ACH-000265,-0.813319739982
ACH-000266,-0.22573507094099998
ACH-000272,-0.795147518681
ACH-000273,-0.901275834506
ACH-000274,-0.404173662404
ACH-000277,-0.6026851007039999
ACH-000278,-1.03096732905
ACH-000279,-0.7913724569089999
ACH-000280,-0.9616551895309999
ACH-000281,-0.667348217803
ACH-000288,-1.04151793919
ACH-000291,-0.8329135048090001
ACH-000293,-0.500882673658
ACH-000294,-0.357469625004
ACH-000295,-0.595184677258
ACH-000296,-1.01799452699
ACH-000302,-0.8546342975110001
ACH-000304,-0.5309907087210001
ACH-000307,-0.768274622251
ACH-000308,-0.530130712664
ACH-000310,-0.462854508776
ACH-000311,-0.46132985670599996
ACH-000312,-0.66055933478
ACH-000315,-0.733636206036
ACH-000316,-0.604835850409
ACH-000317,-1.00435597545
ACH-000318,-0.651400281897
ACH-000319,-1.00565928637
ACH-000320,-0.8201337724
ACH-000322,-0.625918297451
ACH-000323,-1.01002486063
ACH-000324,-0.8351663981899999
ACH-000329,-0.986106969875
ACH-000330,-0.759395592685
ACH-000331,-0.9185807399979999
ACH-000332,-0.836899399968
ACH-000334,-0.32034119280900003
ACH-000335,-0.913085329228
ACH-000336,-0.8311729307060001
ACH-000337,-0.661480595122
ACH-000339,-0.918603351918
ACH-000341,-0.7539616158750001
ACH-000348,-0.819234079092
ACH-000350,-0.487516610747
ACH-000352,-0.551195936063
ACH-000356,-1.00069949084
ACH-000361,-0.69259472358
ACH-000362,-0.49725166664
ACH-000363,-0.297100274209
ACH-000364,-0.7612670801450001
ACH-000365,-0.874736236494
ACH-000366,-0.796218279999
ACH-000368,-0.9608457103139999
ACH-000374,-0.169562827388
ACH-000375,-0.70423873968
ACH-000376,-0.9218800700669999
ACH-000381,-0.25584804912
ACH-000383,-0.454190020515
ACH-000387,-0.508382185173
ACH-000389,-1.04909577264
ACH-000390,-0.37799173282799997
ACH-000393,-0.637732847025
ACH-000395,-0.7086495068449999
ACH-000397,-0.42089934651199995
ACH-000401,-0.7406298134270001
ACH-000402,-1.0706547580299999
ACH-000403,-0.44159258971299997
ACH-000404,-0.6396708535369999
ACH-000406,-0.601509429837
ACH-000407,-0.787431938554
ACH-000408,-0.798681678481
ACH-000410,-0.823124051631
ACH-000411,-0.512437479068
ACH-000414,-0.162235433892
ACH-000415,-0.867552597602
ACH-000416,-0.9186560621940001
ACH-000420,-0.508942764819
ACH-000421,-0.964229597896
ACH-000424,-0.868508524606
ACH-000425,-0.571888372395
ACH-000426,-0.914272456396
ACH-000427,-0.39625944365000004
ACH-000433,-0.7308853123019999
ACH-000436,-0.481797843846
ACH-000444,-0.645502950251
ACH-000445,-0.762478662357
ACH-000448,-0.858514327728
ACH-000450,-0.8380224582529999
ACH-000452,-0.845955486303
ACH-000454,-1.0289238674299999
ACH-000458,-0.8704163110250001
ACH-000459,-1.24713581507
ACH-000460,-0.6718321585439999
