,RCAN2 (10231)
ACH-000004,0.17881519783
ACH-000007,-0.132353169793
ACH-000009,0.020266520017799997
ACH-000011,-0.08652150324110001
ACH-000012,-0.020969717492299998
ACH-000013,-0.0147706257553
ACH-000014,-0.044962935199699995
ACH-000015,-5.93429012775e-05
ACH-000017,0.013644769349200002
ACH-000018,-0.171247959599
ACH-000019,-0.0862474339478
ACH-000021,-0.0168662248344
ACH-000022,0.0675561386017
ACH-000025,0.030156577701099998
ACH-000028,-0.254965036816
ACH-000030,-0.0649235167664
ACH-000035,-0.0475506308668
ACH-000036,0.107213257327
ACH-000037,0.27127095196400003
ACH-000039,0.029115641173299997
ACH-000040,0.07342000867439999
ACH-000041,0.109830772507
ACH-000042,0.0337678934404
ACH-000045,-0.03716879164069999
ACH-000047,-0.09332568102060002
ACH-000052,-0.331610273573
ACH-000053,-0.046701382976599995
ACH-000054,-0.0321205345226
ACH-000055,-0.21109886949499998
ACH-000060,0.09884776628010002
ACH-000067,-0.028766047368299998
ACH-000070,0.07158998784839998
ACH-000075,-0.217193031874
ACH-000078,0.04746386433540001
ACH-000082,-0.104509941061
ACH-000085,0.110023358906
ACH-000086,0.0200274971995
ACH-000087,-0.244277505819
ACH-000092,0.0971798560036
ACH-000095,-0.0418625413379
ACH-000097,-0.0179648280007
ACH-000098,0.0200559164633
ACH-000099,0.0623302264078
ACH-000108,0.0316814556053
ACH-000113,-0.0334438999827
ACH-000115,0.227308018608
ACH-000116,0.010482739679
ACH-000118,-0.123335196835
ACH-000120,0.0358283516858
ACH-000123,-0.040988394555300005
ACH-000127,-0.025017335930599998
ACH-000128,-0.20336958754099999
ACH-000132,-0.024303328730700003
ACH-000133,0.153565710433
ACH-000137,0.0894379855359
ACH-000138,-0.114617692626
ACH-000142,-0.025590052207400002
ACH-000143,0.0940255838214
ACH-000146,0.027680480601
ACH-000148,0.0670028355085
ACH-000150,-0.00595625958477
ACH-000152,-0.0295661500005
ACH-000153,0.038899849178599996
ACH-000159,-0.0561025714105
ACH-000160,-0.09710432915439998
ACH-000163,-0.10996812487600001
ACH-000167,-0.0366558920525
ACH-000168,0.0014354934624100002
ACH-000169,0.0603363878034
ACH-000178,-0.18345720287700001
ACH-000182,-0.155627845114
ACH-000183,-0.127834705078
ACH-000188,0.044366715595199994
ACH-000189,0.289926190364
ACH-000190,-0.21068904485999998
ACH-000198,-0.118062942334
ACH-000204,-0.390473630879
ACH-000206,-0.108091935849
ACH-000207,-0.331630116644
ACH-000211,0.121672508611
ACH-000215,0.0394321522529
ACH-000221,0.00031319812943799997
ACH-000222,-0.203549794929
ACH-000223,-0.244610828917
ACH-000226,-0.029450885459599997
ACH-000227,-0.0926551068083
ACH-000228,-0.190202483437
ACH-000231,0.0061133741200699995
ACH-000232,-0.028733464350299998
ACH-000233,-0.150292908106
ACH-000234,0.047889615231699996
ACH-000235,0.0240209262725
ACH-000237,-0.00510436574571
ACH-000238,-0.1399525469
ACH-000243,-0.10812352239499999
ACH-000244,0.0443174747558
ACH-000246,-0.006459733332189999
ACH-000248,-0.134821316864
ACH-000250,-0.0488561229543
ACH-000251,-0.181702688281
ACH-000253,0.105687148127
ACH-000255,0.07792702213060002
ACH-000256,-0.0625095481334
ACH-000257,-0.00298692118633
ACH-000258,-0.157606299353
ACH-000259,-0.108324929117
ACH-000260,-0.0141197278179
ACH-000261,-0.07021381541760001
ACH-000262,-0.0516020409684
ACH-000263,-0.223401970724
ACH-000264,-0.08635056126480001
ACH-000265,-0.20261407079500002
ACH-000266,-0.031628701976099995
ACH-000272,-0.122986494416
ACH-000273,-0.0147424001731
ACH-000274,0.260671199812
ACH-000277,-0.0697559641382
