,STT3B (201595)
ACH-000004,-0.278789808262
ACH-000007,-0.486476286675
ACH-000009,-0.23243335526
ACH-000011,-0.99767066521
ACH-000012,-0.306371817439
ACH-000013,-0.25924603844
ACH-000014,-0.749627683663
ACH-000015,-0.593164251859
ACH-000017,-0.555070575874
ACH-000018,-0.651024730936
ACH-000019,-0.159198781181
ACH-000021,-0.137928477183
ACH-000022,-0.458757257719
ACH-000025,-0.536601250194
ACH-000028,-0.29527545504999997
ACH-000030,-0.45044319816600004
ACH-000035,-0.18404909321600002
ACH-000036,-0.395149144172
ACH-000037,-0.23351122815900002
ACH-000039,-0.45600093564099997
ACH-000040,-0.528120788571
ACH-000041,-0.16752994166
ACH-000042,-0.6062373870409999
ACH-000045,-0.35959086274
ACH-000047,-0.653439591307
ACH-000052,-0.345478528543
ACH-000053,-0.672033866892
ACH-000054,-0.309008793263
ACH-000055,-0.209813928303
ACH-000060,-0.440564796669
ACH-000067,-0.253045217718
ACH-000070,-0.095887149625
ACH-000075,-0.668476086202
ACH-000078,-0.297965686394
ACH-000082,-0.188829633881
ACH-000085,-0.137919090967
ACH-000086,-0.511494815735
ACH-000087,-0.304486317481
ACH-000092,-0.38648899324
ACH-000095,-0.290272570989
ACH-000097,-0.34490708990900004
ACH-000098,-0.708729075128
ACH-000099,-0.533628662931
ACH-000108,-0.697660094122
ACH-000113,-0.5233067529259999
ACH-000115,-0.15235221151699999
ACH-000116,-0.322140027845
ACH-000118,-0.35623585965300003
ACH-000120,-0.0298507825477
ACH-000123,-0.42748561110600003
ACH-000127,-0.497152540604
ACH-000128,-0.601896629342
ACH-000132,-0.600240766466
ACH-000133,-0.36175824072499996
ACH-000137,-0.5199997525410001
ACH-000138,-0.30245516799000005
ACH-000142,-0.313715276689
ACH-000143,-0.510872053304
ACH-000146,-0.511989431949
ACH-000148,-0.370242231795
ACH-000150,-0.496492424229
ACH-000152,-0.451963653073
ACH-000153,-0.332354317206
ACH-000159,-0.47003090925499996
ACH-000160,-0.324703970808
ACH-000163,-0.0708078478648
ACH-000167,-0.715855124873
ACH-000168,-0.440617473252
ACH-000169,-0.301843815372
ACH-000178,-0.467187973008
ACH-000182,-0.435504727931
ACH-000183,-1.1734632103799998
ACH-000188,-0.246761366561
ACH-000189,-0.686942913013
ACH-000190,-0.11779892068600001
ACH-000198,-0.106282534092
ACH-000204,-0.195700725984
ACH-000206,-0.478258875368
ACH-000207,-0.45928958232699996
ACH-000211,-0.486416994157
ACH-000215,-0.28992001468600004
ACH-000221,-0.318568394263
ACH-000222,-0.371857903319
ACH-000223,-0.250576377541
ACH-000226,-0.846844673009
ACH-000227,-0.40835409994499994
ACH-000228,-0.380087623477
ACH-000231,-0.37425673753300004
ACH-000232,-0.507118002442
ACH-000233,-0.428204049533
ACH-000234,-0.526157275308
ACH-000235,-0.5745894639810001
ACH-000237,-0.370532332099
ACH-000238,-0.487360720021
ACH-000243,-0.360173657723
ACH-000244,-0.420476751336
ACH-000246,-0.639513941628
ACH-000248,-0.399492957926
ACH-000250,-0.6656791683919999
ACH-000251,-0.474387267327
ACH-000253,-0.487524853169
ACH-000255,-0.126652599217
ACH-000256,-0.23415353905699998
ACH-000257,-0.35367794420000004
ACH-000258,-0.991472913165
ACH-000259,-0.6578006731889999
ACH-000260,-0.311469165586
ACH-000261,-0.45111226889899997
ACH-000262,-0.628497456436
ACH-000263,-0.469554886394
ACH-000264,-0.38037346506399994
ACH-000265,-0.299521150843
ACH-000266,-0.48729652129699996
ACH-000272,-0.92405591515
ACH-000273,-0.483234863244
ACH-000274,-0.6475428465749999
ACH-000277,-0.5618927960360001
ACH-000278,-0.232440196831
ACH-000279,-0.36861193792400004
ACH-000280,-0.415392006432
ACH-000281,-0.263124767474
ACH-000288,-0.302728595474
ACH-000291,-0.324593909514
ACH-000293,-0.35819056755400003
ACH-000294,0.155778426851
ACH-000295,-0.35879018397699997
ACH-000296,-0.127358987025
ACH-000302,-0.46060406569300005
ACH-000304,-0.640083145954
ACH-000307,-0.477926463485
ACH-000308,-0.28340047595600004
ACH-000310,-0.37321645108199997
ACH-000311,-0.404926398396
ACH-000312,-0.348442070898
ACH-000315,-0.797640198449
ACH-000316,-0.629291375202
ACH-000317,-0.617218677323
ACH-000318,-0.448891348021
ACH-000319,-0.359616319974
ACH-000320,-0.21534280131499997
ACH-000322,-0.20737394184099997
ACH-000323,-0.37397547589
ACH-000324,-0.517374709437
ACH-000329,-0.0534293740845
ACH-000330,-0.379852791584
ACH-000331,-0.506809012096
ACH-000332,-0.6956325943359999
ACH-000334,-0.786885264085
ACH-000335,-0.295698966715
