,TOP2A (7153)
ACH-000004,-1.71162894859
ACH-000007,-1.7730243667200003
ACH-000009,-1.46640054216
ACH-000011,-1.82453865691
ACH-000012,-1.54913266313
ACH-000013,-1.5576577112099999
ACH-000014,-1.6067210941699999
ACH-000015,-1.47234958528
ACH-000017,-1.51053613333
ACH-000018,-1.47258227296
ACH-000019,-1.51636533341
ACH-000021,-1.6969440622799998
ACH-000022,-1.83479501993
ACH-000025,-1.58257787661
ACH-000028,-1.6526908255500001
ACH-000030,-1.7564595429700003
ACH-000035,-1.5677506394
ACH-000036,-1.6983562974200002
ACH-000037,-2.47639698368
ACH-000039,-1.9289438648500001
ACH-000040,-1.7303453372
ACH-000041,-1.8703973361500001
ACH-000042,-1.7754155043000002
ACH-000045,-1.81956770779
ACH-000047,-1.46874259909
ACH-000052,-1.8239185070400004
ACH-000053,-1.48787968022
ACH-000054,-1.618535401
ACH-000055,-1.48292603088
ACH-000060,-1.4792966033300001
ACH-000067,-1.8661159249500001
ACH-000070,-0.9145332513969999
ACH-000075,-1.64197796675
ACH-000078,-1.70751961921
ACH-000082,-1.8735293057299998
ACH-000085,-1.26871670231
ACH-000086,-1.48514475908
ACH-000087,-1.8016244739900003
ACH-000092,-1.5997055336100001
ACH-000095,-1.75626611982
ACH-000097,-1.7497733829700002
ACH-000098,-1.7688844932299999
ACH-000099,-1.59678169454
ACH-000108,-1.5661256408200002
ACH-000113,-1.50115411208
ACH-000115,-0.43357372222400004
ACH-000116,-1.7007584051299998
ACH-000118,-1.7053954225499999
ACH-000120,-1.4004266496899997
ACH-000123,-1.8751331457099998
ACH-000127,-1.59251259098
ACH-000128,-1.60256074109
ACH-000132,-1.7897240401400003
ACH-000133,-1.6022250100600002
ACH-000137,-1.47204046589
ACH-000138,-1.5177402416699999
ACH-000142,-1.7194463532
ACH-000143,-1.6359241547999999
ACH-000146,-1.8194316740099998
ACH-000148,-1.9177675971900001
ACH-000150,-1.6424540114100001
ACH-000152,-1.68043524276
ACH-000153,-1.89737290667
ACH-000159,-1.7984149126400002
ACH-000160,-1.8591138628
ACH-000163,-1.80230764365
ACH-000167,-2.3595474106200003
ACH-000168,-1.5317765381400001
ACH-000169,-1.61426922796
ACH-000178,-1.67437283062
ACH-000182,-1.59776228466
ACH-000183,-1.46757331933
ACH-000188,-1.48531680442
ACH-000189,-1.5084590956000001
ACH-000190,-1.56277209524
ACH-000198,-1.72810149778
ACH-000204,-1.68779283794
ACH-000206,-1.4339390811100001
ACH-000207,-2.21121487233
ACH-000211,-1.3260970589399999
ACH-000215,-1.62224750489
ACH-000221,-1.6292726593399998
ACH-000222,-1.89929879396
ACH-000223,-1.36102708162
ACH-000226,-1.81665524247
ACH-000227,-2.09463756917
ACH-000228,-1.48347343181
ACH-000231,-1.7455722519099999
ACH-000232,-1.68468998616
ACH-000233,-1.6502136877000002
ACH-000234,-1.8146713632099998
ACH-000235,-1.7145155734900002
ACH-000237,-1.7846882142900002
ACH-000238,-1.4627296321
ACH-000243,-1.5207732005899999
ACH-000244,-1.28566438822
ACH-000246,-1.67644320539
ACH-000248,-1.48153994881
ACH-000250,-1.2206996212299999
ACH-000251,-1.69816324381
ACH-000253,-1.55351987072
ACH-000255,-1.64514963037
ACH-000256,-1.57758711217
ACH-000257,-1.40831019988
ACH-000258,-2.21064778134
ACH-000259,-1.59250246985
ACH-000260,-1.44594375437
ACH-000261,-1.81014610067
ACH-000262,-1.6939151097299998
ACH-000263,-0.945931054973
ACH-000264,-1.4813762292500001
ACH-000265,-1.57894965546
ACH-000266,-1.7244263067400003
ACH-000272,-1.5998600578400002
ACH-000273,-1.5358964548899998
ACH-000274,-1.8974917566499998
ACH-000277,-1.9996789887400002
ACH-000278,-1.8772917189099998
ACH-000279,-1.6973165994600001
ACH-000280,-1.7081031951299999
ACH-000281,-1.4488556406200002
ACH-000288,-1.4253435140200001
ACH-000291,-1.3000003768700001
ACH-000293,-1.7488846723900002
ACH-000294,-1.8588746640400002
ACH-000295,-1.8032416232700001
ACH-000296,-1.59532928832
ACH-000302,-0.760227558064
ACH-000304,-1.30396669874
ACH-000307,-1.71313254403
ACH-000308,-1.46239898265
ACH-000310,-1.9261367326499998
ACH-000311,-1.8219537285499998
ACH-000312,-1.7836076492500001
ACH-000315,-1.59540133255
ACH-000316,-1.78640439367
ACH-000317,-1.2914945859
ACH-000318,-1.4084048251899999
ACH-000319,-1.48565558447
ACH-000320,-2.0931197176
ACH-000322,-1.36867703463
ACH-000323,-1.82420174467
ACH-000324,-1.58896980038
ACH-000329,-1.7109138209399999
ACH-000330,-1.24608776902
ACH-000331,-1.41188572961
ACH-000332,-1.7254879983000002
ACH-000334,-1.28426807632
ACH-000335,-1.3776377589500002
ACH-000336,-1.29053057511
ACH-000337,-1.4067835047100001
ACH-000339,-1.8607141293400002
ACH-000341,-1.5506166445899998
ACH-000348,-1.58246404709
ACH-000350,-1.40274575748
ACH-000352,-1.72063173913
ACH-000356,-1.74109419933
ACH-000361,-1.5969075617500001
ACH-000362,-1.70945525983
ACH-000363,-1.4430837484099999
ACH-000364,-1.5254311880200002
ACH-000365,-1.71988862252
ACH-000366,-0.736028100263
ACH-000368,-1.4944500237600002
ACH-000374,-1.757067468
ACH-000375,-1.8243289659900002
ACH-000376,-1.32970680358
ACH-000381,-1.7982768398400002
ACH-000383,-1.6325121395500002
ACH-000387,-1.74419246211
ACH-000389,-1.3244102785
ACH-000390,-1.66644807426
ACH-000393,-1.92996804458
ACH-000395,-1.8034662982499998
ACH-000397,-1.8234762516900003
ACH-000401,-1.5262629946200001
ACH-000402,-2.1776589148500003
ACH-000403,-1.66771801352
ACH-000404,-1.3595357945500002
ACH-000406,-0.915635462731
ACH-000407,-1.44146522463
ACH-000408,-1.54677634898
ACH-000410,-1.51476267791
ACH-000411,-1.5781398331099998
ACH-000414,-2.17159760926
ACH-000415,-1.7266804123099997
ACH-000416,-1.49154613462
ACH-000420,-1.67310438209
ACH-000421,-1.6003788248500002
ACH-000424,-1.51861500222
ACH-000425,-1.32685101384
ACH-000426,-2.13512830651
ACH-000427,-1.46822020771
ACH-000433,-1.412799414
ACH-000436,-1.78829948747
ACH-000444,-1.7541385532299998
ACH-000445,-1.74333913974
ACH-000448,-1.76416863229
ACH-000450,-1.11373542549
ACH-000452,-1.68374736992
ACH-000454,-1.4722191657700001
ACH-000458,-1.70271454252
ACH-000459,-1.37620602095
ACH-000460,-1.46161129642
ACH-000461,-1.6567360420500001
ACH-000463,-1.43088611657
ACH-000464,-1.25098087148
ACH-000466,-1.26708846702
ACH-000467,-1.66503657671
ACH-000468,-1.6932569323299997
ACH-000469,-1.61553261537
ACH-000470,-1.49463899257
ACH-000471,-1.57997350279
ACH-000472,-1.95360963928
ACH-000473,-1.52534714165
ACH-000475,-1.5635484819
ACH-000476,-1.6538533757
ACH-000477,-1.36072416005
ACH-000480,-1.410378221
ACH-000481,-1.6237264289700002
ACH-000483,-1.82905125186
ACH-000484,-1.7737297595900001
ACH-000485,-1.77395897029
ACH-000486,-1.5302651103600002
ACH-000487,-1.68639648868
ACH-000488,-1.6707372288299998
ACH-000490,-1.8272603633500002
ACH-000491,-1.5325660564899999
ACH-000495,-1.6229339432499998
ACH-000496,-1.70932107724
ACH-000499,-1.8228461176099997
ACH-000500,-1.6785237357
ACH-000502,-1.5161809598299998
ACH-000503,-1.78449134875
ACH-000505,-1.76368069536
ACH-000507,-1.53179088957
ACH-000510,-1.7355489578999999
ACH-000511,-1.6779279159799998
ACH-000512,-1.713179565
ACH-000516,-1.7581887630200002
ACH-000517,-1.7706915101599998
ACH-000518,-1.6204225700100001
ACH-000520,-1.52642425551
ACH-000521,-1.3398912497700002
ACH-000522,-1.7000787581499999
ACH-000524,-1.5364935575299998
ACH-000527,-1.5237117955200001
ACH-000528,-1.6771658727899998
ACH-000537,-1.37102640009
ACH-000541,-1.66024332186
ACH-000542,-1.43134031616
ACH-000544,-1.52189979779
ACH-000545,-1.4498716576700001
ACH-000547,-1.4032366708500001
ACH-000548,-1.7127007785799997
ACH-000549,-1.2278527714799998
ACH-000550,-1.68518142685
ACH-000552,-1.6009081656
ACH-000556,-1.90761966907
ACH-000557,-2.21735837948
ACH-000570,-1.4926079959399998
ACH-000571,-2.00986644635
ACH-000573,-1.76672431853
ACH-000576,-1.4022435091799998
ACH-000580,-2.0516461635799996
ACH-000584,-1.64796616664
ACH-000585,-1.7802083485099998
ACH-000588,-1.8275749349300001
ACH-000589,-1.8818340622799998
ACH-000591,-1.66416003986
ACH-000593,-1.6291056152599999
ACH-000600,-1.68371211118
ACH-000601,-1.5615038784200002
ACH-000604,-1.6525408371799999
ACH-000605,-1.6338315336200002
ACH-000606,-1.5357539996599998
ACH-000608,-1.53447870877
ACH-000614,-1.4588327940299999
ACH-000616,-1.35047458
ACH-000618,-1.6758299152899998
ACH-000619,-1.6409228331999999
ACH-000620,-1.48037170777
ACH-000621,-0.752252172236
ACH-000622,-1.22013213844
ACH-000623,-1.7302354648400002
ACH-000624,-1.65006870116
ACH-000627,-1.71483019046
ACH-000630,-1.5873675767500002
ACH-000632,-1.1759480424200002
ACH-000633,-2.12909238854
ACH-000637,-1.7052371262700001
ACH-000638,-1.50507643164
ACH-000646,-1.59674143875
ACH-000647,-1.4300372579299998
ACH-000648,-1.47820896907
ACH-000649,-1.65028108778
ACH-000651,-1.65300923182
ACH-000652,-1.47374654595
ACH-000653,-1.5830499056799998
ACH-000657,-1.59986708525
ACH-000658,-1.8706267437000001
ACH-000661,-1.89939648477
ACH-000662,-1.9766966934799999
ACH-000663,-1.58996322586
ACH-000665,-1.6012225520399999
ACH-000671,-1.5509242882299998
ACH-000673,-1.7507900573400004
ACH-000676,-1.45811828267
ACH-000677,-2.1188105039200003
ACH-000681,-1.5253208084099998
ACH-000682,-1.7617062373900003
ACH-000683,-1.60721853958
ACH-000684,-1.35680087154
ACH-000688,-1.72335251632
ACH-000693,-1.46608704675
ACH-000694,-1.4044079409999999
ACH-000695,-1.57057265701
ACH-000696,-1.61017933973
ACH-000697,-1.54580165654
ACH-000699,-2.13979574972
ACH-000701,-1.9006740598900003
ACH-000706,-1.48187723863
ACH-000711,-1.4994314663
ACH-000713,-1.8843853277400002
ACH-000714,-1.59262360929
ACH-000718,-1.48492485974
ACH-000720,-1.84741980061
ACH-000721,-1.5093961767
ACH-000724,-1.97641481208
ACH-000725,-0.36475712545100003
ACH-000732,-1.4650806758300001
ACH-000734,-1.51962415366
ACH-000735,-1.7916367278099998
ACH-000736,-1.7801297546200001
ACH-000738,-1.7336439604
ACH-000746,-1.6173750679499999
ACH-000747,-1.5634419830700002
ACH-000748,-1.4832299427899998
ACH-000753,-1.69190160079
ACH-000756,-1.52499684727
ACH-000757,-1.5963481323299997
ACH-000758,-1.6716658346700002
ACH-000760,-1.70711419957
ACH-000763,-2.0091133239900003
ACH-000764,-1.3790833324899998
ACH-000765,-1.4989804039899999
ACH-000766,-1.64762427627
ACH-000767,-1.24532057345
ACH-000768,-1.60641070341
ACH-000769,-1.66655602064
ACH-000770,-1.5403999503299999
ACH-000771,-1.69264188157
ACH-000773,-1.6824881058
ACH-000776,-1.73694974383
ACH-000777,-1.8097892195700003
ACH-000778,-2.0844585879400004
ACH-000781,-1.61162010333
ACH-000782,-0.945199445115
ACH-000783,-1.7211060038599997
ACH-000784,-1.7485430890400002
ACH-000785,-2.00338379311
ACH-000787,-1.6313959058200003
ACH-000788,-1.49277356371
ACH-000791,-1.6780960392700002
ACH-000792,-1.35630456293
ACH-000794,-1.26254900115
ACH-000796,-1.71527969144
ACH-000799,-1.7799456414
ACH-000800,-1.84200132401
ACH-000802,-1.6546498124200002
ACH-000804,-1.7350980363900004
ACH-000805,-1.61251832849
ACH-000809,-1.6915197337
ACH-000810,-1.75298722132
ACH-000811,-1.7112871107499998
ACH-000817,-1.33781692143
ACH-000819,-1.70226576379
ACH-000820,-1.37412927959
ACH-000821,-1.77311200082
ACH-000822,-1.60255577457
ACH-000823,-1.6735919884000001
ACH-000824,-1.7659022353099998
ACH-000827,-1.5726476803600002
ACH-000829,-1.6249087634700001
ACH-000831,-1.4794123453299999
ACH-000832,-1.53026388385
ACH-000833,-1.3763428048700002
ACH-000834,-1.66638800911
ACH-000835,-1.6623993006600002
ACH-000836,-1.8020787418200002
ACH-000837,-1.7166652649
ACH-000838,-1.50864873508
ACH-000839,-1.1918604847299998
ACH-000840,-1.9355022623500002
ACH-000841,-2.10907876094
ACH-000843,-1.59370402067
ACH-000846,-1.3409614645899999
ACH-000847,-1.45546528875
ACH-000848,-1.7870048277400001
ACH-000849,-1.69237862159
ACH-000851,-1.5116580246899998
ACH-000855,-1.6507008742500002
ACH-000856,-1.52410745431
ACH-000858,-1.5796645172900001
ACH-000859,-1.45442098446
ACH-000861,-1.57623772318
ACH-000862,-1.64279456121
ACH-000865,-1.67400861216
ACH-000866,-1.5447300441799998
ACH-000867,-1.8506008983200002
ACH-000869,-1.2710912344
ACH-000872,-1.60845282991
ACH-000873,-1.63264794892
ACH-000876,-2.3076478592400003
ACH-000878,-1.1995239674
ACH-000880,-1.68920794175
ACH-000881,-1.6832579936399998
ACH-000882,-1.63784984972
ACH-000884,-1.68136194911
ACH-000885,-1.7360863816299998
ACH-000887,-1.60077170336
ACH-000888,-1.43531537393
ACH-000889,-1.6260373346099999
ACH-000890,-1.55720134941
ACH-000896,-1.49529624509
ACH-000898,-1.7467105139400003
ACH-000900,-1.5478513047
ACH-000901,-1.85496900195
ACH-000905,-1.3555042279799998
ACH-000906,-1.79123554653
ACH-000907,-1.7627722520700002
ACH-000910,-1.99663525027
ACH-000911,-1.6489355957700003
ACH-000912,-1.5202157216
ACH-000913,-1.7714423932099999
ACH-000915,-1.8075271173400003
ACH-000916,-2.09865289409
ACH-000917,-1.7246523237
ACH-000921,-1.7242617173700001
ACH-000924,-1.6412488175100002
ACH-000926,-1.8583572855900001
ACH-000928,-1.44180975842
ACH-000929,-1.55781273034
ACH-000932,-1.58301930012
ACH-000935,-1.61793197347
ACH-000936,-1.49629701233
ACH-000937,-1.90145832926
ACH-000938,-1.13661696521
ACH-000939,-1.74447641699
ACH-000941,-0.989603359376
ACH-000943,-1.7673903035599998
ACH-000946,-1.6920313048700002
ACH-000947,-1.6559191383200003
ACH-000948,-1.4359090196200002
ACH-000950,-1.49989435951
ACH-000953,-1.40902169389
ACH-000957,-1.6519726425299999
ACH-000958,-1.5012069963499999
ACH-000960,-0.614374841664
ACH-000963,-1.50105392074
ACH-000968,-1.27380835995
ACH-000969,-1.4898407682700001
ACH-000973,-1.55890081944
ACH-000974,-1.6925923273399999
ACH-000975,-1.2745338629799998
ACH-000976,-1.4427110585799998
ACH-000978,-1.4276011005000002
ACH-000980,-1.6036793473299997
ACH-000984,-1.51870094229
ACH-000986,-1.64330222977
ACH-000988,-1.44204650532
ACH-000993,-1.4770576177399999
ACH-000994,-1.55266740988
ACH-000996,-1.65570994864
ACH-001001,-1.60110657021
ACH-001020,-2.06118089796
ACH-001028,-1.60421142076
ACH-001031,-1.8529196685799998
ACH-001038,-2.01832568934
ACH-001048,-1.7536489067200003
ACH-001050,-1.5090866120299997
ACH-001053,-1.6199996891600001
ACH-001054,-1.38636686715
ACH-001061,-1.5832834780399998
ACH-001067,-1.5883817203600001
ACH-001075,-1.29970525003
ACH-001096,-1.70306279278
ACH-001128,-1.7902177086099997
ACH-001134,-1.45707461926
ACH-001151,-1.50543756226
ACH-001163,-1.59529231428
ACH-001164,-1.55479264752
ACH-001173,-1.6135693265200002
ACH-001183,-2.01250047366
ACH-001184,-1.52635676882
ACH-001190,-1.4597517988100002
ACH-001192,-1.4677126021200002
ACH-001193,-1.7657656364400003
ACH-001196,-1.7893857074700001
ACH-001197,-1.7020126353
ACH-001205,-1.79448864643
ACH-001211,-1.82900073895
ACH-001212,-1.74072928801
ACH-001228,-1.32787692042
ACH-001232,-1.54167470967
ACH-001239,-1.5431509638799998
ACH-001274,-1.8522437955700002
